,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Median Earnings of Total Full-Time Year-Round Civilian Employed Population 16 Years and Over with Earnings,Median Earnings of Total Full-Time Year-Round Civilian Employed Population 16 Years and Over with Earnings - Margin of Error,"Median Earnings of All Management, Business, Science, and Arts Occupations","Median Earnings of All Management, Business, Science, and Arts Occupations - Margin of Error","Median Earnings of All Management, Business, and Financial Occupations","Median Earnings of All Management, Business, and Financial Occupations - Margin of Error",Median Earnings of Management Occupations,Median Earnings of Management Occupations - Margin of Error,Median Earnings of Business and Financial Operations Occupations,Median Earnings of Business and Financial Operations Occupations - Margin of Error,"Median Earnings of All Computer, Engineering, and Science Occupations","Median Earnings of All Computer, Engineering, and Science Occupations - Margin of Error",Median Earnings of Computer and Mathematical Occupations,Median Earnings of Computer and Mathematical Occupations - Margin of Error,Median Earnings of Architecture and Engineering Occupations,Median Earnings of Architecture and Engineering Occupations - Margin of Error,"Median Earnings of Life, Physical, and Social Science Occupations","Median Earnings of Life, Physical, and Social Science Occupations - Margin of Error","Median Earnings of All Education, Legal, Community Service, Arts, and Media Occupations","Median Earnings of All Education, Legal, Community Service, Arts, and Media Occupations - Margin of Error",Median Earnings of Community and Social Service Occupations,Median Earnings of Community and Social Service Occupations - Margin of Error,Median Earnings of Legal Occupations,Median Earnings of Legal Occupations - Margin of Error,"Median Earnings of Educational Instruction, and Library Occupations","Median Earnings of Educational Instruction, and Library Occupations - Margin of Error","Median Earnings of Arts, Design, Entertainment, Sports, and Media Occupations","Median Earnings of Arts, Design, Entertainment, Sports, and Media Occupations - Margin of Error",Median Earnings of All Healthcare Practitioners and Technical Occupations,Median Earnings of All Healthcare Practitioners and Technical Occupations - Margin of Error,Median Earnings of Health Diagnosing and Treating Practitioners and Other Technical Occupations,Median Earnings of Health Diagnosing and Treating Practitioners and Other Technical Occupations - Margin of Error,Median Earnings of Health Technologists and Technicians Occupations,Median Earnings of Health Technologists and Technicians Occupations - Margin of Error,Median Earnings of All Service Occupations,Median Earnings of All Service Occupations - Margin of Error,Median Earnings of Healthcare Support Occupations,Median Earnings of Healthcare Support Occupations - Margin of Error,Median Earnings of All Protective Service Occupations,Median Earnings of All Protective Service Occupations - Margin of Error,"Median Earnings of Fire Fighting and Prevention, and Other Protective Service Workers including Supervisors","Median Earnings of Fire Fighting and Prevention, and Other Protective Service Workers including Supervisors - Margin of Error",Median Earnings of Law Enforcement Workers including Supervisors,Median Earnings of Law Enforcement Workers including Supervisors - Margin of Error,Median Earnings of Food Preparation and Serving Related Occupations,Median Earnings of Food Preparation and Serving Related Occupations - Margin of Error,Median Earnings of Building and Grounds Cleaning and Maintenance Occupations,Median Earnings of Building and Grounds Cleaning and Maintenance Occupations - Margin of Error,Median Earnings of Personal Care and Service Occupations,Median Earnings of Personal Care and Service Occupations - Margin of Error,Median Earnings of All Sales and Office Occupations,Median Earnings of All Sales and Office Occupations - Margin of Error,Median Earnings of Sales and Related Occupations,Median Earnings of Sales and Related Occupations - Margin of Error,Median Earnings of Office and Administrative Support Occupations,Median Earnings of Office and Administrative Support Occupations - Margin of Error,"Median Earnings of All Natural Resources, Construction, and Maintenance Occupations","Median Earnings of All Natural Resources, Construction, and Maintenance Occupations - Margin of Error","Median Earnings of Farming, Fishing, and Forestry Occupations","Median Earnings of Farming, Fishing, and Forestry Occupations - Margin of Error",Median Earnings of Construction and Extraction Occupations,Median Earnings of Construction and Extraction Occupations - Margin of Error,"Median Earnings of Installation, Maintenance, and Repair Occupations","Median Earnings of Installation, Maintenance, and Repair Occupations - Margin of Error","Median Earnings of All Production, Transportation, and Material Moving Occupations","Median Earnings of All Production, Transportation, and Material Moving Occupations - Margin of Error",Median Earnings of Production Occupations,Median Earnings of Production Occupations - Margin of Error,Median Earnings of Transportation Occupations,Median Earnings of Transportation Occupations - Margin of Error,Median Earnings of Material Moving Occupations,Median Earnings of Material Moving Occupations - Margin of Error,Occupation with Highest Median Earnings,Highest Median Earnings,x,y,zip,tract
83,53033011101,1136851,0,Census Tract 111.01,Washington,King County,48578,7213,80561,24667,58750.0,15671.0,54766.0,17043.0,99479.0,134395.0,81250.0,12910.0,81300.0,38961.0,64455.0,20183.0,93261.0,22549.0,53646.0,62666.0,39161.0,27949.0,,,84926.0,18379.0,95577.0,38700.0,91968.0,43371.0,117733.0,55072.0,70625.0,71953.0,37019.0,9996.0,30550.0,19421.0,,,,,,,41318.0,11309.0,,,29808.0,29755.0,42332.0,3048.0,44402.0,3604.0,41265.0,13671.0,53839.0,13143.0,,,,,63942.0,40413.0,45682.0,8422.0,46518.0,14932.0,,,30938.0,27097.0,Healthcare Practitioners and Technical Occupations,91968,,,98118,53033011101
84,53033011102,1303226,1143440,Census Tract 111.02,Washington,King County,67590,11609,89226,15249,130833.0,27328.0,128214.0,34330.0,148088.0,52494.0,107813.0,20429.0,108021.0,23560.0,102083.0,121064.0,,,68468.0,13845.0,77143.0,34196.0,96957.0,5457.0,60877.0,2413.0,103839.0,14075.0,83779.0,4866.0,84128.0,6988.0,,,39953.0,3793.0,,,41017.0,11393.0,41017.0,11393.0,,,32500.0,39299.0,36346.0,7157.0,,,53500.0,10422.0,,,53571.0,9714.0,68297.0,18834.0,,,68415.0,24753.0,,,36607.0,12230.0,45000.0,30883.0,,,40583.0,12664.0,"Management, Business, and Financial Occupations",130833,,,98118,53033011102
85,53033011200,2483779,139646,Census Tract 112,Washington,King County,49889,5378,66953,21441,81500.0,39638.0,125333.0,63927.0,44914.0,56716.0,66563.0,35802.0,65781.0,33004.0,,,,,62692.0,26318.0,,,,,48594.0,24201.0,,,78906.0,34945.0,100972.0,127942.0,,,36866.0,10748.0,,,,,,,,,37031.0,22714.0,37333.0,22526.0,,,62699.0,15273.0,73750.0,11030.0,54875.0,13811.0,23362.0,25286.0,53229.0,19581.0,12813.0,16156.0,50000.0,4519.0,38074.0,6063.0,34643.0,8867.0,,,37917.0,16119.0,"Management, Business, and Financial Occupations",81500,,,98108,53033011200
86,53033011300,3419308,42220,Census Tract 113,Washington,King County,77708,9242,92266,15062,82279.0,25275.0,105096.0,43045.0,77903.0,20842.0,104548.0,28997.0,111250.0,47100.0,93214.0,15161.0,,,74193.0,8029.0,71923.0,5020.0,119554.0,55440.0,73558.0,36216.0,40917.0,85568.0,90000.0,15379.0,92880.0,19120.0,,,39331.0,59953.0,,,,,,,,,37587.0,23860.0,,,,,80938.0,26043.0,85417.0,52498.0,80547.0,45108.0,56641.0,28601.0,,,79911.0,90723.0,32460.0,51933.0,56071.0,86765.0,44808.0,24940.0,,,165714.0,178386.0,"Computer, Engineering, and Science Occupations",104548,,,98106,53033011300
87,53033011401,1233155,0,Census Tract 114.01,Washington,King County,58350,11319,70262,5809,71723.0,12411.0,79929.0,17030.0,60938.0,2825.0,85208.0,16659.0,69681.0,27942.0,108125.0,34903.0,,,65066.0,18800.0,,,,,65855.0,29116.0,14602.0,82905.0,75227.0,37270.0,66250.0,29371.0,,,31775.0,5124.0,,,,,,,,,32529.0,4057.0,,,,,45378.0,3382.0,45011.0,16963.0,45925.0,5543.0,74671.0,26746.0,,,,,74737.0,27672.0,37500.0,21793.0,36250.0,27376.0,60536.0,59299.0,,,"Computer, Engineering, and Science Occupations",85208,,,98106,53033011401
88,53033011402,1186191,0,Census Tract 114.02,Washington,King County,48402,7390,74107,14909,79063.0,39051.0,105000.0,11036.0,58529.0,23025.0,66652.0,27901.0,65625.0,16163.0,56250.0,30792.0,101359.0,6469.0,66167.0,5699.0,66208.0,13388.0,96071.0,72226.0,42243.0,39252.0,64125.0,32627.0,132763.0,52579.0,111607.0,50236.0,250001.0,,36620.0,8222.0,48472.0,37629.0,45278.0,28757.0,,,,,7378.0,46978.0,43478.0,50452.0,41420.0,5112.0,46618.0,4814.0,47390.0,29350.0,44327.0,5641.0,60893.0,50755.0,,,61786.0,84155.0,58750.0,54751.0,43963.0,3985.0,43750.0,8155.0,43225.0,1971.0,49391.0,22599.0,Healthcare Practitioners and Technical Occupations,132763,,,98106,53033011402
89,53033011500,1538373,0,Census Tract 115,Washington,King County,82358,4275,93929,5031,94363.0,8217.0,104500.0,27275.0,83846.0,11081.0,120119.0,37632.0,126591.0,83551.0,107500.0,54589.0,71000.0,183518.0,85568.0,10370.0,,,88281.0,126302.0,64712.0,35419.0,92750.0,14110.0,93250.0,23963.0,93250.0,23963.0,,,45625.0,10471.0,,,,,,,,,52738.0,16641.0,,,,,59605.0,7864.0,80417.0,14833.0,46953.0,20171.0,98472.0,96430.0,,,44375.0,84836.0,,,82578.0,42971.0,83000.0,6534.0,26944.0,100900.0,,,"Computer, Engineering, and Science Occupations",120119,,,98126,53033011500
90,53033011700,3515808,0,Census Tract 117,Washington,King County,47122,7116,69792,19828,68125.0,18434.0,70909.0,59426.0,66875.0,28887.0,95739.0,17144.0,105417.0,48453.0,84125.0,44553.0,,,62813.0,19870.0,51696.0,26233.0,,,64000.0,15277.0,,,98594.0,61604.0,67434.0,122784.0,,,32839.0,7658.0,33828.0,16265.0,39554.0,224054.0,39554.0,224054.0,,,29720.0,14222.0,33571.0,19065.0,,,53698.0,10650.0,55969.0,5897.0,43750.0,16943.0,44821.0,27773.0,,,55804.0,38937.0,,,40625.0,11695.0,38239.0,5700.0,68309.0,24626.0,32000.0,4242.0,Healthcare Practitioners and Technical Occupations,98594,,,98118,53033011700
91,53033012000,1437048,0,Census Tract 120,Washington,King County,82692,13363,102802,25161,104250.0,18857.0,107833.0,18860.0,102750.0,56506.0,128693.0,15262.0,129773.0,40211.0,128523.0,76319.0,124000.0,60405.0,57841.0,30105.0,58295.0,14374.0,,,29883.0,77283.0,62206.0,20659.0,87222.0,44539.0,86528.0,35115.0,,,47895.0,22668.0,,,,,,,,,,,,,,,64838.0,11460.0,140357.0,68175.0,63356.0,3153.0,52833.0,9957.0,,,53333.0,21472.0,49700.0,105061.0,39844.0,74353.0,,,66000.0,124538.0,,,"Computer, Engineering, and Science Occupations",128693,,,98146,53033012000
92,53033012100,1739952,1380849,Census Tract 121,Washington,King County,120583,22945,132375,23571,132875.0,32187.0,141000.0,50565.0,101042.0,92106.0,148555.0,36247.0,141250.0,65492.0,237833.0,82569.0,147734.0,81740.0,100000.0,73623.0,80341.0,29400.0,229934.0,133660.0,93571.0,30148.0,,,121667.0,74541.0,81667.0,86856.0,,,90536.0,99905.0,,,,,,,,,,,,,91607.0,59103.0,107292.0,53869.0,122143.0,186150.0,98375.0,48355.0,,,,,,,,,93409.0,73530.0,,,93409.0,73530.0,,,"Computer, Engineering, and Science Occupations",148555,,,98146,53033012100
