,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Workers 16 Years and Over,Total Workers 16 Years and Over - Margin of Error,"All Workers who commuted by car, truck, or van","All Workers who commuted by car, truck, or van - Margin of Error",Workers who drove alone,Workers who drove alone - Margin of Error,Workers who carpooled,Workers who carpooled - Margin of Error,All Workers who commuted by public transportation (excluding taxicab),All Workers who commuted by public transportation (excluding taxicab) - Margin of Error,Workers who commuted by bus,Workers who commuted by bus - Margin of Error,Workers who commuted by subway or elevated rail,Workers who commuted by subway or elevated rail - Margin of Error,Workers who commuted by long-distance train or commuter rail,Workers who commuted by long-distance train or commuter rail - Margin of Error,"Workers who commuted by light rail, streetcar or trolley (carro público in Puerto Rico)","Workers who commuted by light rail, streetcar or trolley (carro público in Puerto Rico) - Margin of Error",Workers who commuted by ferryboat,Workers who commuted by ferryboat - Margin of Error,Workers who commuted by taxicab,Workers who commuted by taxicab - Margin of Error,Workers who commuted by motorcycle,Workers who commuted by motorcycle - Margin of Error,Workers who commuted by bicycle,Workers who commuted by bicycle - Margin of Error,Workers who commuted by walking,Workers who commuted by walking - Margin of Error,Workers who commuted by other means,Workers who commuted by other means - Margin of Error,Workers who worked at home,Workers who worked at home - Margin of Error,Percent of workers who commuted by driving alone,Percent of workers who commuted by driving alone - Margin of Error,Percent of workers who commuted by carpooling,Percent of workers who commuted by carpooling - Margin of Error,Percent of workers who commuted by public transportation,Percent of workers who commuted by public transportation - Margin of Error,Percent of workers who commuted by bus,Percent of workers who commuted by bus - Margin of Error,"Percent of workers who commuted by light rail, streetcar or trolley","Percent of workers who commuted by light rail, streetcar or trolley - Margin of Error",Percent of workers who commuted by subway or elevated rail,Percent of workers who commuted by subway or elevated rail - Margin of Error,Percent of workers who commuted by long-distance train or commuter rail,Percent of workers who commuted by long-distance train or commuter rail - Margin of Error,Percent of workers who commuted by ferryboat,Percent of workers who commuted by ferryboat - Margin of Error,Percent of workers who commuted by taxicab,Percent of workers who commuted by taxicab - Margin of Error,Percent of workers who commuted by motorcycle,Percent of workers who commuted by motorcycle - Margin of Error,Percent of workers who commuted by bicycle,Percent of workers who commuted by bicycle - Margin of Error,Percent of workers who commuted by walking,Percent of workers who commuted by walking - Margin of Error,Percent of workers who commuted by other means,Percent of workers who commuted by other means - Margin of Error,Percent of workers who worked at home,Percent of workers who worked at home - Margin of Error,x,y,zip,tract
16,53033002000,1103313,28680,Census Tract 20,Washington,King County,2220,309,1284,248,1093,247,191,93,340,113,331,111,6,11,0,13,0,13,3,7,0,13,0,13,75,49,32,33,69,58,420,119,49.2,8.76520463279357,8.6,4.01437807036055,15.3,4.62220293993561,14.9,4.54897099192452,0.0,0.585585585585586,0.3,0.494065400006036,0.0,0.585585585585586,0.1,0.314753802882659,0.0,0.585585585585586,0.0,0.585585585585586,3.4,2.15653515586566,1.4,1.472884397207,3.1,2.57654592124349,18.9,4.6689556631253,,,98115,53033002000
17,53033002100,1365468,0,Census Tract 21,Washington,King County,2721,374,1509,273,1227,244,282,118,429,125,361,110,30,29,0,13,38,55,0,13,6,11,0,13,186,153,139,90,0,13,452,260,45.1,6.48041535737381,10.4,4.09600334894847,15.8,4.05064721119516,13.3,3.60797338893067,1.4,2.01218056612617,1.1,1.05495574555283,0.0,0.47776552737964,0.0,0.47776552737964,0.2,0.403125382990179,0.0,0.47776552737964,6.8,5.54387839854429,5.1,3.23222122588887,0.0,0.47776552737964,16.6,9.27850965464031,,,98115,53033002100
18,53033002200,2804076,1154953,Census Tract 22,Washington,King County,2986,464,1913,440,1529,394,384,163,350,137,316,134,19,30,0,18,15,24,0,18,0,18,0,18,73,66,30,34,11,18,609,214,51.2,10.5258163547509,12.9,5.07988341666351,11.7,4.21105003460016,10.6,4.17544701099497,0.5,0.799951257448602,0.6,0.999811263841658,0.0,0.602813127930342,0.0,0.602813127930342,0.0,0.602813127930342,0.0,0.602813127930342,2.4,2.17742344811532,1.0,1.12789337198096,0.4,0.600088972805253,20.4,6.42795489498911,,,98115,53033002200
19,53033002400,962528,0,Census Tract 24,Washington,King County,1906,376,874,179,771,176,103,79,344,149,275,127,0,13,0,13,69,81,0,13,0,13,22,25,73,72,57,45,24,33,512,306,40.5,4.64631165057799,5.4,4.00536443264748,18.0,6.95956085077303,14.4,6.02466743864313,3.6,4.18930257285941,0.0,0.68205666316894,0.0,0.68205666316894,0.0,0.68205666316894,0.0,0.68205666316894,1.2,1.2917318924389,3.8,3.70121370587882,3.0,2.28606950000992,1.3,1.71346286340727,26.9,15.1547781750052,,,98115,53033002400
20,53033002500,984334,0,Census Tract 25,Washington,King County,2197,313,1201,242,973,235,228,126,366,95,333,82,25,37,0,13,8,12,0,13,5,8,0,13,98,50,40,40,0,13,487,214,44.3,8.63729609083353,10.4,5.54124135422079,16.7,3.61452230649827,15.2,3.04427654856569,0.4,0.543730198464643,1.1,1.67629380806137,0.0,0.591715976331361,0.0,0.591715976331361,0.2,0.362686530129319,0.0,0.591715976331361,4.5,2.18530428089739,1.8,1.8020929491566,0.0,0.591715976331361,22.2,9.21441289265216,,,98115,53033002500
21,53033002600,1216627,28175,Census Tract 26,Washington,King County,3239,597,1884,366,1630,374,254,106,440,159,428,159,12,18,0,18,0,18,0,18,0,18,0,18,282,190,115,141,0,18,518,159,50.3,6.87691856144313,7.8,2.93612773486839,13.6,4.22236280195441,13.2,4.26211678355637,0.0,0.555727076258104,0.4,0.551515695500137,0.0,0.555727076258104,0.0,0.555727076258104,0.0,0.555727076258104,0.0,0.555727076258104,8.7,5.64224218559588,3.6,4.30372598136975,0.0,0.555727076258104,16.0,3.92538257594709,,,98115,53033002600
22,53033002700,1584847,0,Census Tract 27,Washington,King County,3500,522,1797,408,1414,389,383,186,477,138,477,138,0,18,0,18,0,18,0,18,0,18,0,18,130,88,45,50,20,31,1031,313,40.4,9.33928509504505,10.9,5.05747454578611,13.6,3.37855636275464,13.6,3.37855636275464,0.0,0.514285714285714,0.0,0.514285714285714,0.0,0.514285714285714,0.0,0.514285714285714,0.0,0.514285714285714,0.0,0.514285714285714,3.7,2.45250114696916,1.3,1.41564342522117,0.6,0.881604549816636,29.5,7.78931394519716,,,98103,53033002700
23,53033002800,988287,0,Census Tract 28,Washington,King County,3356,453,1842,358,1603,339,239,117,507,182,472,170,1,7,0,13,0,13,34,53,0,13,25,39,35,32,163,113,30,30,754,251,47.8,7.77604689377337,7.1,3.35114477867743,15.1,5.02512460188366,14.1,4.69635761569767,0.0,0.387365911799762,0.0,0.208542861682258,0.0,0.387365911799762,1.0,1.57332905531955,0.0,0.387365911799762,0.7,1.15773929475182,1.0,0.943067137518601,4.9,3.30266106021237,0.9,0.885740197427306,22.5,6.83669909965779,,,98103,53033002800
24,53033002900,986209,0,Census Tract 29,Washington,King County,2786,376,1470,290,1262,267,208,117,396,148,396,148,0,13,0,13,0,13,0,13,0,13,16,29,91,53,96,59,0,13,717,272,45.3,7.380513467985,7.5,4.07690085840519,14.2,4.95381926508919,14.2,4.95381926508919,0.0,0.466618808327351,0.0,0.466618808327351,0.0,0.466618808327351,0.0,0.466618808327351,0.0,0.466618808327351,0.6,1.03802921469799,3.3,1.85058919589431,3.4,2.06603921781584,0.0,0.466618808327351,25.7,9.12437366426549,,,98117,53033002900
25,53033003000,1493249,0,Census Tract 30,Washington,King County,3692,484,1934,318,1750,301,184,112,427,152,413,150,0,18,0,18,0,18,14,21,0,18,40,48,263,158,81,68,15,24,932,311,47.4,5.27785371577522,5.0,2.96239608782079,11.6,3.82765948671046,11.2,3.78894898566142,0.0,0.487540628385699,0.0,0.487540628385699,0.0,0.487540628385699,0.4,0.566620972768996,0.0,0.487540628385699,1.1,1.29232697341542,7.1,4.17639095142386,2.2,1.81922533265772,0.4,0.647868536157051,25.2,7.74634082377864,,,98117,53033003000
