,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Mean Usual Hours Worked of Population Age 16 to 64 who Have Worked in Past 12 Months,Mean Usual Hours Worked of Population Age 16 to 64 who Have Worked in Past 12 Months - Margin of Error,Mean Usual Hours Worked of Men Age 16 to 64 who Have Worked in Past 12 Months,Mean Usual Hours Worked of Men Age 16 to 64 who Have Worked in Past 12 Months - Margin of Error,Mean Usual Hours Worked of Women Age 16 to 64 who Have Worked in Past 12 Months,Mean Usual Hours Worked of Women Age 16 to 64 who Have Worked in Past 12 Months - Margin of Error,Total Population 16 Years and Over,Total Population 16 Years and Over - Margin of Error,All Population in Labor Force,All Population in Labor Force - Margin of Error,All Population in Civilian Labor Force,All Population in Civilian Labor Force - Margin of Error,Employed Population in Civilian Labor Force,Employed Population in Civilian Labor Force - Margin of Error,Unemployed Population in Civilian Labor Force,Unemployed Population in Civilian Labor Force - Margin of Error,Population in Armed Forces,Population in Armed Forces - Margin of Error,Population 16 Years and Over Not in Labor Force,Population 16 Years and Over Not in Labor Force - Margin of Error,Percent Not in Labor Force,Percent Not in Labor Force - Margin of Error,Percent Unemployed,Percent Unemployed - Margin of Error,x,y,zip,tract
55,53033008200,375785,0,Census Tract 82,Washington,King County,44.1,1.9,44.0,2.7,44.1,1.9,4064,471,3203,487,3203,487,2961,420,242,157,0,13,861,178,21.2,3.62696516733644,7.6,4.76514032217586,,,98101,53033008200
56,53033008300,237955,0,Census Tract 83,Washington,King County,39.1,2.5,37.7,2.8,41.5,4.6,3269,472,2559,386,2559,386,2541,383,18,42,0,13,710,199,21.7,5.21759253303652,0.7,1.63783303955896,,,98101,53033008300
57,53033008500,450978,0,Census Tract 85,Washington,King County,41.0,2.2,41.1,2.3,40.6,4.7,4302,480,1621,227,1621,227,1569,230,52,40,0,13,2681,420,62.3,6.85306195229944,3.2,2.42637784807997,,,98104,53033008500
58,53033008600,711350,0,Census Tract 86,Washington,King County,34.9,1.9,38.6,2.9,31.4,2.3,6776,706,5015,615,5015,615,4380,591,635,219,0,18,1761,299,26.0,3.48412466340405,12.7,4.08150911774914,,,98122,53033008600
59,53033008700,732385,0,Census Tract 87,Washington,King County,39.6,2.1,41.0,2.6,37.8,2.4,4162,617,3296,598,3282,598,3219,594,63,54,14,21,866,202,20.8,3.74714293550688,1.9,1.60773408710547,,,98122,53033008700
60,53033008800,948581,0,Census Tract 88,Washington,King County,41.0,1.6,40.7,1.7,41.2,2.6,3472,369,2722,296,2722,296,2523,296,199,156,0,13,750,275,21.6,7.58049300662837,7.3,5.67567175341291,,,98122,53033008800
61,53033008900,1270033,1798066,Census Tract 89,Washington,King County,36.8,2.8,38.4,3.1,34.6,3.8,5163,734,3817,509,3752,531,3677,517,75,57,65,74,1346,417,26.1,7.17611668540811,2.0,1.49261722276608,,,98144,53033008900
62,53033009000,855872,0,Census Tract 90,Washington,King County,37.6,1.6,38.2,2.4,37.0,2.4,3329,348,2267,353,2253,350,2094,334,159,88,14,23,1062,196,31.9,4.85213884532257,7.1,3.74888415692596,,,98144,53033009000
63,53033009100,410621,0,Census Tract 91,Washington,King County,39.3,2.3,41.2,2.5,36.6,3.1,2569,341,1480,229,1480,229,1432,226,48,38,0,13,1089,300,42.4,10.2327307896683,3.2,2.51804958821793,,,98104,53033009100
64,53033009200,338451,154864,Census Tract 92,Washington,King County,38.7,2.6,41.8,3.2,31.8,3.7,2636,447,1727,396,1682,390,1570,386,112,76,45,54,909,240,34.5,6.9785921522467,6.7,4.24646446070958,,,98104,53033009200
65,53033009300,9444110,639051,Census Tract 93,Washington,King County,39.3,2.3,41.4,2.8,35.8,3.9,2826,382,2193,347,2057,331,1966,309,91,79,136,90,633,140,22.4,3.92106057377082,4.4,3.77399294683006,,,98134,53033009300
66,53033009400,1686311,0,Census Tract 94,Washington,King County,39.0,1.0,40.2,1.3,37.2,1.7,6023,707,4808,599,4808,599,4543,603,265,155,0,18,1215,296,20.2,4.3064062217807,5.5,3.14981575835101,,,98144,53033009400
67,53033009500,2597717,2916270,Census Tract 95,Washington,King County,39.3,1.8,40.1,2.1,38.1,2.7,5579,568,4189,489,4189,489,4039,504,150,102,0,18,1390,346,24.9,5.65936225915501,3.6,2.39880148061018,,,98144,53033009500
68,53033009600,1906922,1385222,Census Tract 96,Washington,King County,41.5,1.5,42.4,1.9,40.6,2.1,4960,783,3507,780,3507,780,3489,779,18,29,0,18,1453,216,29.3,6.35220792700458,0.5,0.819000185566356,,,98116,53033009600
