,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder under 25 years - Margin of Error","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 25 to 44 years - Margin of Error","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 45 to 64 years - Margin of Error","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Householder 65 years and over - Margin of Error","Median Household Income in past 12 months, Black or African American Alone Householder","Median Household Income in past 12 months, Black or African American Alone Householder - Margin of Error","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder - Margin of Error","Median Household Income in past 12 months, Asian Alone Householder","Median Household Income in past 12 months, Asian Alone Householder - Margin of Error","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder - Margin of Error","Median Household Income in past 12 months, Some Other Race Alone Householder","Median Household Income in past 12 months, Some Other Race Alone Householder - Margin of Error","Median Household Income in past 12 months, Two or More Races Householder","Median Household Income in past 12 months, Two or More Races Householder - Margin of Error","Median Household Income in past 12 months, White alone, not Hispanic Householder","Median Household Income in past 12 months, White alone, not Hispanic Householder - Margin of Error","Median Household Income in past 12 months, Hispanic or Latino Householder","Median Household Income in past 12 months, Hispanic or Latino Householder - Margin of Error",Total Households,Total Households - Margin of Error,Households with any self-employment income in past 12 months,Households with any self-employment income in past 12 months - Margin of Error,Households with no self-employment income in past 12 months,Households with no self-employment income in past 12 months - Margin of Error,Percent of households with any self-employment income,Percent of households with any self-employment income - Margin of Error,x,y,zip,tract
81,53033011001,1080391,0,Census Tract 110.01,Washington,King County,47813.0,28990.0,61552.0,50521.0,122348.0,10034.0,,,18148.0,10100.0,92598.0,91429.0,,,28378.0,23989.0,,,63558.0,13800.0,,,118229.0,42434.0,43942.0,12556.0,1826,252,193,83,1633,265,10.6,4.30504891747023,,,98118,53033011001
82,53033011002,1719569,0,Census Tract 110.02,Washington,King County,52418.0,15983.0,,,50372.0,9946.0,74500.0,23513.0,40179.0,37435.0,42643.0,32227.0,,,65125.0,25914.0,,,,,,,67969.0,46782.0,99125.0,4750.0,1296,94,239,95,1057,117,18.4,7.20717924275318,,,98108,53033011002
83,53033011101,1136851,0,Census Tract 111.01,Washington,King County,81250.0,15846.0,53472.0,38503.0,88050.0,13256.0,91500.0,23292.0,40444.0,31528.0,68462.0,60830.0,,,69450.0,23148.0,41091.0,38253.0,,,,,97813.0,26746.0,,,2153,191,349,141,1804,189,16.2,6.38916758404643,,,98118,53033011101
84,53033011102,1303226,1143440,Census Tract 111.02,Washington,King County,113553.0,29969.0,,,100786.0,25281.0,133836.0,51520.0,102885.0,59312.0,55230.0,36969.0,,,112778.0,29684.0,,,42325.0,21566.0,88219.0,40120.0,171458.0,40750.0,52174.0,51820.0,1892,278,522,245,1370,195,27.6,12.298342578682,,,98118,53033011102
85,53033011200,2483779,139646,Census Tract 112,Washington,King County,61935.0,10674.0,,,95114.0,55882.0,45313.0,21780.0,63523.0,50092.0,62868.0,60642.0,37750.0,17480.0,62500.0,54162.0,,,60024.0,37918.0,,,105121.0,24712.0,43837.0,23601.0,1451,169,317,126,1134,160,21.8,8.30248899596355,,,98108,53033011200
86,53033011300,3419308,42220,Census Tract 113,Washington,King County,85125.0,20772.0,,,163516.0,56826.0,85750.0,46246.0,30335.0,6398.0,,,53854.0,48382.0,143934.0,21078.0,,,,,65403.0,19083.0,87500.0,20770.0,96219.0,94324.0,2811,336,283,120,2528,336,10.1,4.09582060409733,,,98106,53033011300
87,53033011401,1233155,0,Census Tract 114.01,Washington,King County,96625.0,14849.0,35875.0,34408.0,102375.0,25321.0,122692.0,23355.0,47406.0,40886.0,,,,,153077.0,149901.0,,,,,,,93621.0,9761.0,64911.0,27715.0,1841,167,277,99,1564,173,15.0,5.20142193006393,,,98106,53033011401
88,53033011402,1186191,0,Census Tract 114.02,Washington,King County,77656.0,14175.0,,,91344.0,16501.0,78990.0,34032.0,19643.0,17497.0,71316.0,5126.0,,,97321.0,46925.0,,,53583.0,28461.0,66250.0,24977.0,101250.0,30915.0,63208.0,36413.0,1918,184,195,76,1723,207,10.2,3.84054836938758,,,98106,53033011402
89,53033011500,1538373,0,Census Tract 115,Washington,King County,99719.0,18840.0,,,132426.0,44179.0,96125.0,28066.0,67426.0,14005.0,41618.0,39143.0,,,81587.0,57941.0,,,,,,,113846.0,17394.0,40212.0,16959.0,1979,247,438,203,1541,173,22.1,9.87876135791514,,,98126,53033011500
90,53033011700,3515808,0,Census Tract 117,Washington,King County,82697.0,7704.0,,,113125.0,70716.0,86563.0,16090.0,68750.0,24448.0,86628.0,18706.0,,,80536.0,18064.0,,,68625.0,8862.0,,,128750.0,28245.0,41827.0,26677.0,1595,186,157,72,1438,191,9.8,4.36572579412463,,,98118,53033011700
91,53033012000,1437048,0,Census Tract 120,Washington,King County,114159.0,18353.0,,,143155.0,26459.0,118125.0,56620.0,100125.0,34374.0,,,,,,,,,,,84688.0,68806.0,114327.0,20944.0,82738.0,21158.0,1499,165,194,78,1305,186,12.9,5.00466808945754,,,98146,53033012000
92,53033012100,1739952,1380849,Census Tract 121,Washington,King County,167813.0,31563.0,,,199500.0,38863.0,195455.0,40322.0,67165.0,22206.0,,,,,246250.0,79653.0,,,,,,,165208.0,35464.0,198000.0,101887.0,1162,138,250,99,912,130,21.5,8.12763043835575,,,98146,53033012100
