,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Housing Units,Total Housing Units - Margin of Error,Occupied Housing Units,Occupied Housing Units - Margin of Error,Vacant Housing Units,Vacant Housing Units - Margin of Error,Percent of Housing Units that are Vacant (Vacancy Rate),Percent of Housing Units that are Vacant (Vacancy Rate) - Margin of Error,Percent of Total Housing Units (including Vacant) that are Owner-Occupied,Percent of Total Housing Units (including Vacant) that are Owner-Occupied - Margin of Error,Percent of Total Housing Units (including Vacant) that are Renter-Occupied,Percent of Total Housing Units (including Vacant) that are Renter-Occupied - Margin of Error,Total Occupied Housing Units,Total Occupied Housing Units - Margin of Error,Owner-Occupied Housing Units,Owner-Occupied Housing Units - Margin of Error,Renter-Occupied Housing Units,Renter-Occupied Housing Units - Margin of Error,Overall Homeownership Rate: Percent of Occupied Housing Units that are Owner-Occupied,Overall Homeownership Rate: Percent of Occupied Housing Units that are Owner-Occupied - Margin of Error,Overall Renter Rate: Percent of Occupied Housing Units that are Renter-Occupied,Overall Renter Rate: Percent of Occupied Housing Units that are Renter-Occupied - Margin of Error,Median Contract Rent (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent),Median Contract Rent (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent) - Margin of Error,Median Home Value (for Owner-Occupied Housing Units),Median Home Value (for Owner-Occupied Housing Units) - Margin of Error,Lower Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent),Lower Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent) - Margin of Error,Upper Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent),Upper Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent) - Margin of Error,Lower Home Value Quartile (for Owner-Occupied Housing Units),Lower Home Value Quartile (for Owner-Occupied Housing Units) - Margin of Error,Upper Home Value Quartile (for Owner-Occupied Housing Units),Upper Home Value Quartile (for Owner-Occupied Housing Units) - Margin of Error,Housing Units per Gross Land Acre,Gross Land Acre,Percent Owner-Occupied Housing Units,x,y,zip,tract
10,53033001500,1167711,526885,Census Tract 15,Washington,King County,1156,136,1124,128,32,52,2.8,4.48646557162946,76.3,5.87273142823709,20.9,6.74431302018591,1124,128,882,124,242,83,78.5,6.4693536555554,21.5,6.96541210342311,1943,729,943400.0,56056.0,1078.0,641.0,2559,360.0,776800.0,78478.0,1204400.0,117592.0,4.006270407912841,288.54767209841054,97.2318339100346,,,98117,53033001500
11,53033001600,2020358,320118,Census Tract 16,Washington,King County,1888,223,1841,239,47,55,2.5,2.898258531934,78.2,4.37233817816354,19.3,8.10788825390335,1841,239,1477,193,364,159,80.2,1.19347118791576,19.8,8.24636823952446,1876,308,1044800.0,80939.0,1534.0,225.0,2556,573.0,775800.0,71894.0,1343300.0,80723.0,3.7817381501155034,499.24133429024863,97.51059322033898,,,98117,53033001600
12,53033001701,892768,0,Census Tract 17.01,Washington,King County,2211,199,2142,217,69,93,3.1,4.19685271876453,32.7,6.56146603217038,64.2,8.92198517360768,2142,217,723,159,1419,235,33.8,6.58845052438493,66.2,8.67889503137816,1758,164,557700.0,70915.0,1246.0,228.0,2247,303.0,340800.0,59376.0,739200.0,90208.0,10.022312123559797,220.6077772016824,96.87924016282226,,,98103,53033001701
13,53033001702,1280220,0,Census Tract 17.02,Washington,King County,2530,288,2276,223,254,209,10.0,8.18143534685841,43.8,5.61250673191388,46.1,5.53379449868805,2276,223,1109,190,1167,193,48.7,6.84811514012782,51.3,6.83142657602451,1598,194,713600.0,46514.0,1138.0,226.0,1975,246.0,583300.0,30444.0,896400.0,59904.0,7.997490078792557,316.34925146190034,89.96047430830039,,,98117,53033001702
14,53033001800,946085,0,Census Tract 18,Washington,King County,2484,268,2318,239,166,150,6.7,5.99544911723362,36.8,5.52211101579209,56.5,9.95813541187614,2318,239,915,169,1403,290,39.5,6.04901399853267,60.5,10.8431652820098,1710,170,710200.0,47827.0,1292.0,202.0,2198,251.0,584500.0,29689.0,962300.0,96666.0,10.62525180426855,233.7826948253675,93.31723027375202,,,98103,53033001800
15,53033001900,1667272,0,Census Tract 19,Washington,King County,2295,153,2261,153,34,40,1.5,1.74011878599835,53.7,4.82995480429252,44.8,5.41904691829247,2261,153,1233,138,1028,142,54.5,4.86156818321096,45.5,5.47517153908804,1859,98,696200.0,80336.0,1527.0,99.0,2446,250.0,463000.0,65230.0,908700.0,67324.0,5.570498088738866,411.9918835695314,98.51851851851852,,,98115,53033001900
16,53033002000,1103313,28680,Census Tract 20,Washington,King County,1602,130,1516,122,86,73,5.4,4.53593320343445,61.7,5.23303333016216,33.0,7.99127604232193,1516,122,988,116,528,135,65.2,5.57154858208214,34.8,8.45242301603628,1775,295,730800.0,63376.0,1280.0,219.0,2270,185.0,541400.0,50328.0,953300.0,63154.0,5.875997100265,272.6345797426877,94.63171036204744,,,98115,53033002000
17,53033002100,1365468,0,Census Tract 21,Washington,King County,1940,214,1829,234,111,85,5.7,4.3357460447941,63.5,8.72031956433677,30.8,5.5975124904851,1829,234,1232,217,597,127,67.4,8.15455290672381,32.6,5.54757628951571,1770,207,851800.0,59802.0,1364.0,147.0,2379,279.0,589100.0,161242.0,1085700.0,195899.0,5.749604867676029,337.4144910212137,94.27835051546391,,,98115,53033002100
18,53033002200,2804076,1154953,Census Tract 22,Washington,King County,2443,214,2338,192,105,109,4.3,4.44581429822495,77.7,4.0120404009391,18.0,6.06081498105429,2338,192,1898,193,440,153,81.2,4.86819308424654,18.8,6.35894075969543,1858,197,929800.0,34478.0,1557.0,162.0,2473,599.0,778500.0,34632.0,1231400.0,113041.0,3.525749744273341,692.9022696429362,95.70200573065902,,,98115,53033002200
19,53033002400,962528,0,Census Tract 24,Washington,King County,1409,233,1363,242,46,46,3.3,3.2197791424905,70.1,10.9793077331069,26.6,5.29374722183312,1363,242,988,225,375,97,72.5,10.3375922119499,27.5,5.17538456717908,1456,208,873000.0,26700.0,1240.0,140.0,2352,575.0,762100.0,47260.0,983800.0,52630.0,5.924005015086826,237.84584861283216,96.73527324343506,,,98115,53033002400
20,53033002500,984334,0,Census Tract 25,Washington,King County,1325,123,1299,129,26,40,2.0,3.01336726024019,65.9,8.98347712365304,32.2,4.80959095523457,1299,129,873,144,426,75,67.2,8.85127371036428,32.8,4.76749779464075,2166,150,852700.0,24322.0,1441.0,580.0,2530,280.0,714200.0,68950.0,971500.0,24750.0,5.44742410572011,243.2342285611053,98.0377358490566,,,98115,53033002500
21,53033002600,1216627,28175,Census Tract 26,Washington,King County,2107,228,1874,202,233,175,11.1,8.21899329339515,55.9,3.56898900785575,33.0,7.60214015981533,1874,202,1178,148,696,177,62.9,4.0571431715336,37.1,8.55465231339056,2063,283,909600.0,62022.0,1440.0,147.0,2627,777.0,711600.0,72115.0,1108800.0,51889.0,7.008496837565367,300.63507893825863,88.94162316089226,,,98115,53033002600
22,53033002700,1584847,0,Census Tract 27,Washington,King County,2403,221,2376,224,27,30,1.1,1.24415549191125,68.3,6.99712356039545,30.5,8.62609566541587,2376,224,1642,226,734,218,69.1,6.93008706482734,30.9,8.70057979112797,2107,510,936700.0,43799.0,1369.0,421.0,3501,,799400.0,34305.0,1157300.0,84882.0,6.135984093749754,391.6242225021,98.87640449438202,,,98103,53033002700
23,53033002800,988287,0,Census Tract 28,Washington,King County,2373,258,2226,288,147,120,6.2,5.01183859167163,54.0,7.55385837575549,39.8,9.18676097985195,2226,288,1281,227,945,241,57.5,6.96832378899503,42.5,9.32990113395997,1531,198,804500.0,63431.0,1339.0,74.0,2084,302.0,623900.0,63112.0,958100.0,41247.0,9.717005576674609,244.21103613404503,93.80530973451329,,,98103,53033002800
24,53033002900,986209,0,Census Tract 29,Washington,King County,2169,258,2095,268,74,62,3.4,2.82950618264314,67.0,10.3856029668669,29.6,4.03049762778867,2095,268,1454,284,641,116,69.4,10.244157931563,30.6,3.91645441825771,1596,337,839000.0,39084.0,980.0,168.0,2217,459.0,650400.0,102726.0,977400.0,41344.0,8.900376674909106,243.69755115135624,96.58828953434762,,,98117,53033002900
25,53033003000,1493249,0,Census Tract 30,Washington,King County,2708,227,2641,249,67,83,2.5,3.05796763208477,66.4,5.86729829676569,31.1,6.67179514516078,2641,249,1798,219,843,194,68.1,5.24993103423758,31.9,6.70092752134581,1841,145,822700.0,34024.0,1534.0,214.0,2392,458.0,663500.0,48571.0,951900.0,29521.0,7.338954984640201,368.9898637704701,97.5258493353028,,,98117,53033003000
26,53033003100,2236733,472744,Census Tract 31,Washington,King County,2736,238,2697,247,39,58,1.4,2.11625352419835,75.4,6.46622396630175,23.2,4.98034703384983,2697,247,2063,252,634,147,76.5,6.18296693664218,23.5,5.00729149081688,1722,418,843600.0,41170.0,1247.0,613.0,2355,295.0,660500.0,62323.0,990900.0,80677.0,4.950165787193282,552.7087612052076,98.57456140350878,,,98117,53033003100
27,53033003400,787161,0,Census Tract 34,Washington,King County,1577,124,1524,136,53,51,3.4,3.22317358296495,69.1,7.337760243257,27.5,7.09655507751143,1524,136,1090,144,434,117,71.5,6.96728068847908,28.5,7.24434813362478,1455,258,874400.0,47846.0,1131.0,115.0,2050,443.0,703400.0,57134.0,1072100.0,121096.0,8.107480652782188,194.511719181079,96.63918833227648,,,98107,53033003400
28,53033003500,1284745,0,Census Tract 35,Washington,King County,1986,195,1853,166,133,111,6.7,5.55030950723567,50.7,4.01331877518805,42.6,7.17853183527437,1853,166,1007,127,846,165,54.3,4.82416094919798,45.7,7.9095713304933,1730,98,928600.0,44252.0,1169.0,367.0,2143,247.0,741900.0,72330.0,1147400.0,56119.0,6.255760368700598,317.4674033130393,93.3031218529708,,,98103,53033003500
29,53033003800,624606,0,Census Tract 38,Washington,King County,957,105,941,111,16,27,1.7,2.81534696678482,57.9,7.89898290740994,40.4,8.76316150493234,941,111,554,97,387,94,58.9,7.61772752639339,41.1,8.73228685238859,2058,238,910700.0,46067.0,1685.0,96.0,2646,302.0,773300.0,35180.0,1101000.0,98373.0,6.20045532101313,154.3435038966832,98.32810867293624,,,98115,53033003800
30,53033003900,973808,0,Census Tract 39,Washington,King County,1167,136,1142,142,25,29,2.1,2.47243191093189,73.4,9.25196440291941,24.5,5.37194929666518,1142,142,856,147,286,71,75.0,8.87830815047736,25.0,5.38107416190168,2128,566,1019100.0,92094.0,1290.0,668.0,3121,308.0,832500.0,49922.0,1262000.0,119275.0,4.849704916103288,240.63319731578187,97.85775492716368,,,98115,53033003900
31,53033004000,2574586,3232248,Census Tract 40,Washington,King County,1442,134,1389,143,53,56,3.7,3.86844676440666,69.9,7.6757286040501,26.4,5.43509129845214,1389,143,1008,145,381,86,72.6,7.29087735761263,27.4,5.50999585034589,1375,320,926500.0,197071.0,919.0,119.0,1834,198.0,391200.0,82074.0,1599000.0,276089.0,2.2666040136552787,636.1940556500354,96.3245492371706,,,98115,53033004000
32,53033004301,979236,0,Census Tract 43.01,Washington,King County,1522,145,1340,101,182,117,12.0,7.60237009509607,46.3,2.34851562719313,41.8,5.39112859420813,1340,101,704,76,636,102,52.5,4.06038137296666,47.5,6.71891080636859,1336,162,924300.0,37150.0,1109.0,46.0,2225,759.0,793800.0,34792.0,1123300.0,81830.0,6.289919360493982,241.9744853263857,88.04204993429697,,,98105,53033004301
33,53033004302,331137,0,Census Tract 43.02,Washington,King County,1807,190,1479,180,328,146,18.2,7.85103187271143,4.2,3.1799328844397,77.7,5.20069508418084,1479,180,75,58,1404,175,5.1,3.87270120818677,94.9,2.55475000217297,1339,102,908300.0,367080.0,959.0,43.0,1770,154.0,595800.0,272841.0,1122700.0,258748.0,22.08351695907332,81.82573470289427,81.84836745987825,,,98105,53033004302
34,53033004500,670997,0,Census Tract 45,Washington,King County,1060,111,1005,122,55,54,5.2,5.06528131139489,55.6,7.78218238864704,39.2,8.59647216984104,1005,122,589,103,416,101,58.6,7.37707366546419,41.4,8.70336845963002,1925,342,837300.0,47208.0,1512.0,304.0,3117,462.0,668000.0,68109.0,976200.0,56676.0,6.392976135130142,165.80696964832666,94.81132075471696,,,98105,53033004500
35,53033004600,1552358,1033232,Census Tract 46,Washington,King County,1461,140,1363,155,98,68,6.7,4.60974947409508,59.9,6.06579715946095,33.4,8.95947536108557,1363,155,875,122,488,139,64.2,5.17894041316044,35.8,9.35005707594451,1876,174,954900.0,52700.0,1543.0,157.0,2697,663.0,786100.0,44152.0,1281900.0,113339.0,3.808694407556948,383.5960157636131,93.29226557152636,,,98103,53033004600
36,53033004800,1278329,26886,Census Tract 48,Washington,King County,2542,400,2340,419,202,139,7.9,5.32324359774347,49.5,0.801464814303833,42.6,14.4560715987748,2340,419,1258,199,1082,405,53.8,12.8448369974089,46.2,15.1988279021763,1823,148,872500.0,37092.0,1511.0,141.0,2474,696.0,726500.0,79802.0,1038100.0,230964.0,8.047309437351892,315.881975185546,92.05350118017309,,,98107,53033004800
37,53033005000,757380,0,Census Tract 50,Washington,King County,2575,340,2328,313,247,163,9.6,6.20209538345661,19.1,4.41777141959629,71.3,8.34788362001854,2328,313,492,131,1836,324,21.1,4.8570386924174,78.9,9.01456422330005,1695,142,920100.0,54609.0,1241.0,222.0,2101,312.0,794100.0,47339.0,1130800.0,277736.0,13.75882025889224,187.1526738156052,90.40776699029126,,,98103,53033005000
38,53033005100,881731,0,Census Tract 51,Washington,King County,1719,103,1604,132,115,72,6.7,4.16925616496214,59.0,5.95027044146095,34.3,4.56224251551467,1604,132,1015,119,589,86,63.3,5.28417979122467,36.7,4.42886158580452,1475,135,994700.0,61779.0,1204.0,130.0,2169,284.0,789400.0,52610.0,1216100.0,48166.0,7.8896468311826045,217.8804751064293,93.31006399069226,,,98103,53033005100
39,53033005600,3022785,1546484,Census Tract 56,Washington,King County,2861,248,2774,217,87,119,3.0,4.15102402643347,86.8,10.4840553485454,10.2,4.67052930550246,2774,217,2482,209,292,136,89.5,2.78855285912791,10.5,4.83302219951183,2320,517,1157000.0,66117.0,2026.0,333.0,3273,744.0,886400.0,52157.0,1611400.0,108263.0,3.830261240705569,746.9464405182395,96.95910520796924,,,98199,53033005600
40,53033005700,5085640,2365806,Census Tract 57,Washington,King County,3206,492,2989,501,217,128,6.8,3.85502691756614,65.1,9.26834944872036,28.1,7.19723847238036,2989,501,2088,437,901,269,69.9,8.75522115254291,30.1,7.44753037437331,1648,146,890600.0,44076.0,1185.0,251.0,1963,303.0,710600.0,151089.0,1152500.0,178483.0,2.5511482704662845,1256.6890122046984,93.23144104803494,,,98199,53033005700
41,53033005801,1822365,260223,Census Tract 58.01,Washington,King County,3350,360,3153,374,197,147,5.9,4.34231663653785,30.0,3.76308883804643,64.1,7.20594665470303,3153,374,1005,166,2148,334,31.9,3.66381769390787,68.1,6.84931126795904,2073,211,691200.0,98960.0,1668.0,84.0,2753,263.0,442800.0,111955.0,907700.0,65094.0,7.439217179346478,450.3161984974192,94.11940298507464,,,98199,53033005801
42,53033006000,1340653,160754,Census Tract 60,Washington,King County,3344,486,3076,470,268,144,8.0,4.14570291653928,36.5,2.55836479205967,55.5,11.8761080648364,3076,470,1221,197,1855,480,39.7,2.0568627304562,60.3,12.5936536963347,1736,199,1089400.0,50301.0,1297.0,334.0,2185,230.0,843600.0,99082.0,1274100.0,187738.0,10.094101811956818,331.28257098010585,91.98564593301435,,,98109,53033006000
43,53033006100,1227451,652743,Census Tract 61,Washington,King County,3328,223,3065,259,263,148,7.9,4.41547605861074,42.3,6.66276080115948,49.8,6.63076051091805,3065,259,1409,241,1656,247,46.0,6.83636757548876,54.0,6.64065236809294,1662,131,966300.0,102132.0,1360.0,52.0,2146,130.0,663300.0,186013.0,1664700.0,120263.0,10.97228172346346,303.30974758725927,92.09735576923076,,,98102,53033006100
44,53033006200,2437426,239356,Census Tract 62,Washington,King County,1650,143,1632,147,18,20,1.1,1.20842831392639,89.9,4.56838497183554,9.0,2.99018647266556,1632,147,1483,149,149,51,90.9,4.04487838795874,9.1,3.01485404795161,3134,208,1159900.0,72002.0,1868.0,1230.0,3455,280.0,932500.0,63292.0,1653600.0,147131.0,2.7394936695349417,602.3010815279982,98.9090909090909,,,98112,53033006200
45,53033006300,2610569,3533560,Census Tract 63,Washington,King County,2900,359,2648,378,252,163,8.7,5.51679073480425,55.3,9.51700918805375,36.0,6.80918998501884,2648,378,1604,340,1044,236,60.6,9.4917699995839,39.4,6.91056617622051,1797,179,1916700.0,314322.0,1427.0,92.0,2356,241.0,1002800.0,291159.0,2000001.0,,4.495527076648723,645.0856485913685,91.3103448275862,,,98112,53033006300
46,53033006400,903649,0,Census Tract 64,Washington,King County,1466,234,1460,231,6,10,0.4,0.678992777730834,80.9,9.14837371001973,18.7,4.56935328250572,1460,231,1186,232,274,80,81.2,9.34429557165962,18.8,4.60516455263276,2255,440,1221600.0,353753.0,1681.0,264.0,2734,170.0,752500.0,192211.0,1856100.0,200151.0,6.565260975487483,223.2965308574267,99.59072305593452,,,98112,53033006400
47,53033006500,1147619,0,Census Tract 65,Washington,King County,2876,332,2665,352,211,144,7.3,4.93480644249592,38.2,6.12137807381478,54.5,10.7442583438239,2665,352,1099,217,1566,358,41.2,6.05256246878284,58.8,10.9643428725632,1769,75,1068300.0,110991.0,1483.0,131.0,2125,218.0,690400.0,146690.0,1614000.0,131305.0,10.14165770244496,283.58283077397215,92.663421418637,,,98102,53033006500
48,53033006600,1117109,831139,Census Tract 66,Washington,King County,2486,209,2351,208,135,115,5.4,4.60332161784121,18.9,4.98295659024918,75.7,6.77016838061741,2351,208,469,130,1882,231,19.9,5.24032704233667,80.1,6.81049061755904,1898,109,915700.0,196217.0,1578.0,89.0,2374,185.0,682500.0,102067.0,1682300.0,692808.0,9.005822230495154,276.0436455854088,94.56958970233306,,,98102,53033006600
49,53033006800,718106,0,Census Tract 68,Washington,King County,1592,189,1537,186,55,55,3.5,3.43034150412992,39.6,5.39772725649384,56.9,8.02449485441922,1537,186,631,114,906,167,41.1,5.5072747107919,58.9,8.1957654179492,1969,202,1358300.0,157413.0,1595.0,194.0,2465,314.0,1085500.0,78867.0,1652000.0,73771.0,8.971649623399163,177.44785706386358,96.54522613065326,,,98109,53033006800
50,53033006900,905121,0,Census Tract 69,Washington,King County,2248,175,2142,191,106,96,4.7,4.25465735687586,55.1,7.99635176358786,40.2,6.44319444950132,2142,191,1239,204,903,161,57.8,8.00624098740831,42.2,6.50881267868118,1961,234,1125700.0,179660.0,1511.0,175.0,2682,287.0,702700.0,145967.0,1655700.0,259015.0,10.050958090194603,223.6602699789464,95.2846975088968,,,98119,53033006900
51,53033007600,571882,0,Census Tract 76,Washington,King County,2259,185,2219,191,40,63,1.8,2.78507204510784,38.2,8.56692115525693,60.1,5.98427028542658,2219,191,862,206,1357,175,38.8,8.66039170703834,61.2,5.87267996357853,1586,141,841000.0,139646.0,1144.0,111.0,1939,111.0,595000.0,91269.0,1105900.0,103824.0,15.985550617437562,141.3151197642081,98.22930500221338,,,98112,53033007600
52,53033007700,1058322,0,Census Tract 77,Washington,King County,2596,228,2537,201,59,98,2.3,3.76975762674748,56.4,7.29720196095496,41.3,8.12566047307187,2537,201,1465,229,1072,231,57.7,7.78108463358791,42.3,8.46747718369321,1771,281,895100.0,39475.0,1103.0,270.0,2376,403.0,750900.0,71872.0,1136300.0,157322.0,9.926694590635178,261.51706152509826,97.72727272727272,,,98112,53033007700
53,53033007800,2097740,3632914,Census Tract 78,Washington,King County,2279,152,2231,145,48,77,2.1,3.37575337173597,77.4,7.73643546770533,20.4,6.70787824152945,2231,145,1765,212,466,156,79.1,7.99117855275681,20.9,6.85933279560806,2381,284,1142900.0,132692.0,2022.0,764.0,2921,1014.0,848200.0,67159.0,1869600.0,422279.0,4.396534263850347,518.3628429189412,97.89381307591049,,,98122,53033007800
54,53033008002,234314,0,Census Tract 80.02,Washington,King County,3395,418,2744,415,651,206,19.2,5.58960624149096,15.3,2.60102434157229,65.5,8.42276535119117,2744,415,519,109,2225,396,18.9,2.75618091583283,81.1,7.60772790541237,1863,317,1042200.0,135608.0,,,2571,342.0,680900.0,119259.0,1277900.0,148084.0,58.63532505120369,57.90025035309847,80.82474226804123,,,98121,53033008002
55,53033008200,375785,0,Census Tract 82,Washington,King County,3493,250,2856,278,637,238,18.2,6.68744558796845,11.9,4.26766964357599,69.9,5.78034504201818,2856,278,415,152,2441,267,14.5,5.13073962517772,85.5,4.2644093148943,2155,113,489000.0,135047.0,1402.0,225.0,2665,280.0,419800.0,174306.0,817700.0,588150.0,37.616375010825166,92.85849577464047,81.76352705410822,,,98101,53033008200
56,53033008300,237955,0,Census Tract 83,Washington,King County,2361,269,2055,260,306,212,13.0,8.85699289727235,17.2,4.08659099517836,69.8,6.04915231708819,2055,260,406,107,1649,236,19.8,4.56757570643863,80.2,5.36791424465843,1733,160,539700.0,96017.0,1180.0,223.0,2329,185.0,438700.0,33973.0,714700.0,91336.0,40.15308782453078,58.79996104702043,87.03939008894537,,,98101,53033008300
57,53033008500,450978,0,Census Tract 85,Washington,King County,2307,217,1920,186,387,127,16.8,5.27400559651395,8.5,3.729828659919,74.7,3.58163740943165,1920,186,196,88,1724,182,10.2,4.47537231601387,89.8,3.76689799675874,1432,74,648100.0,532914.0,1024.0,208.0,1873,140.0,313300.0,247779.0,1195900.0,598159.0,20.701891813961268,111.4390907233014,83.22496749024707,,,98104,53033008500
58,53033008600,711350,0,Census Tract 86,Washington,King County,3259,310,2931,330,328,178,10.1,5.3772424161842,13.9,4.3774780047703,76.1,7.81122547047773,2931,330,452,149,2479,347,15.4,4.77788630759714,84.6,7.03418486598608,1635,132,683300.0,127139.0,1138.0,112.0,2069,178.0,538500.0,81904.0,1010600.0,260555.0,18.540388107965637,175.77841310667137,89.93556305615219,,,98122,53033008600
59,53033008700,732385,0,Census Tract 87,Washington,King County,2038,197,1841,202,197,104,9.7,5.01676902448414,42.5,3.64568794538493,47.8,8.09777094607006,1841,202,867,112,974,190,47.1,3.21090439591781,52.9,8.53312133166756,1751,121,798800.0,66856.0,1207.0,308.0,2325,352.0,599600.0,48103.0,1000400.0,83846.0,11.261144601338154,180.9762748058333,90.33366045142296,,,98122,53033008700
60,53033008800,948581,0,Census Tract 88,Washington,King County,1784,152,1650,155,134,88,7.5,4.89104476933635,53.9,6.08329323831463,38.6,7.00287613738592,1650,155,962,136,688,138,58.3,6.15959101763408,41.7,7.38969672867721,2001,259,889600.0,55010.0,1384.0,211.0,2406,234.0,684800.0,85893.0,1136800.0,113949.0,7.610938715366916,234.3994698575096,92.48878923766816,,,98122,53033008800
61,53033008900,1270033,1798066,Census Tract 89,Washington,King County,2653,292,2543,306,110,100,4.1,3.74159032291806,66.8,10.3591739226298,29.1,6.19635960080467,2543,306,1772,337,771,185,69.7,10.2621846734542,30.3,6.29397567553356,1832,152,749600.0,83351.0,1505.0,224.0,2329,298.0,586000.0,40630.0,962100.0,168740.0,8.453567811723788,313.8319889408943,95.85375047116472,,,98144,53033008900
62,53033009000,855872,0,Census Tract 90,Washington,King County,2205,180,2080,178,125,82,5.7,3.6899149579441,21.0,3.95273116961141,73.3,6.93447616273829,2080,178,463,95,1617,202,22.3,4.15109862070299,77.7,7.07491758160147,1408,227,596200.0,69849.0,859.0,294.0,2047,307.0,435500.0,51730.0,787500.0,107068.0,10.42599642398844,211.4905770470697,94.33106575963718,,,98144,53033009000
63,53033009100,410621,0,Census Tract 91,Washington,King County,1943,239,1773,251,170,88,8.7,4.39935267005707,4.6,2.87899254506694,86.7,7.47623045768746,1773,251,89,57,1684,253,5.0,3.13536544923565,95.0,4.77725866382819,851,205,469400.0,100225.0,502.0,123.0,1560,238.0,393200.0,147476.0,591100.0,165788.0,19.149147337138267,101.4666588434308,91.25064333504888,,,98104,53033009100
