,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Housing Units,Total Housing Units - Margin of Error,Occupied Housing Units,Occupied Housing Units - Margin of Error,Vacant Housing Units,Vacant Housing Units - Margin of Error,Percent of Housing Units that are Vacant (Vacancy Rate),Percent of Housing Units that are Vacant (Vacancy Rate) - Margin of Error,Percent of Total Housing Units (including Vacant) that are Owner-Occupied,Percent of Total Housing Units (including Vacant) that are Owner-Occupied - Margin of Error,Percent of Total Housing Units (including Vacant) that are Renter-Occupied,Percent of Total Housing Units (including Vacant) that are Renter-Occupied - Margin of Error,Total Occupied Housing Units,Total Occupied Housing Units - Margin of Error,Owner-Occupied Housing Units,Owner-Occupied Housing Units - Margin of Error,Renter-Occupied Housing Units,Renter-Occupied Housing Units - Margin of Error,Overall Homeownership Rate: Percent of Occupied Housing Units that are Owner-Occupied,Overall Homeownership Rate: Percent of Occupied Housing Units that are Owner-Occupied - Margin of Error,Overall Renter Rate: Percent of Occupied Housing Units that are Renter-Occupied,Overall Renter Rate: Percent of Occupied Housing Units that are Renter-Occupied - Margin of Error,Median Contract Rent (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent),Median Contract Rent (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent) - Margin of Error,Median Home Value (for Owner-Occupied Housing Units),Median Home Value (for Owner-Occupied Housing Units) - Margin of Error,Lower Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent),Lower Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent) - Margin of Error,Upper Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent),Upper Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent) - Margin of Error,Lower Home Value Quartile (for Owner-Occupied Housing Units),Lower Home Value Quartile (for Owner-Occupied Housing Units) - Margin of Error,Upper Home Value Quartile (for Owner-Occupied Housing Units),Upper Home Value Quartile (for Owner-Occupied Housing Units) - Margin of Error,Housing Units per Gross Land Acre,Gross Land Acre,Percent Owner-Occupied Housing Units,x,y,zip,tract
74,53033010200,2795533,2076618,Census Tract 102,Washington,King County,2065,125,1935,153,130,82,6.3,3.95261668869122,79.2,6.08567915453108,14.5,3.5246175191271,1935,153,1636,160,299,75,84.5,4.86625034640406,15.5,3.67836057797519,2095,411,835700.0,40001.0,1431.0,311.0,2534,429.0,629200.0,42737.0,1034600.0,74511.0,2.9893256535536668,690.7912483690621,93.7046004842615,,,98118,53033010200
75,53033010401,1629874,0,Census Tract 104.01,Washington,King County,1553,127,1388,141,165,86,10.6,5.46908384627542,62.1,7.9859537702535,27.2,8.00228858892907,1388,141,965,147,423,129,69.5,7.89199591706162,30.5,8.76317045453238,1659,393,638100.0,40966.0,1229.0,238.0,2315,980.0,496900.0,46365.0,797100.0,69724.0,3.8559839742133946,402.7506365134222,89.37540244687702,,,98108,53033010401
76,53033010402,1742875,0,Census Tract 104.02,Washington,King County,1691,116,1591,147,100,68,5.9,4.00077493860642,69.2,9.32715395334179,24.8,7.01059554548606,1591,147,1171,177,420,122,73.6,8.80466116441166,26.4,7.26987965771947,1602,243,605700.0,40251.0,1355.0,119.0,1978,221.0,433400.0,104931.0,740400.0,59988.0,3.926405628790517,430.6737917245939,94.08633944411592,,,98108,53033010402
77,53033010701,1457384,3664,Census Tract 107.01,Washington,King County,1815,204,1784,208,31,37,1.7,2.02950832818646,53.1,7.00689813289394,45.2,8.32189934352689,1784,208,963,167,821,177,54.0,6.92954002890772,46.0,8.34548904137004,1305,144,588900.0,32202.0,955.0,424.0,1600,278.0,467900.0,62474.0,698900.0,20499.0,5.039882698489802,360.12742926415007,98.29201101928376,,,98106,53033010701
78,53033010702,780116,0,Census Tract 107.02,Washington,King County,1893,255,1815,253,78,58,4.1,3.01322441853423,46.5,9.09298302859314,49.4,7.58518368131727,1815,253,880,209,935,191,48.5,9.32316860551402,51.5,7.69265626126764,1083,436,582700.0,47474.0,387.0,269.0,1431,97.0,477300.0,49241.0,690900.0,29345.0,9.819948837869054,192.7708617686428,95.8795562599049,,,98126,53033010702
79,53033010800,4140525,322633,Census Tract 108,Washington,King County,1907,187,1839,199,68,60,3.6,3.12681295450106,72.5,4.6466792781713,23.9,7.61793582008372,1839,199,1383,162,456,152,75.2,3.37277601798164,24.8,7.81771023836564,2053,336,562900.0,33330.0,1453.0,333.0,2360,130.0,434700.0,34382.0,686000.0,21658.0,1.8638590993935928,1023.146009599354,96.43418982695331,,,98106,53033010800
80,53033010900,5389781,414929,Census Tract 109,Washington,King County,723,106,625,107,98,56,13.6,7.48622942577849,50.1,11.7225316588385,36.4,6.53769560628554,625,107,362,100,263,61,57.9,12.5568645713324,42.1,6.58472480995098,1244,257,532200.0,86839.0,796.0,209.0,1984,480.0,439600.0,32333.0,671000.0,56635.0,0.5428564153896317,1331.843890029505,86.44536652835409,,,98108,53033010900
81,53033011001,1080391,0,Census Tract 110.01,Washington,King County,1910,253,1826,252,84,60,4.4,3.08687321586218,43.8,10.3147046599398,51.8,7.97537336242723,1826,252,836,226,990,201,45.8,10.6425015824403,54.2,8.07367075589804,825,456,553200.0,53250.0,255.0,162.0,1247,183.0,411300.0,86680.0,665600.0,27559.0,7.154350384984561,266.97043018869726,95.6020942408377,,,98118,53033011001
82,53033011002,1719569,0,Census Tract 110.02,Washington,King County,1324,107,1296,94,28,48,2.1,3.62134685578537,61.1,7.50987287312509,36.8,7.83899386587564,1296,94,809,119,487,111,62.4,7.9882372579123,37.6,8.11958626830704,1132,143,541600.0,37123.0,681.0,207.0,1448,255.0,386400.0,61118.0,650100.0,19089.0,3.1159191072050607,424.91475370412,97.88519637462235,,,98108,53033011002
83,53033011101,1136851,0,Census Tract 111.01,Washington,King County,2204,208,2153,191,51,84,2.3,3.80499074721242,43.0,6.66517725280302,54.7,7.73891401269554,2153,191,948,172,1205,205,44.0,6.96874654528977,56.0,8.12453763091449,1587,180,534500.0,58282.0,1265.0,184.0,1956,137.0,434200.0,22943.0,675600.0,54645.0,7.845594149954069,280.92200002633365,97.68602540834846,,,98118,53033011101
84,53033011102,1303226,1143440,Census Tract 111.02,Washington,King County,1969,268,1892,278,77,54,3.9,2.69036073963477,56.6,10.9709994631539,39.5,6.23244157784304,1892,278,1115,264,777,162,58.9,10.9415822146318,41.1,6.07469573051021,1549,254,845600.0,58979.0,1123.0,88.0,1971,376.0,620400.0,82749.0,1063600.0,127945.0,6.114258229735633,322.0341578679341,96.08938547486034,,,98118,53033011102
85,53033011200,2483779,139646,Census Tract 112,Washington,King County,1513,160,1451,169,62,54,4.1,3.54266270258277,38.0,7.66904851544692,57.9,9.57844732206645,1451,169,575,131,876,172,39.6,7.75928333331902,60.4,9.54311190885382,1061,147,467300.0,23209.0,755.0,193.0,1402,173.0,406600.0,24850.0,585800.0,72885.0,2.4651524016794912,613.755157275146,95.90218109715796,,,98108,53033011200
86,53033011300,3419308,42220,Census Tract 113,Washington,King County,3099,294,2811,336,288,179,9.3,5.70837312403868,49.0,7.59760882795885,41.7,7.79763158330874,2811,336,1518,276,1293,271,54.0,7.39855471018016,46.0,7.91918279229972,1221,85,498300.0,42424.0,1042.0,63.0,1751,252.0,416100.0,23917.0,650000.0,32626.0,3.667762030509497,844.929407693746,90.70667957405615,,,98106,53033011300
87,53033011401,1233155,0,Census Tract 114.01,Washington,King County,1867,167,1841,167,26,34,1.4,1.81683810312115,51.0,7.00098047023468,47.6,4.22447998368477,1841,167,952,156,889,112,51.7,7.05686501099173,48.3,4.22174972518531,1688,107,540200.0,60442.0,1366.0,119.0,2027,185.0,409000.0,42521.0,685400.0,60786.0,6.126951551605969,304.719236683148,98.6073915372255,,,98106,53033011401
88,53033011402,1186191,0,Census Tract 114.02,Washington,King County,2031,161,1918,184,113,77,5.6,3.76549427429537,46.6,7.29177378345196,47.9,8.92695564178905,1918,184,946,166,972,197,49.3,7.24692932021816,50.7,9.04764225953794,1175,97,484200.0,28041.0,986.0,76.0,1640,216.0,409300.0,23108.0,621100.0,38156.0,6.929040427632857,293.1141795479238,94.43623830625307,,,98106,53033011402
89,53033011500,1538373,0,Census Tract 115,Washington,King County,2113,216,1979,247,134,98,6.3,4.5924253205178,68.0,7.10702847789287,25.7,7.504262919065,1979,247,1436,210,543,168,72.6,5.53012313092002,27.4,7.76774067518168,1588,406,603600.0,25731.0,1194.0,171.0,2190,204.0,491800.0,33634.0,714200.0,27301.0,5.558474843572423,380.1402470037947,93.65830572645528,,,98126,53033011500
90,53033011700,3515808,0,Census Tract 117,Washington,King County,1740,178,1595,186,145,85,8.3,4.81009839596673,60.6,7.4741666222112,31.0,9.36135981097503,1595,186,1055,169,540,172,66.1,7.26436086850214,33.9,10.0349825043732,1646,191,553700.0,34604.0,1315.0,206.0,1979,214.0,422700.0,41514.0,670200.0,22133.0,2.002819885208711,868.775077005328,91.66666666666666,,,98118,53033011700
91,53033012000,1437048,0,Census Tract 120,Washington,King County,1555,166,1499,165,56,54,3.6,3.45132292773217,75.6,5.85572505426517,20.8,7.05307804515065,1499,165,1175,155,324,115,78.4,5.69868615752471,21.6,7.29354311210855,1780,252,582700.0,30372.0,1278.0,416.0,2255,443.0,452600.0,37448.0,705700.0,25495.0,4.379019863520134,355.1022942266337,96.39871382636656,,,98146,53033012000
92,53033012100,1739952,1380849,Census Tract 121,Washington,King County,1275,136,1162,138,113,68,8.9,5.24887987131121,80.5,5.78847249633532,10.7,4.32338072553705,1162,138,1026,132,136,57,88.3,4.36863259978068,11.7,4.70428509454244,1495,292,862100.0,83859.0,1200.0,163.0,1948,403.0,624100.0,53970.0,1233100.0,250109.0,2.9654507357443785,429.95150269456536,91.1372549019608,,,98146,53033012100
