,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total households,Total households - Margin of Error,"Households whose income in the past 12 months was less than $10,000","Households whose income in the past 12 months was less than $10,000 - Margin of Error","Households whose income in the past 12 months was $10,000 to $14,999","Households whose income in the past 12 months was $10,000 to $14,999 - Margin of Error","Households whose income in the past 12 months was $15,000 to $19,999","Households whose income in the past 12 months was $15,000 to $19,999 - Margin of Error","Households whose income in the past 12 months was $20,000 to $24,999","Households whose income in the past 12 months was $20,000 to $24,999 - Margin of Error","Households whose income in the past 12 months was $25,000 to $29,999","Households whose income in the past 12 months was $25,000 to $29,999 - Margin of Error","Households whose income in the past 12 months was $30,000 to $34,999","Households whose income in the past 12 months was $30,000 to $34,999 - Margin of Error","Households whose income in the past 12 months was $35,000 to $39,999","Households whose income in the past 12 months was $35,000 to $39,999 - Margin of Error","Households whose income in the past 12 months was $40,000 to $44,999","Households whose income in the past 12 months was $40,000 to $44,999 - Margin of Error","Households whose income in the past 12 months was $45,000 to $49,999","Households whose income in the past 12 months was $45,000 to $49,999 - Margin of Error","Households whose income in the past 12 months was $50,000 to $59,999","Households whose income in the past 12 months was $50,000 to $59,999 - Margin of Error","Households whose income in the past 12 months was $60,000 to $74,999","Households whose income in the past 12 months was $60,000 to $74,999 - Margin of Error","Households whose income in the past 12 months was $75,000 to $99,999","Households whose income in the past 12 months was $75,000 to $99,999 - Margin of Error","Households whose income in the past 12 months was $100,000 to $124,999","Households whose income in the past 12 months was $100,000 to $124,999 - Margin of Error","Households whose income in the past 12 months was $125,000 to $149,999","Households whose income in the past 12 months was $125,000 to $149,999 - Margin of Error","Households whose income in the past 12 months was $150,000 to $199,999","Households whose income in the past 12 months was $150,000 to $199,999 - Margin of Error","Households whose income in the past 12 months was $200,000 or more","Households whose income in the past 12 months was $200,000 or more - Margin of Error","Households whose income in the past 12 months was less than $75,000","Households whose income in the past 12 months was less than $75,000 - Margin of Error","Percent of households whose income in the past 12 months was less than $75,000","Percent of households whose income in the past 12 months was less than $75,000 - Margin of Error","Percent of households whose income in the past 12 months was $75,000 to $99,999","Percent of households whose income in the past 12 months was $75,000 to $99,999 - Margin of Error","Households whose income in the past 12 months was at least $100,000","Households whose income in the past 12 months was at least $100,000 - Margin of Error","Percent of households whose income in the past 12 months was at least $100,000","Percent of households whose income in the past 12 months was at least $100,000 - Margin of Error",x,y,zip,tract
78,53033010702,780116,0,Census Tract 107.02,Washington,King County,1815,253,109,52,88,52,41,42,205,141,44,48,84,68,91,74,39,35,21,21,145,129,64,40,70,86,138,75,227,167,150,54,299,96,931,244,51.3,11.3843458001724,3.9,4.70769469904319,814,214,44.8,9.99682204897889,,,98126,53033010702
79,53033010800,4140525,322633,Census Tract 108,Washington,King County,1839,199,20,21,39,31,30,26,47,40,21,21,55,50,35,34,12,16,78,46,129,156,121,66,265,103,168,85,82,49,305,93,432,132,587,197,31.9,10.140211777321,14.4,5.3794296727414,987,189,53.7,8.47901050090208,,,98106,53033010800
80,53033010900,5389781,414929,Census Tract 109,Washington,King County,625,107,65,88,6,9,64,45,19,16,12,13,24,29,24,21,31,31,7,10,66,38,23,17,39,30,52,36,57,33,47,26,89,42,341,120,54.6,16.7747383463473,6.2,4.67961117498623,245,69,39.2,8.76604483894533,,,98108,53033010900
81,53033011001,1080391,0,Census Tract 110.01,Washington,King County,1826,252,319,220,248,104,54,41,19,20,126,57,59,51,45,51,37,46,13,19,44,34,155,86,136,137,155,91,98,54,139,58,179,81,1119,284,61.3,13.0527599439318,7.4,7.43199606743008,571,145,31.3,6.66582970772754,,,98118,53033011001
82,53033011002,1719569,0,Census Tract 110.02,Washington,King County,1296,94,48,46,43,32,53,56,94,74,102,79,32,35,50,48,110,75,57,44,106,59,104,75,160,82,96,61,59,42,60,43,122,65,799,195,61.7,14.3664773260894,12.3,6.2634768431052,337,108,26.0,8.11710226174593,,,98108,53033011002
83,53033011101,1136851,0,Census Tract 111.01,Washington,King County,2153,191,71,73,112,99,19,25,139,112,35,42,75,62,68,67,205,127,0,18,163,86,125,77,341,134,302,151,123,106,224,90,151,77,1012,261,47.0,11.3828742221373,15.8,6.06319767132171,800,219,37.2,9.62291930046093,,,98118,53033011101
84,53033011102,1303226,1143440,Census Tract 111.02,Washington,King County,1892,278,45,37,36,44,64,84,38,45,18,21,28,45,20,24,57,89,54,45,211,135,171,102,122,76,197,120,125,80,285,205,421,102,742,232,39.2,10.8238053775911,6.4,3.90357605925858,1028,271,54.3,11.8922143112075,,,98118,53033011102
85,53033011200,2483779,139646,Census Tract 112,Washington,King County,1451,169,172,102,60,53,17,26,43,46,117,109,14,23,80,52,68,48,51,42,47,32,201,103,53,37,183,79,101,66,134,62,110,77,870,216,60.0,13.1465839183826,3.7,2.514226297985,528,143,36.4,8.89739799894762,,,98108,53033011200
86,53033011300,3419308,42220,Census Tract 113,Washington,King County,2811,336,63,52,93,93,120,73,198,88,90,56,143,167,56,71,114,93,32,36,145,86,224,125,298,131,141,83,200,121,503,229,391,114,1278,306,45.5,9.43231115547624,10.6,4.484678516659,1235,295,43.9,9.08602410127892,,,98106,53033011300
87,53033011401,1233155,0,Census Tract 114.01,Washington,King County,1841,167,37,27,52,54,39,37,21,26,79,59,65,54,81,58,16,16,40,59,51,43,199,86,269,92,377,128,98,53,153,59,264,143,680,169,36.9,8.54648097099597,14.6,4.81830344834702,892,208,48.5,10.408272907427,,,98106,53033011401
88,53033011402,1186191,0,Census Tract 114.02,Washington,King County,1918,184,6,10,104,60,95,50,94,86,49,69,37,24,37,36,81,67,63,64,91,53,289,120,265,105,336,155,166,72,74,57,131,64,946,215,49.3,10.1620155161167,13.8,5.31157110964903,707,191,36.9,9.30927720448574,,,98106,53033011402
89,53033011500,1538373,0,Census Tract 115,Washington,King County,1979,247,78,104,43,42,10,15,8,12,47,37,128,150,29,27,96,102,19,30,93,55,164,69,279,81,212,74,178,65,269,85,326,88,715,238,36.1,11.1488704462022,14.1,3.6954465161491,985,157,49.8,4.93421683725196,,,98126,53033011500
90,53033011700,3515808,0,Census Tract 117,Washington,King County,1595,186,26,31,18,18,13,22,87,70,71,57,11,16,78,59,78,63,31,31,56,41,215,115,302,158,106,71,193,89,148,79,162,61,684,183,42.9,10.3261277355311,18.9,9.65674453466309,609,151,38.2,8.35466844742868,,,98118,53033011700
91,53033012000,1437048,0,Census Tract 120,Washington,King County,1499,165,25,37,0,13,0,13,20,22,22,31,16,19,28,27,33,27,58,44,91,49,108,63,202,93,192,103,136,51,306,140,262,72,401,115,26.8,7.08418009402271,13.5,6.02420906229925,896,195,59.8,11.2221466984897,,,98146,53033012000
92,53033012100,1739952,1380849,Census Tract 121,Washington,King County,1162,138,19,17,12,19,17,16,11,13,28,33,22,22,33,33,16,19,8,11,13,15,104,95,45,30,111,52,60,32,203,78,460,105,283,116,24.4,9.55459472654906,3.9,2.54046027618746,834,144,71.8,8.99539885832952,,,98146,53033012100
