,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Commuters (Workers 16 Years and Over Who Did Not Work at Home),Total Commuters (Workers 16 Years and Over Who Did Not Work at Home) - Margin of Error,Workers whose commute was less than 5 minutes,Workers whose commute was less than 5 minutes - Margin of Error,Workers whose commute was 5 to 9 minutes,Workers whose commute was 5 to 9 minutes - Margin of Error,Workers whose commute was 10 to 14 minutes,Workers whose commute was 10 to 14 minutes - Margin of Error,Workers whose commute was 15 to 19 minutes,Workers whose commute was 15 to 19 minutes - Margin of Error,Workers whose commute was 20 to 24 minutes,Workers whose commute was 20 to 24 minutes - Margin of Error,Workers whose commute was 25 to 29 minutes,Workers whose commute was 25 to 29 minutes - Margin of Error,Workers whose commute was 30 to 34 minutes,Workers whose commute was 30 to 34 minutes - Margin of Error,Workers whose commute was 35 to 39 minutes,Workers whose commute was 35 to 39 minutes - Margin of Error,Workers whose commute was 40 to 44 minutes,Workers whose commute was 40 to 44 minutes - Margin of Error,Workers whose commute was 45 to 59 minutes,Workers whose commute was 45 to 59 minutes - Margin of Error,Workers whose commute was 60 to 89 minutes,Workers whose commute was 60 to 89 minutes - Margin of Error,Workers whose commute was 90 minutes or more,Workers whose commute was 90 minutes or more - Margin of Error,Percent of workers whose commute was less than 5 minutes,Percent of workers whose commute was less than 5 minutes - Margin of Error,Percent of workers whose commute was 5 to 9 minutes,Percent of workers whose commute was 5 to 9 minutes - Margin of Error,Percent of workers whose commute was 10 to 14 minutes,Percent of workers whose commute was 10 to 14 minutes - Margin of Error,Percent of workers whose commute was 15 to 19 minutes,Percent of workers whose commute was 15 to 19 minutes - Margin of Error,Percent of workers whose commute was 20 to 24 minutes,Percent of workers whose commute was 20 to 24 minutes - Margin of Error,Percent of workers whose commute was 25 to 29 minutes,Percent of workers whose commute was 25 to 29 minutes - Margin of Error,Percent of workers whose commute was 30 to 34 minutes,Percent of workers whose commute was 30 to 34 minutes - Margin of Error,Percent of workers whose commute was 35 to 39 minutes,Percent of workers whose commute was 35 to 39 minutes - Margin of Error,Percent of workers whose commute was 40 to 44 minutes,Percent of workers whose commute was 40 to 44 minutes - Margin of Error,Percent of workers whose commute was 45 to 59 minutes,Percent of workers whose commute was 45 to 59 minutes - Margin of Error,Percent of workers whose commute was 60 to 89 minutes,Percent of workers whose commute was 60 to 89 minutes - Margin of Error,Percent of workers whose commute was 90 minutes or more,Percent of workers whose commute was 90 minutes or more - Margin of Error,Percent of workers whose commute was 45 minutes or more,x,y,zip,tract
22,53033002700,1584847,0,Census Tract 27,Washington,King County,2469,459,0,18,117,87,439,272,286,139,289,130,109,54,627,141,102,75,164,80,270,129,66,63,0,18,0.0,0.729040097205346,4.7,3.4117923239398,17.8,10.5090143713071,11.6,5.20167015309416,11.7,4.7945898937914,4.4,2.02729072621174,25.4,3.21327579506097,4.1,2.93897457445387,6.6,2.99564672015341,10.9,4.8130419864181,2.7,2.50277988191133,0.0,0.729040097205346,13.608748481166463,,,98103,53033002700
23,53033002800,988287,0,Census Tract 28,Washington,King County,2602,355,89,84,92,58,218,141,255,153,294,117,344,194,384,159,158,93,240,118,345,152,90,64,93,79,3.4,3.19437870448012,3.5,2.17623083404688,8.4,5.29697801426437,9.8,5.72605711966878,11.3,4.22403450975449,13.2,7.23433131943809,14.8,5.76943686800657,6.1,3.47683389498225,9.2,4.35687554181696,13.3,5.5545116397947,3.5,2.41395204353146,3.6,2.99671011557636,20.292083013066872,,,98103,53033002800
24,53033002900,986209,0,Census Tract 29,Washington,King County,2069,304,43,38,50,41,361,221,196,90,272,125,215,93,420,141,128,74,108,63,196,89,53,41,27,25,2.1,1.81107245750825,2.4,1.94956204504233,17.4,10.3692750889111,9.5,4.12122287148205,13.1,5.72445340691264,10.4,4.22766337515312,20.3,6.12751926265088,6.2,3.45916782285013,5.2,2.946774241264,9.5,4.07017542693011,2.6,1.94556128530625,1.3,1.19300290537222,13.33977767037216,,,98117,53033002900
25,53033003000,1493249,0,Census Tract 30,Washington,King County,2760,399,39,37,93,71,451,236,206,98,334,128,292,122,505,179,86,58,325,162,277,105,124,92,28,31,1.4,1.32492448539893,3.4,2.52592202282033,16.3,8.21793937622445,7.5,3.3828097394086,12.1,4.29505715609243,10.6,4.14725455358845,18.3,5.92158094548959,3.1,2.05260266371791,11.8,5.61728973343544,10.0,3.51681396462192,4.5,3.26944432304791,1.0,1.11357214948893,15.543478260869565,,,98117,53033003000
26,53033003100,2236733,472744,Census Tract 31,Washington,King County,2851,420,16,26,99,75,313,124,303,112,395,224,110,70,451,147,144,78,352,173,380,138,212,127,76,87,0.6,0.908205467434057,3.5,2.58043886805136,11.0,4.03746109182609,10.6,3.60297067343972,13.9,7.58715389789826,3.9,2.3885822953847,15.8,4.59939465905288,5.1,2.6327555708616,12.3,5.7890379942643,13.3,4.42425953939395,7.4,4.3177840117081,2.7,3.02618654534631,23.430375306909852,,,98117,53033003100
27,53033003400,787161,0,Census Tract 34,Washington,King County,1401,175,0,13,68,44,110,76,216,92,169,72,115,57,358,122,31,24,113,49,141,60,56,35,24,38,0.0,0.92790863668808,4.9,3.08153926107147,7.9,5.33530507092857,15.4,6.27799877823474,12.1,4.91333533111055,8.2,3.93720626611343,25.6,8.10199925168931,2.2,1.6906182058758,8.1,3.34925142006442,10.1,4.09399011046651,4.0,2.44781412648495,1.7,2.70389460173674,15.77444682369736,,,98107,53033003400
28,53033003500,1284745,0,Census Tract 35,Washington,King County,1987,236,153,85,114,52,127,58,189,62,407,101,206,87,380,111,133,61,98,47,154,76,26,23,0,13,7.7,4.1789016832103,5.7,2.52673658074918,6.4,2.81853095543614,9.5,2.90858192034296,20.5,4.4630327065348,10.4,4.20174669330886,19.1,5.10367167022599,6.7,2.96523095576121,4.9,2.29169108984106,7.8,3.7124378131157,1.3,1.14704321547225,0.0,0.654252642174132,9.058882737795672,,,98103,53033003500
29,53033003800,624606,0,Census Tract 38,Washington,King County,1038,193,23,23,68,37,125,54,82,43,159,94,160,96,190,58,49,34,101,54,51,22,20,19,10,18,2.2,2.1771608187178,6.6,3.34997123329943,12.0,4.69579630947811,7.9,3.87343184356924,15.3,8.59633998390192,15.4,8.79326844488522,18.3,4.43156153119715,4.7,3.15573984414551,9.7,4.87759020315577,4.9,1.91246894342192,1.9,1.79504187063343,1.0,1.72482756590338,7.803468208092486,,,98115,53033003800
30,53033003900,973808,0,Census Tract 39,Washington,King County,1217,266,13,17,37,37,203,121,103,59,118,56,90,36,193,75,90,44,159,117,161,65,50,33,0,13,1.1,1.37722746781628,3.0,2.96675307781429,16.7,9.24991112764891,8.5,4.48118430054915,9.7,4.08440726925439,7.4,2.47742600922546,15.9,5.09549195888714,7.4,3.23400439246261,13.1,9.17991153079522,13.2,4.49059165691137,4.1,2.55857687903772,0.0,1.06820049301561,17.33771569433032,,,98115,53033003900
31,53033004000,2574586,3232248,Census Tract 40,Washington,King County,1223,235,0,13,166,127,127,69,54,36,196,89,75,53,135,55,21,25,184,71,77,67,177,122,11,17,0.0,1.06295993458708,13.6,10.0514455299112,10.4,5.27723587015692,4.4,2.81866315284237,16.0,6.59352221744129,6.1,4.17032601587624,11.0,3.96553200918423,1.7,2.01735083547374,15.0,5.03441535255373,6.3,5.34308510433384,14.5,9.58000515549086,0.9,1.3792387632563,21.668029435813573,,,98115,53033004000
32,53033004301,979236,0,Census Tract 43.01,Washington,King County,1355,221,13,19,71,47,161,70,177,81,296,119,191,98,132,65,19,22,86,57,146,77,54,34,9,13,1.0,1.39345555245542,5.2,3.36170413241942,11.9,4.78878811294101,13.1,5.58530788525802,21.8,8.02709287586343,14.1,6.85733609166704,9.7,4.52627551970644,1.4,1.60742829471542,6.3,4.07728565224358,10.8,5.40409029533822,4.0,2.42357629740389,0.7,0.953273820964663,15.424354243542435,,,98105,53033004301
33,53033004302,331137,0,Census Tract 43.02,Washington,King County,1588,296,38,43,124,59,306,181,317,137,184,122,66,47,260,97,23,29,69,56,170,82,26,23,5,8,2.4,2.67081917711351,7.8,3.41839973600929,19.3,10.8172562380156,20.0,7.78353559831132,11.6,7.37278888831553,4.2,2.85650968067911,16.4,5.29128089946727,1.4,1.80613087490626,4.3,3.43218219948013,10.7,4.76259257108124,1.6,1.41584473325294,0.3,0.50034802991967,12.65743073047859,,,98105,53033004302
34,53033004500,670997,0,Census Tract 45,Washington,King County,1617,316,9,14,60,50,166,79,333,91,193,63,54,40,461,221,109,61,28,24,101,61,64,53,39,38,0.6,0.858941327004493,3.7,3.0059186939402,10.3,4.45467622836855,20.6,3.93376654979015,11.9,3.12073736259905,3.3,2.38607646784834,28.5,12.4801308193303,6.7,3.53493818897527,1.7,1.44513912225012,6.2,3.56947760545811,4.0,3.18510374674814,2.4,2.3022785767541,12.615955473098332,,,98105,53033004500
35,53033004600,1552358,1033232,Census Tract 46,Washington,King County,1523,218,7,11,81,44,81,31,284,92,216,80,106,63,222,79,76,40,156,131,221,83,45,33,28,30,0.5,0.719256149345446,5.3,2.78693058409016,5.3,1.88773475439036,18.6,5.41901632201648,14.2,4.84465016506745,7.0,4.01481566971219,14.6,4.74900170983798,5.0,2.52740024629923,10.2,8.47556626118096,14.5,5.03843413225275,3.0,2.12509959726503,1.8,1.95213896315829,19.304005252790542,,,98103,53033004600
