Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Housing Units,Total Housing Units - Margin of Error,Occupied Housing Units,Occupied Housing Units - Margin of Error,Vacant Housing Units,Vacant Housing Units - Margin of Error,Percent of Housing Units that are Vacant (Vacancy Rate),Percent of Housing Units that are Vacant (Vacancy Rate) - Margin of Error,Percent of Total Housing Units (including Vacant) that are Owner-Occupied,Percent of Total Housing Units (including Vacant) that are Owner-Occupied - Margin of Error,Percent of Total Housing Units (including Vacant) that are Renter-Occupied,Percent of Total Housing Units (including Vacant) that are Renter-Occupied - Margin of Error,Total Occupied Housing Units,Total Occupied Housing Units - Margin of Error,Owner-Occupied Housing Units,Owner-Occupied Housing Units - Margin of Error,Renter-Occupied Housing Units,Renter-Occupied Housing Units - Margin of Error,Overall Homeownership Rate: Percent of Occupied Housing Units that are Owner-Occupied,Overall Homeownership Rate: Percent of Occupied Housing Units that are Owner-Occupied - Margin of Error,Overall Renter Rate: Percent of Occupied Housing Units that are Renter-Occupied,Overall Renter Rate: Percent of Occupied Housing Units that are Renter-Occupied - Margin of Error,Median Contract Rent (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent),Median Contract Rent (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent) - Margin of Error,Median Home Value (for Owner-Occupied Housing Units),Median Home Value (for Owner-Occupied Housing Units) - Margin of Error,Lower Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent),Lower Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent) - Margin of Error,Upper Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent),Upper Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent) - Margin of Error,Lower Home Value Quartile (for Owner-Occupied Housing Units),Lower Home Value Quartile (for Owner-Occupied Housing Units) - Margin of Error,Upper Home Value Quartile (for Owner-Occupied Housing Units),Upper Home Value Quartile (for Owner-Occupied Housing Units) - Margin of Error,Housing Units per Gross Land Acre,Gross Land Acre,Percent Owner-Occupied Housing Units,x,y
53033005202,269234,19268,Census Tract 52.02,Washington,King County,1887,230,1479,220,408,172,21.6,8.72570446836927,2.3,2.15409284986581,76,6.5343016532386,1479,220,44,41,1435,214,3,2.73659446054983,97,1.03195433444638,1601,183,,,1251,192,2079,218,,,,,28.36349818027685,66.52917027393204,78.37837837837837,,
53033005303,2432843,749176,Census Tract 53.03,Washington,King County,24,17,24,17,0,13,0,54.1666666666667,0,54.1666666666667,100,100.173460668094,24,17,0,13,24,17,0,54.1666666666667,100,100.173460668094,1000,320,,,925,84,1313,363,,,,,0.0399222449363145,601.1685975647342,100,,
53033005304,73030,0,Census Tract 53.04,Washington,King County,148,37,148,37,0,13,0,8.78378378378378,0,8.78378378378378,100,35.3553390593274,148,37,0,13,148,37,0,8.78378378378378,100,35.3553390593274,1568,121,,,1377,72,1804,70,,,,,8.201215261059685,18.046106008547422,100,,
53033005305,212967,0,Census Tract 53.05,Washington,King County,1593,113,1215,174,378,140,23.7,8.62575463615574,0,0.816070307595731,76.3,9.48871373375821,1215,174,0,13,1215,174,0,1.06995884773663,100,20.2529349673184,1443,66,,,1243,92,1763,100,,,,,30.270616015077824,52.62529177491879,76.27118644067797,,
53033005306,200489,0,Census Tract 53.06,Washington,King County,1845,234,1640,237,205,154,11.1,8.22706383133237,3.1,4.86172753726013,85.7,7.23592956073749,1640,237,58,90,1582,241,3.5,5.46395460312473,96.5,4.64963563956301,1710,79,,,1168,297,2024,167,,,,,37.24119577297437,49.541910824971445,88.88888888888889,,
53033005307,130030,0,Census Tract 53.07,Washington,King County,425,191,361,191,64,70,15.1,15.0159814348542,0,3.05882352941176,84.9,23.7168369105526,361,191,0,13,361,191,0,3.601108033241,100,74.8240416657233,878,85,,,832,19,1160,565,,,,,13.227055137429575,32.131112752176115,84.94117647058823,,
53033005401,756239,615226,Census Tract 54.01,Washington,King County,2164,186,2003,212,161,121,7.4,5.55480976995606,31.1,6.79437158882803,61.5,7.52721913989648,2003,212,673,158,1330,199,33.6,7.04105574926723,66.4,7.02244787769936,1811,131,731300,102317,1468,130,2374,247,541000,89304,1029300,125120,11.580197924298318,186.87072657535117,92.56007393715342,,
53033005402,463900,0,Census Tract 54.02,Washington,King County,1871,261,1660,272,211,159,11.3,8.35124790269525,28.4,11.4684320642824,60.3,2.44460907059141,1660,272,531,227,1129,164,32,12.6303254185555,68,14.8928438150309,1911,191,887900,46665,1435,121,2484,344,781200,117458,994600,102062,16.321768411964342,114.63218646262015,88.72260823089258,,
53033005803,832097,0,Census Tract 58.03,Washington,King County,1546,162,1497,173,49,60,3.2,3.8667464680074,43.7,6.0232749555963,53.1,11.391359887338,1497,173,676,117,821,196,45.2,5.81815344514652,54.8,11.4566031427177,1672,160,863000,75653,1301,203,2034,205,676300,94300,1125000,197935,7.518883049728917,205.61564660268775,96.83053040103493,,
53033005804,2334443,1169687,Census Tract 58.04,Washington,King County,1693,248,1529,245,164,123,9.7,7.12528722607297,25.5,5.67176726244402,64.8,11.542409462384,1529,245,432,115,1097,253,28.3,6.00610180880596,71.7,11.9008676093039,1651,166,583300,90340,1282,168,2027,221,456000,42765,758900,163207,2.9348876469132343,576.8534280283646,90.31305375073833,,
53033005901,778385,173882,Census Tract 59.01,Washington,King County,1353,271,1297,288,56,80,4.1,5.8543812013053,47.2,5.80560145180127,48.7,16.3842216623914,1297,288,638,150,659,258,49.2,3.80073207537064,50.8,16.3830254285685,1681,178,799700,127674,1387,170,1980,200,548300,126541,1060000,140973,7.03430402629431,192.3431223533231,95.8610495195861,,
53033005902,1022976,0,Census Tract 59.02,Washington,King County,1782,188,1716,195,66,69,3.7,3.85228821427438,65,7.18164833491433,31.3,8.5920709542078,1716,195,1159,177,557,164,67.5,6.89098873091225,32.5,8.81663026690183,1798,331,1083500,73917,1361,151,2439,484,876300,64757,1331100,158004,7.049528185135003,252.7828747117597,96.29629629629629,,
53033006701,380256,105441,Census Tract 67.01,Washington,King County,2397,296,1992,300,405,235,16.9,9.57932934513881,5,3.49179539158258,78.1,8.17198129733868,1992,300,120,85,1872,303,6,4.16950608623218,94,5.57336675482029,2230,87,467200,73778,1960,184,2476,158,418000,53812,619000,328229,25.509958671244156,93.96330393518019,83.10387984981227,,
53033006702,304748,0,Census Tract 67.02,Washington,King County,2351,365,1980,403,371,280,15.8,11.6551092767544,24.2,10.489257589914,60,13.3677169624235,1980,403,570,262,1410,383,28.8,11.8643323861211,71.2,12.8096477170752,2113,227,871700,228984,1698,184,2567,421,654000,132776,1109200,201777,31.21976009378969,75.30487079135712,84.2194810718843,,
53033006703,597133,0,Census Tract 67.03,Washington,King County,1882,423,1882,423,0,13,0,0.690754516471838,56.6,16.9528997394264,43.4,2.4254506553643,1882,423,1066,399,816,189,56.6,16.9528997394264,43.4,2.4254506553643,1768,178,673700,346449,1417,213,2295,417,357700,192315,1034400,240660,12.754585305043696,147.5547777516356,100,,
53033007001,358281,0,Census Tract 70.01,Washington,King County,3143,541,2870,535,273,216,8.7,6.70781283728433,32.1,11.2494654089317,59.2,12.6716580086383,2870,535,1010,394,1860,511,35.2,12.0593953305362,64.8,13.0791088676319,1402,78,534700,316748,1131,170,1700,124,305400,116014,1075300,341602,35.50082124255252,88.53316317743914,91.31403118040089,,
53033007002,441021,0,Census Tract 70.02,Washington,King County,2503,249,2245,274,258,203,10.3,8.04518347185301,23.2,4.42808016567365,66.5,9.41563398527222,2245,274,581,125,1664,288,25.9,4.58531407566841,74.1,9.09587764589411,1641,90,634900,142069,1385,92,1886,81,385200,190345,,,22.967798869593533,108.97866244003278,89.69236915701158,,
53033007101,495054,0,Census Tract 71.01,Washington,King County,2050,282,1860,296,190,168,9.3,8.09533894070741,14.4,6.58703213056964,76.3,8.65688907937471,1860,296,295,141,1565,279,15.9,7.14812209036857,84.1,6.76078698038376,1827,60,424500,60272,1629,40,2082,201,287500,106524,498300,122757,16.75788028360511,122.33050751684837,90.73170731707317,,
53033007102,335908,0,Census Tract 71.02,Washington,King County,1882,183,1680,214,202,133,10.7,6.98945891175865,18,6.18615539155043,71.3,6.28099268628272,1680,214,339,121,1341,176,20.2,6.72811354153258,79.8,2.52345830968368,1866,144,656600,29331,1556,118,2317,232,570200,22605,743100,306126,22.673421850496734,83.00467447787413,89.26673751328374,,
53033007201,150744,0,Census Tract 72.01,Washington,King County,3816,434,3535,447,281,245,7.4,6.36547865762964,19.6,7.45779757964232,73.1,5.04744650863345,3535,447,747,297,2788,371,21.1,7.96545740820563,78.9,3.2691487235193,1944,187,945400,119944,1454,325,2362,126,794300,76081,1238500,205166,102.44390561400859,37.24965362388707,92.63626834381552,,
53033007202,280585,0,Census Tract 72.02,Washington,King County,2179,252,1932,318,247,205,11.3,9.31620213727115,17.3,4.0278593558622,71.4,12.9165852687438,1932,318,377,98,1555,334,19.5,3.92606127333026,80.5,11.1069209681441,2192,305,890500,39158,1459,226,2752,226,811500,27621,969600,62724,31.427553662560133,69.33406345896589,88.66452501147315,,
53033007203,579631,0,Census Tract 72.03,Washington,King County,2218,363,1982,365,236,211,10.6,9.35233451223532,9.2,5.57119418168232,80.2,9.63254920523317,1982,365,204,128,1778,361,10.3,6.17369963145249,89.7,7.66991062259142,2092,156,435700,137433,1640,192,2448,216,362200,78407,,,15.48558918498671,143.2299393651972,89.35978358881876,,
53033007301,250787,0,Census Tract 73.01,Washington,King County,2238,257,1916,271,322,208,14.4,9.14597319125593,0,0.580875781948168,85.6,7.06931078993566,1916,271,0,13,1916,271,0,0.678496868475992,100,20.0027074845046,2106,175,,,1439,186,2492,227,,,,,36.113772537376455,61.97081730200716,85.61215370866846,,
53033007302,312981,0,Census Tract 73.02,Washington,King County,3482,392,3091,303,391,323,11.2,9.18973390021967,13.5,4.58033688374103,75.3,4.30102271218865,3091,303,469,168,2622,331,15.2,5.22766016234433,84.8,6.7474541952662,2459,193,783700,213130,1168,205,2984,276,588000,126045,1032900,174884,45.02239453128636,77.33928939697633,88.77082136703044,,
53033007303,313527,0,Census Tract 73.03,Washington,King County,2036,264,1844,206,192,220,9.4,10.7360910822497,6.2,3.89530339871907,84.3,14.5687296205885,1844,206,127,81,1717,196,6.9,4.32471779759784,93.1,2.18541716196111,2231,139,710400,166755,1585,296,3107,344,578100,99764,904500,247059,26.279713313386868,77.47420893525741,90.56974459724951,,
53033007403,118559,0,Census Tract 74.03,Washington,King County,1958,298,1911,308,47,74,2.4,3.76166778883095,12.6,4.45585690355317,85,9.73748764457447,1911,308,247,95,1664,317,12.9,4.5136894016912,87.1,8.84382668545656,1782,139,369800,41079,1387,215,2176,186,318800,32731,445900,77678,66.8337694739248,29.296566921366207,97.59959141981614,,
53033007404,153725,0,Census Tract 74.04,Washington,King County,2062,308,2046,309,16,26,0.8,1.25557356672005,16.9,4.25181831223814,82.3,8.13874048711229,2046,309,349,102,1697,304,17.1,4.26813691672198,82.9,7.99094360844479,1652,126,505700,152794,1387,75,1960,117,372000,47230,811200,118525,54.282764306317404,37.98627476604071,99.22405431619786,,
53033007405,131830,0,Census Tract 74.05,Washington,King County,2073,327,1850,340,223,147,10.8,6.88514948565846,6.3,4.32461423437667,82.9,10.3673685787871,1850,340,131,92,1719,346,7.1,4.79967184194776,92.9,7.62676102361796,1438,157,419700,161755,1073,137,1895,155,288100,132976,591900,371601,63.63599608309977,32.57590243881702,89.24264351181861,,
53033007406,150829,0,Census Tract 74.06,Washington,King County,2018,266,1914,267,104,105,5.2,5.15863560099685,16.8,4.43315021406634,78,9.8913987550293,1914,267,339,100,1575,288,17.7,4.60353329659326,82.3,9.72846667117623,1526,161,468100,53485,1236,250,2014,171,376300,69340,741700,497369,54.14446996534517,37.27065758131178,94.84638255698712,,
53033007501,298283,0,Census Tract 75.01,Washington,King County,3151,459,2844,545,307,276,9.7,8.64338055023169,14.8,7.53826736343512,75.5,15.1931420529981,2844,545,465,247,2379,591,16.4,8.1000821203354,83.6,13.2239984798873,1508,235,641400,47028,1078,362,1982,251,552800,42801,730000,466522,42.75015534570244,73.70733450017187,90.2570612503967,,
53033007502,315931,0,Census Tract 75.02,Washington,King County,2099,231,1757,398,342,349,16.3,16.5299920167706,11.1,8.34285814435273,72.6,13.92866618083,1757,398,234,177,1523,337,13.3,9.61164995540887,86.7,27.4488060952879,1763,95,478400,154263,1536,189,1989,200,,,676300,306868,26.88673042726874,78.06825027230448,83.70652691757981,,
