Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Population for whom Poverty Status is Determined,Total Population for whom Poverty Status is Determined - Margin of Error,Population whose income in the past 12 months is below federal poverty level,Population whose income in the past 12 months is below federal poverty level - Margin of Error,Population whose income in the past 12 months is below federal poverty level under 6 years,Population whose income in the past 12 months is below federal poverty level under 6 years - Margin of Error,Population whose income in the past 12 months is below federal poverty level 6 to 11 years,Population whose income in the past 12 months is below federal poverty level 6 to 11 years - Margin of Error,Population whose income in the past 12 months is below federal poverty level 12 to 17 years,Population whose income in the past 12 months is below federal poverty level 12 to 17 years - Margin of Error,Population whose income in the past 12 months is below federal poverty level 18 to 59 years,Population whose income in the past 12 months is below federal poverty level 18 to 59 years - Margin of Error,Population whose income in the past 12 months is below federal poverty level 60 to 74 years,Population whose income in the past 12 months is below federal poverty level 60 to 74 years - Margin of Error,Population whose income in the past 12 months is below federal poverty level 75 to 84 years,Population whose income in the past 12 months is below federal poverty level 75 to 84 years - Margin of Error,Population whose income in the past 12 months is below federal poverty level 85 years and over,Population whose income in the past 12 months is below federal poverty level 85 years and over - Margin of Error,Population whose income in the past 12 months is at or above federal poverty level,Population whose income in the past 12 months is at or above federal poverty level - Margin of Error,Population whose income in the past 12 months is at or above federal poverty level under 6 years,Population whose income in the past 12 months is at or above federal poverty level under 6 years - Margin of Error,Population whose income in the past 12 months is at or above federal poverty level 6 to 11 years,Population whose income in the past 12 months is at or above federal poverty level 6 to 11 years - Margin of Error,Population whose income in the past 12 months is at or above federal poverty level 12 to 17 years,Population whose income in the past 12 months is at or above federal poverty level 12 to 17 years - Margin of Error,Population whose income in the past 12 months is at or above federal poverty level 18 to 59 years,Population whose income in the past 12 months is at or above federal poverty level 18 to 59 years - Margin of Error,Population whose income in the past 12 months is at or above federal poverty level 60 to 74 years,Population whose income in the past 12 months is at or above federal poverty level 60 to 74 years - Margin of Error,Population whose income in the past 12 months is at or above federal poverty level 75 to 84 years,Population whose income in the past 12 months is at or above federal poverty level 75 to 84 years - Margin of Error,Population whose income in the past 12 months is at or above federal poverty level 85 years and over,Population whose income in the past 12 months is at or above federal poverty level 85 years and over - Margin of Error,Percent of Population whose income in the past 12 months is below poverty level,Percent of Population whose income in the past 12 months is below poverty level - Margin of Error,Child Population (under 18 years) whose income in the past 12 months is below poverty level,Child Population (under 18 years) whose income in the past 12 months is below poverty level - Margin of Error,Percent of Children (under 18 years) whose income in the past 12 months is below poverty level,Percent of Children (under 18 years) whose income in the past 12 months is below poverty level - Margin of Error,Child Population (under 18 years) for whom Poverty Status is Determined,Child Population (under 18 years) for whom Poverty Status is Determined - Margin of Error,Population whose income in the past 12 months is under .50x (under 50% of) the federal poverty level,Population whose income in the past 12 months is under .50x (under 50% of) the federal poverty level - Margin of Error,Population whose income in the past 12 months is between .50x and .99x (50% to 99% of) the federal poverty level,Population whose income in the past 12 months is between .50x and .99x (50% to 99% of) the federal poverty level - Margin of Error,Population whose income in the past 12 months is between 1.00x and 1.24x (100% to 124% of) the federal poverty level,Population whose income in the past 12 months is between 1.00x and 1.24x (100% to 124% of) the federal poverty level - Margin of Error,Population whose income in the past 12 months is between 1.25x and 1.49x (125% to 149% of) the federal poverty level,Population whose income in the past 12 months is between 1.25x and 1.49x (125% to 149% of) the federal poverty level - Margin of Error,Population whose income in the past 12 months is between 1.50x and 1.84x (150% to 184% of) the federal poverty level,Population whose income in the past 12 months is between 1.50x and 1.84x (150% to 184% of) the federal poverty level - Margin of Error,Population whose income in the past 12 months is between 1.85x and 1.99x (185% to 199% of) the federal poverty level,Population whose income in the past 12 months is between 1.85x and 1.99x (185% to 199% of) the federal poverty level - Margin of Error,Population whose income in the past 12 months is 2.00x and over (200% or more of) the federal poverty level,Population whose income in the past 12 months is 2.00x and over (200% or more of) the federal poverty level - Margin of Error,Percent of population whose income in the past 12 months is under .50x (under 50% of) the federal poverty level,Percent of population whose income in the past 12 months is under .50x (under 50% of) the federal poverty level - Margin of Error,Percent of population whose income in the past 12 months is between .50x and .99x (50% to 99% of) the federal poverty level,Percent of population whose income in the past 12 months is between .50x and .99x (50% to 99% of) the federal poverty level - Margin of Error,Percent of population whose income in the past 12 months is between 1.00x and 1.24x (100% to 124% of) the federal poverty level,Percent of population whose income in the past 12 months is between 1.00x and 1.24x (100% to 124% of) the federal poverty level - Margin of Error,Percent of population whose income in the past 12 months is between 1.25x and 1.49x (125% to 149% of) the federal poverty level,Percent of population whose income in the past 12 months is between 1.25x and 1.49x (125% to 149% of) the federal poverty level - Margin of Error,Percent of population whose income in the past 12 months is between 1.50x and 1.84x (150% to 184% of) the federal poverty level,Percent of population whose income in the past 12 months is between 1.50x and 1.84x (150% to 184% of) the federal poverty level - Margin of Error,Percent of population whose income in the past 12 months is between 1.85x and 1.99x (185% to 199% of) the federal poverty level,Percent of population whose income in the past 12 months is between 1.85x and 1.99x (185% to 199% of) the federal poverty level - Margin of Error,Percent of population whose income in the past 12 months is 2.00x and over (200% of) the federal poverty level,Percent of population whose income in the past 12 months 2.00x and over (200% of) the federal poverty level - Margin of Error,x,y
53033010501,742016,0,Census Tract 105.01,Washington,King County,3984,530,414,277,45,61,38,52,0,13,264,167,0,13,0,13,67,105,3570,591,267,178,150,127,44,64,2688,423,324,119,74,55,23,38,10.4,6.81399448019483,83,81,15.3,13.2527806187223,544,242,347,254,67,73,39,47,24,39,177,166,22,33,3308,574,8.7,6.26932746686945,1.7,1.81861992413539,1,1.17250905867648,0.6,0.975629786955971,4.4,4.12453550364171,0.6,0.825049241362133,83,9.25024374255092,,
53033010502,975912,0,Census Tract 105.02,Washington,King County,5853,1016,391,281,0,18,0,18,0,18,299,280,71,85,21,36,0,18,5462,931,236,127,97,76,272,184,3871,821,399,204,501,428,86,89,6.7,4.65880687762804,0,31,0,5.12396694214876,605,238,244,273,147,110,57,78,294,366,215,147,43,52,4853,930,4.2,4.60779713744914,2.5,1.82811227089026,1,1.32188441125467,5,6.19211463138216,3.7,2.42924098819793,0.7,0.87923281239069,82.9,6.73165527770766,,
53033010601,1089233,0,Census Tract 106.01,Washington,King County,4498,636,138,71,0,13,0,13,0,13,119,64,19,29,0,13,0,13,4360,642,372,126,251,116,28,29,2847,540,687,223,95,77,80,85,3.1,1.51769819743704,0,23,0,3.53302611367128,651,175,61,51,77,64,39,44,59,58,78,69,22,32,4162,642,1.4,1.11750468704476,1.7,1.40211482298897,0.9,0.970499634606107,1.3,1.27605392950211,1.7,1.51429239571514,0.5,0.708057913873058,92.5,5.70471081710919,,
53033010602,1505061,817134,Census Tract 106.02,Washington,King County,3906,557,321,264,0,13,0,13,0,13,194,200,115,162,0,13,12,20,3585,463,199,103,209,87,204,96,2105,423,767,195,56,38,45,41,8.2,6.65645815555788,0,23,0,3.75816993464052,612,167,74,63,247,254,2,4,16,27,138,104,106,165,3323,428,1.9,1.59011632380344,6.3,6.43998909325022,0.1,0.102145916642402,0.4,0.688771734016723,3.5,2.61446994866562,2.7,4.20650697577347,85.1,16.3476166458457,,
53033011601,1554538,184845,Census Tract 116.01,Washington,King County,3148,356,158,96,0,13,0,13,29,33,65,56,54,65,10,16,0,13,2990,349,169,78,267,110,70,52,1627,229,677,127,138,90,42,29,5,2.99626845431811,29,38,5.4,6.94051678910193,535,149,130,91,28,28,30,29,0,13,73,62,0,13,2887,345,4.1,2.8527514347833,0.9,0.883747787825693,1,0.914894189481898,0,0.412960609911055,2.3,1.95196734940343,0,0.412960609911055,91.7,3.54205551492679,,
53033011602,1565825,786358,Census Tract 116.02,Washington,King County,3419,842,98,65,0,13,0,13,0,13,92,63,0,13,6,10,0,13,3321,838,297,159,255,245,189,116,1955,507,462,150,74,60,89,88,2.9,1.76523326288823,0,23,0,3.10391363022942,741,315,10,24,88,63,14,24,0,13,52,46,31,39,3224,840,0.3,0.698254251813255,2.6,1.73018861338532,0.4,0.694678487656734,0,0.380228136882129,1.5,1.29223433295719,0.9,1.11861568545535,94.3,8.02066683333031,,
53033011801,1160802,630417,Census Tract 118.01,Washington,King County,3400,696,398,512,57,90,108,169,23,36,194,249,2,4,14,21,0,13,3002,509,314,197,124,81,205,83,2064,424,275,130,20,44,0,13,11.7,14.8669462177301,188,195,22.6,21.9985208496988,831,300,336,496,62,97,401,324,0,13,46,84,49,79,2506,514,9.9,14.4472896418655,1.8,2.82841475473174,11.8,9.21849890831365,0,0.382352941176471,1.4,2.45501571212192,1.4,2.30472421765031,73.7,0.945871699856882,,
53033011802,1139611,1037832,Census Tract 118.02,Washington,King County,4500,560,787,283,66,63,196,131,36,53,362,184,107,109,11,18,9,23,3713,569,307,165,427,190,156,127,2145,399,422,161,152,126,104,90,17.5,5.90029050065117,298,155,25.1,11.135647357846,1188,322,432,235,355,258,202,323,268,225,98,117,123,224,3022,521,9.6,5.08373646974616,7.9,5.64865651898225,4.5,7.15600730556028,6,4.94476670049239,2.2,2.58583686811244,2.7,4.9661424508616,67.2,8.01269114908927,,
53033011901,1682374,0,Census Tract 119.01,Washington,King County,4401,1157,258,226,0,13,16,28,45,53,158,163,29,38,10,26,0,13,4143,1129,289,161,232,118,303,190,2351,844,902,299,50,39,16,27,5.9,4.8984733328473,61,61,6.9,6.53337186106274,885,282,62,57,196,190,24,36,58,70,144,139,26,42,3891,1130,1.4,1.24107796078158,4.5,4.15540895369941,0.5,0.805334654857605,1.3,1.55235437222821,3.3,3.0389797844278,0.6,0.941605704166224,88.4,10.9096223661096,,
53033011902,1580686,1217487,Census Tract 119.02,Washington,King County,3160,589,694,382,0,13,222,135,72,44,250,182,131,97,0,13,19,31,2466,547,191,112,20,29,124,100,1508,379,480,211,132,101,11,20,22,11.3744117803336,294,143,46.7,16.6028122083602,629,209,129,146,565,322,11,32,0,13,140,152,46,49,2269,499,4.1,4.557165984896,17.9,9.62948445218123,0.3,1.01057747187531,0,0.411392405063291,4.4,4.73871185448302,1.5,1.52670955598066,71.8,8.380758985748,,
