Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Occupied Housing Units,Total Occupied Housing Units - Margin of Error,All Owner-Occupied Housing Units,All Owner-Occupied Housing Units - Margin of Error,Owner-Occupied Housing Units with a Householder who is not a high school graduate,Owner-Occupied Housing Units with a Householder who is not a high school graduate - Margin of Error,Owner-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency),Owner-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency) - Margin of Error,Owner-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree,Owner-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree - Margin of Error,Owner-Occupied Housing Units with a Householder who holds a bachelor's degree or higher,Owner-Occupied Housing Units with a Householder who holds a bachelor's degree or higher - Margin of Error,All Renter-Occupied Housing Units,All Renter-Occupied Housing Units - Margin of Error,Renter-Occupied Housing Units with a Householder who is not a high school graduate,Renter-Occupied Housing Units with a Householder who is not a high school graduate - Margin of Error,Renter-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency),Renter-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency) - Margin of Error,Renter-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree,Renter-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree - Margin of Error,Renter-Occupied Housing Units with a Householder who holds a bachelor's degree or higher,Renter-Occupied Housing Units with a Householder who holds a bachelor's degree or higher - Margin of Error,Overall Homeownership Rate: Percent of all Occupied Housing Units that are Owner-Occupied,Overall Homeownership Rate: Percent of all Occupied Housing Units that are Owner-Occupied - Margin of Error,Overall Renter Rate: Percent of all Occupied Housing Units that are Renter-Occupied,Overall Renter Rate: Percent of all Occupied Housing Units that are Renter-Occupied - Margin of Error,Homeownership Rate among Households with a Householder who does not hold a bachelor's degree,Homeownership Rate among Households with a Householder who does not hold a bachelor's degree - Margin of Error,Renter Rate among Households with a householder who does not hold a bachelor's degree,Renter Rate among Households with a householder who does not hold a bachelor's degree - Margin of Error,Homeownership Rate among Households with a Householder who holds a bachelor's degree or higher,Homeownership Rate among Households with a Householder who holds a bachelor's degree or higher - Margin of Error,Renter Rate among Households with a Householder who holds a bachelor's degree or higher,Renter Rate among Households with a Householder who holds a bachelor's degree or higher - Margin of Error,Households with a Householder who does not hold a bachelor's degree,Households with a Householder who does not hold a bachelor's degree - Margin of Error,Households with a Householder who does not hold a bachelor's degree that are Owner-Occupied,Households with a Householder who does not hold a bachelor's degree that are Owner-Occupied - Margin of Error,Households with a Householder who does not hold a bachelor's degree that are Renter-Occupied,Households with a Householder who does not hold a bachelor's degree that are Renter-Occupied - Margin of Error,Households with a Householder who holds a bachelor's degree or higher,Households with a Householder who holds a bachelor's degree or higher - Margin of Error,Percent Difference Home Ownership with and without Bachelor's Degree,x,y
53033011102,1303226,1143440,Census Tract 111.02,Washington,King County,1892,278,1115,264,0,18,32,18,216,110,867,238,777,162,13,20,316,149,169,93,279,102,58.9,10.9415822146318,41.1,6.07469573051021,33.2,11.9108784368457,66.8,14.4849161954138,75.7,11.788035180773,24.3,6.99609487603582,746,210,248,113,498,177,1146,259,42.5,,
53033011200,2483779,139646,Census Tract 112,Washington,King County,1451,169,575,131,32,29,85,54,79,47,379,116,876,172,275,132,265,123,219,90,117,59,39.6,7.75928333331902,60.4,9.54311190885382,20.5,6.59251264403158,79.5,11.1476366463519,76.4,12.0776425694534,23.6,10.1622463208461,955,216,196,77,759,202,496,130,55.900000000000006,,
53033011300,3419308,42220,Census Tract 113,Washington,King County,2811,336,1518,276,88,57,82,54,454,248,894,150,1293,271,104,72,210,107,637,236,342,136,54,7.39855471018016,46,7.91918279229972,39.6,13.5647489460714,60.4,9.28031087624865,72.3,2.7470039937765,27.7,10.0310410444988,1575,374,624,260,951,269,1236,202,32.699999999999996,,
53033011401,1233155,0,Census Tract 114.01,Washington,King County,1841,167,952,156,75,59,74,62,399,146,404,94,889,112,70,68,119,72,263,77,437,111,51.7,7.05686501099173,48.3,4.22174972518531,54.8,12.3252446693768,45.2,8.08033515146494,48,7.5053720184689,52,9.69223522913495,1000,211,548,169,452,125,841,145,-6.799999999999997,,
53033011402,1186191,0,Census Tract 114.02,Washington,King County,1918,184,946,166,13,25,121,89,231,98,581,149,972,197,157,89,321,141,288,122,206,118,49.3,7.24692932021816,50.7,9.04764225953794,32.3,9.63338942077116,67.7,10.7796428706553,73.8,6.38646293678029,26.2,13.5968912766907,1131,247,365,135,766,207,787,190,41.5,,
53033011500,1538373,0,Census Tract 115,Washington,King County,1979,247,1436,210,24,25,92,46,404,118,916,200,543,168,11,17,58,38,247,126,227,132,72.6,5.53012313092002,27.4,7.76774067518168,62.2,6.97429732134735,37.8,13.5326380603351,80.1,4.79746443913193,19.9,10.7693810539722,836,185,520,129,316,133,1143,240,17.89999999999999,,
53033011700,3515808,0,Census Tract 117,Washington,King County,1595,186,1055,169,216,126,260,92,233,87,346,104,540,172,191,142,139,75,143,72,67,48,66.1,7.26436086850214,33.9,10.0349825043732,60,8.19090332518021,40,12.2271089249405,83.8,9.48295820816468,16.2,10.708496703444,1182,251,709,179,473,176,413,115,23.799999999999997,,
53033012000,1437048,0,Census Tract 120,Washington,King County,1499,165,1175,155,38,31,66,40,315,145,756,96,324,115,9,13,52,75,132,58,131,71,78.4,5.69868615752471,21.6,7.29354311210855,68.5,14.9399042856689,31.5,12.6122900105597,85.2,15.7444500410316,14.8,7.75540123629285,612,181,419,154,193,96,887,119,16.700000000000003,,
53033012100,1739952,1380849,Census Tract 121,Washington,King County,1162,138,1026,132,0,13,41,30,222,58,763,140,136,57,0,13,0,13,82,44,54,45,88.3,4.36863259978068,11.7,4.70428509454244,76.2,6.98954589572702,23.8,12.7145169525319,93.4,3.3589840736498,6.6,5.3780389805085,345,82,263,67,82,48,817,147,17.200000000000003,,
53033000101,414848,0,Census Tract 1.01,Washington,King County,1691,244,130,86,18,29,0,13,45,49,67,48,1561,259,53,48,329,106,405,159,774,253,7.7,4.96329570998259,92.3,7.5609568528456,7.4,6.58285598772031,92.6,5.79988537314236,8,5.15774003471628,92,10.3853713991061,850,206,63,58,787,197,841,258,0.5999999999999996,,
53033000102,1495019,918878,Census Tract 1.02,Washington,King County,2146,282,807,193,0,13,46,39,114,71,647,191,1339,226,162,144,354,179,355,142,468,156,37.6,7.5142329507973,62.4,6.60909322920406,15.5,6.72602309687704,84.5,12.3235941831965,58,11.3226796092594,42,10.4544129467884,1031,282,160,82,871,270,1115,247,42.5,,
53033000201,1806749,0,Census Tract 2.01,Washington,King County,2326,402,1139,379,43,68,265,308,120,66,711,224,1187,203,87,64,137,73,275,131,688,205,49,13.9238022276182,51,12.4079165714513,46.2,29.7201313788824,53.8,27.3609216180613,50.8,11.5933878335252,49.2,10.0261306256116,927,361,428,322,499,163,1399,304,4.599999999999994,,
53033000202,1480085,0,Census Tract 2.02,Washington,King County,1550,84,1032,128,62,50,98,62,185,92,687,143,518,125,0,13,70,86,191,113,257,113,66.6,7.42806996751101,33.4,7.85851694421901,56.9,9.83224771334775,43.1,19.49875943492,72.8,5.71018869651576,27.2,10.7582085288633,606,187,345,122,261,143,944,182,15.899999999999999,,
53033000403,669384,62871,Census Tract 4.03,Washington,King County,1714,132,647,161,0,13,18,30,124,80,505,135,1067,166,74,59,159,87,504,151,330,140,37.7,8.9320609582397,62.3,8.41509323533115,16.2,9.04458184962199,83.8,7.95216652906181,60.5,7.99693876855932,39.5,14.0286558673574,879,203,142,86,737,184,835,194,44.3,,
53033000404,617482,13535,Census Tract 4.04,Washington,King County,2310,258,327,145,0,13,21,27,129,98,177,107,1983,263,239,107,427,186,886,243,431,182,14.2,6.07468029138302,85.8,6.13994604913309,8.8,5.72851363867576,91.2,5.52858114832983,29.1,14.4098549012027,70.9,17.0542751164924,1702,340,150,102,1552,324,608,211,20.3,,
53033000601,1431268,0,Census Tract 6.01,Washington,King County,1799,261,987,165,0,13,43,45,312,156,632,116,812,244,76,101,68,57,350,174,318,169,54.9,4.55684039315674,45.1,11.8775451888787,41.8,14.0806038673676,58.2,16.6179899946886,66.5,18.8462851245337,33.5,16.256991212301,849,265,355,163,494,209,950,205,24.700000000000003,,
53033000602,2355577,55191,Census Tract 6.02,Washington,King County,1497,102,980,138,38,60,98,77,148,91,696,151,517,145,0,13,33,38,280,127,204,105,65.5,8.06744075446041,34.5,9.39585522039235,47.6,16.4164984644547,52.4,14.8598800927102,77.3,5.61480328348274,22.7,10.7068421388898,597,189,284,133,313,133,900,184,29.699999999999996,,
53033001201,1008240,0,Census Tract 12.01,Washington,King County,2286,305,240,127,13,20,75,69,63,57,89,87,2046,313,216,210,291,131,686,265,853,246,10.5,5.37606873651846,89.5,6.69898113637349,11.2,6.08955346451814,88.8,10.9245461190555,9.4,8.85691514508688,90.6,7.24598552198581,1344,374,151,92,1193,363,942,261,-1.799999999999999,,
53033001202,821426,0,Census Tract 12.02,Washington,King County,1454,159,424,111,0,13,14,23,140,103,270,93,1030,183,0,13,218,119,280,134,532,147,29.2,6.9362028663281,70.8,9.91959520529695,23.6,14.3870375344423,76.4,12.7556072387015,33.7,9.00656253362958,66.3,11.3506677453,652,209,154,106,498,180,802,174,10.100000000000001,,
53033003201,1152079,1354300,Census Tract 32.01,Washington,King County,2538,488,1092,485,0,13,18,30,281,231,793,419,1446,243,143,132,116,74,374,162,813,211,43,17.2259397136936,57,14.549168971464,32.1,22.4086070338756,67.9,4.09336710925816,49.4,21.7426776119927,50.6,19.7777655819308,932,322,299,233,633,222,1606,469,17.299999999999997,,
53033003202,956016,0,Census Tract 32.02,Washington,King County,2105,330,1624,354,0,13,26,44,302,269,1296,243,481,189,0,13,0,13,146,152,335,157,77.1,11.684721175287,22.9,8.23305577514132,69.2,35.0601309967158,30.8,25.0640105321522,79.5,4.87195503577894,20.5,8.91146854765439,474,313,328,273,146,153,1631,289,10.299999999999997,,
53033003301,669207,0,Census Tract 33.01,Washington,King County,2120,239,812,121,0,13,18,30,125,90,669,118,1308,243,0,13,124,103,189,104,995,261,38.3,3.73242650141264,61.7,9.11061351709388,31.4,17.2734826014552,68.6,18.5822599518499,40.2,1.59293752705817,59.8,11.8489524753155,456,175,143,96,313,147,1664,286,8.800000000000004,,
53033003302,627071,0,Census Tract 33.02,Washington,King County,1610,178,807,163,17,27,62,57,148,148,580,114,803,133,9,18,117,115,104,86,573,123,50.1,8.47287661503526,49.9,6.15104746148221,49.7,26.26698906245,50.3,20.9967148495324,50.3,6.63589394937349,49.7,7.83382028193277,457,216,227,161,230,145,1153,168,0.5999999999999943,,
53033003601,674139,0,Census Tract 36.01,Washington,King County,1927,342,941,332,0,13,0,13,190,119,751,324,986,173,55,71,31,51,151,108,749,178,48.8,14.8903390767511,51.2,12.7697159341148,44.5,20.5458958904135,55.5,22.0826891159478,50.1,17.7212581054367,49.9,17.1033192591091,427,184,190,120,237,139,1500,370,5.600000000000001,,
53033003602,522326,0,Census Tract 36.02,Washington,King County,2669,408,498,151,0,13,0,13,42,63,456,144,2171,412,0,13,256,174,217,146,1698,378,18.7,4.88593483627452,81.3,9.14726382042894,8.2,12.2536771186486,91.8,13.1738207767949,21.2,5.37836617766941,78.8,9.45282565326859,515,237,42,66,473,228,2154,404,13,,
53033004101,1601973,3290570,Census Tract 41.01,Washington,King County,1412,190,1208,191,0,13,0,13,45,45,1163,195,204,65,0,13,0,13,13,21,191,69,85.6,7.10288595676449,14.4,4.17274910294831,77.6,39.0602801243596,22.4,43.1535646980785,85.9,5.91405405528628,14.1,4.61719414543713,58,56,45,49,13,28,1354,207,8.300000000000011,,
53033004102,1689910,2027249,Census Tract 41.02,Washington,King County,1616,221,1112,200,0,13,12,21,44,33,1056,202,504,108,9,16,12,22,25,32,458,104,68.8,8.03822585901368,31.2,5.14516757181731,54.9,24.6417658101198,45.1,31.8593163099801,69.7,8.28542584775036,30.3,5.1588822467077,102,59,56,41,46,42,1514,227,14.800000000000004,,
53033004201,1244114,0,Census Tract 42.01,Washington,King County,1464,182,1060,167,0,13,107,91,17,29,936,157,404,96,45,45,18,29,97,59,244,101,72.4,7.00731033331527,27.6,5.58839417172766,43.7,27.8086552611481,56.3,13.364828615514,79.3,4.35972056913634,20.7,7.90719361702475,284,125,124,96,160,80,1180,187,35.599999999999994,,
53033004202,1220977,0,Census Tract 42.02,Washington,King County,1793,250,1310,186,0,13,40,46,87,65,1183,194,483,234,0,13,0,13,40,47,443,229,73.1,1.95858635386059,26.9,12.498582020964,76,21.9327383440473,24,26.6600460354844,72.8,17.9594335845902,27.2,13.156029716668,167,95,127,81,40,50,1626,300,-3.200000000000003,,
53033004401,694919,0,Census Tract 44.01,Washington,King County,1225,179,594,177,0,13,41,42,0,13,553,174,631,99,31,49,54,51,183,93,363,96,48.5,12.5924358925967,51.5,2.94280660817524,13.3,13.8687149969028,86.7,13.5248061240932,60.4,13.7410273245988,39.6,5.97640062279051,309,126,41,46,268,117,916,199,47.099999999999994,,
53033004402,294988,0,Census Tract 44.02,Washington,King County,1651,216,158,68,0,13,0,13,15,25,143,64,1493,230,0,13,104,62,560,174,829,244,9.6,3.92380270472976,90.4,7.35528037044284,2.2,4.52437908553241,97.8,3.03738084223605,14.7,5.36709081818818,85.3,11.8838723382705,679,188,15,31,664,185,972,252,12.5,,
53033004701,571393,176916,Census Tract 47.01,Washington,King County,2204,275,530,212,0,13,0,13,80,65,450,210,1674,260,67,97,115,85,306,153,1186,245,24,9.13893284859178,76,7.0250858579148,14.1,10.7680035366817,85.9,14.8733211497088,27.5,11.6308282389742,72.5,4.40620264645487,568,211,80,68,488,200,1636,323,13.4,,
53033004702,266414,0,Census Tract 47.02,Washington,King County,2214,352,978,260,0,13,30,48,0,13,948,264,1236,376,0,13,71,88,210,148,955,360,44.2,9.41197563867434,55.8,14.4788636501686,9.6,15.4190517747988,90.4,18.9637517715641,49.8,7.49295487717668,50.2,14.8168885427786,311,180,30,51,281,173,1903,446,40.199999999999996,,
53033004703,1188631,155567,Census Tract 47.03,Washington,King County,2032,223,476,205,50,84,19,35,0,13,407,175,1556,255,0,13,100,80,232,205,1224,251,23.4,9.7555423204022,76.6,9.31996238103244,17.2,20.5228878041265,82.8,23.97825444656,25,9.65431813525875,75,6.21226122552,401,239,69,92,332,220,1631,306,7.800000000000001,,
53033004901,497144,0,Census Tract 49.01,Washington,King County,1989,215,749,183,15,22,0,13,31,25,703,185,1240,183,42,47,111,101,177,93,910,180,37.7,8.25117603133579,62.3,6.26402430522429,12.2,8.2563131866639,87.8,16.6597944367068,43.6,9.10756628379362,56.4,6.56510480357078,376,149,46,36,330,145,1613,258,31.400000000000002,,
53033004902,597604,17368,Census Tract 49.02,Washington,King County,1854,233,579,164,0,13,0,13,109,64,470,164,1275,190,43,48,53,55,153,107,1026,207,31.2,7.92737157925156,68.8,5.50713179611327,30.4,14.0026737796723,69.6,22.6723914362335,31.4,9.45725961089675,68.6,6.70674851645876,358,146,109,67,249,130,1496,264,1,,
53033005201,699701,73218,Census Tract 52.01,Washington,King County,1646,205,568,128,0,13,0,13,71,74,497,138,1078,202,0,13,46,41,488,190,544,136,34.5,6.48089923309225,65.5,9.16924163434791,11.7,11.8898168686222,88.3,10.4470301182407,47.7,9.82715619123292,52.3,8.70838958994522,605,209,71,76,534,195,1041,194,36,,
53033005202,269234,19268,Census Tract 52.02,Washington,King County,1479,220,44,41,0,13,0,13,28,30,16,30,1435,214,15,24,135,95,489,163,796,221,3,2.73659446054983,97,1.03195433444638,4.2,5.1048504857031,95.8,6.55690384593248,2,3.65473584447985,98,3.99526736948712,667,193,28,35,639,190,812,223,-2.2,,
53033005303,2432843,749176,Census Tract 53.03,Washington,King County,24,17,0,13,0,13,0,13,0,13,0,13,24,17,0,13,4,6,16,14,4,5,0,54.1666666666667,100,100.173460668094,0,115,100,180.277563773199,0,325,100,371.651718682963,20,30,0,23,20,20,4,14,,,
53033005304,73030,0,Census Tract 53.04,Washington,King County,148,37,0,13,0,13,0,13,0,13,0,13,148,37,0,13,9,18,8,15,131,32,0,8.78378378378378,100,35.3553390593274,0,135.294117647059,100,260.023954180004,0,9.9236641221374,100,36.2012387828378,17,35,0,23,17,27,131,35,,,
53033005305,212967,0,Census Tract 53.05,Washington,King County,1215,174,0,13,0,13,0,13,0,13,0,13,1215,174,71,78,98,49,491,168,555,141,0,1.06995884773663,100,20.2529349673184,0,3.48484848484848,100,41.2480347084495,0,2.34234234234234,100,36.0563006084974,660,193,0,23,660,192,555,142,,,
53033005306,200489,0,Census Tract 53.06,Washington,King County,1640,237,58,90,0,13,0,13,58,90,0,13,1582,241,17,27,199,101,536,166,830,236,3.5,5.46395460312473,96.5,4.64963563956301,7.2,11.1948573145491,92.8,34.7005453341253,0,1.56626506024096,100,40.211373580729,810,217,58,92,752,196,830,236,-7.2,,
53033005307,130030,0,Census Tract 53.07,Washington,King County,361,191,0,13,0,13,0,13,0,13,0,13,361,191,30,38,37,40,78,61,216,210,0,3.601108033241,100,74.8240416657233,0,15.8620689655172,100,81.4523342736148,0,6.01851851851852,100,137.492985230718,145,85,0,23,145,82,216,210,,,
53033005401,756239,615226,Census Tract 54.01,Washington,King County,2003,212,673,158,0,13,0,13,13,21,660,151,1330,199,0,13,87,96,113,68,1130,213,33.6,7.04105574926723,66.4,7.02244787769936,6.1,12.6722037630911,93.9,13.2904756161456,36.9,6.50061748865974,63.1,7.54114937572401,213,122,13,28,200,118,1790,261,30.799999999999997,,
53033005402,463900,0,Census Tract 54.02,Washington,King County,1660,272,531,227,0,13,11,17,37,42,483,229,1129,164,0,13,17,27,194,109,918,157,32,12.6303254185555,68,14.8928438150309,18.5,15.908957793262,81.5,20.7585448893889,34.5,14.8450623260727,65.5,17.1648931363196,259,122,48,47,211,113,1401,278,16,,
53033005803,832097,0,Census Tract 58.03,Washington,King County,1497,173,676,117,0,13,0,13,163,114,513,93,821,196,21,26,80,78,149,77,571,188,45.2,5.81815344514652,54.8,11.4566031427177,39.5,23.2084147673735,60.5,13.84812404518,47.3,12.5562167022394,52.7,14.0232447964739,413,161,163,115,250,113,1084,210,7.799999999999997,,
53033005804,2334443,1169687,Census Tract 58.04,Washington,King County,1529,245,432,115,0,13,9,14,59,46,364,112,1097,253,0,13,51,56,370,197,676,197,28.3,6.00610180880596,71.7,11.9008676093039,13.9,8.27924306955398,86.1,19.4276118890024,35,7.59049052517174,65,12.5509308204634,489,211,68,50,421,205,1040,227,21.1,,
53033005901,778385,173882,Census Tract 59.01,Washington,King County,1297,288,638,150,0,13,0,13,32,38,606,145,659,258,0,13,0,13,164,99,495,254,49.2,3.80073207537064,50.8,16.3830254285685,16.3,19.4099315265014,83.7,22.1384805555838,55,19.6604717388397,45,19.7495770054951,196,109,32,42,164,101,1101,292,38.7,,
53033005902,1022976,0,Census Tract 59.02,Washington,King County,1716,195,1159,177,14,24,0,13,206,124,939,196,557,164,0,13,25,31,188,96,344,127,67.5,6.89098873091225,32.5,8.81663026690183,50.8,22.2360631690696,49.2,14.5602348466119,73.2,7.42957047636522,26.8,8.60641219056475,433,163,220,127,213,102,1283,234,22.400000000000006,,
53033006701,380256,105441,Census Tract 67.01,Washington,King County,1992,300,120,85,0,13,0,13,0,13,120,85,1872,303,0,13,0,13,240,195,1632,339,6,4.16950608623218,94,5.57336675482029,0,9.58333333333333,100,115.789110263252,6.8,4.65579695275446,93.2,5.48470009985165,240,197,0,23,240,196,1752,349,6.8,,
53033006702,304748,0,Census Tract 67.02,Washington,King County,1980,403,570,262,0,13,0,13,153,196,417,183,1410,383,0,13,63,71,153,111,1194,373,28.8,11.8643323861211,71.2,12.8096477170752,41.5,46.2711575063627,58.5,51.8957712212892,25.9,9.19643156233719,74.1,13.0979066458126,369,237,153,197,216,132,1611,415,-15.600000000000001,,
53033006703,597133,0,Census Tract 67.03,Washington,King County,1882,423,1066,399,0,13,0,13,369,219,697,338,816,189,0,13,19,32,146,142,651,190,56.6,16.9528997394264,43.4,2.4254506553643,69.1,23.0271617395212,30.9,22.6752969642279,51.7,20.1796157314061,48.3,2.33273199893234,534,264,369,220,165,146,1348,388,-17.39999999999999,,
53033007001,358281,0,Census Tract 70.01,Washington,King County,2870,535,1010,394,0,13,0,13,0,13,1010,394,1860,511,26,41,153,170,811,393,870,252,35.2,12.0593953305362,64.8,13.0791088676319,0,2.32323232323232,100,61.4969039628883,53.7,16.135636491914,46.3,6.85314074457003,990,431,0,23,990,430,1880,468,53.7,,
53033007002,441021,0,Census Tract 70.02,Washington,King County,2245,274,581,125,0,13,68,58,107,100,406,88,1664,288,22,41,152,126,398,220,1092,257,25.9,4.58531407566841,74.1,9.09587764589411,23.4,12.7643146913818,76.6,18.6557387724057,27.1,3.20803678353806,72.9,10.9148882154546,747,282,175,116,572,257,1498,272,3.700000000000003,,
53033007101,495054,0,Census Tract 71.01,Washington,King County,1860,296,295,141,0,13,0,13,62,41,233,138,1565,279,0,13,17,29,384,192,1164,322,15.9,7.14812209036857,84.1,6.76078698038376,13.4,7.81049219930273,86.6,19.3427873004697,16.7,8.95099409262039,83.3,9.77268426256087,463,200,62,45,401,195,1397,350,3.299999999999999,,
53033007102,335908,0,Census Tract 71.02,Washington,King County,1680,214,339,121,0,13,16,25,36,42,287,117,1341,176,47,44,117,86,345,164,832,170,20.2,6.72811354153258,79.8,2.52345830968368,9.3,8.48822429850745,90.7,11.4860611819996,25.6,9.32896142695961,74.4,6.59150589951666,561,197,52,51,509,190,1119,206,16.3,,
53033007201,150744,0,Census Tract 72.01,Washington,King County,3535,447,747,297,0,18,0,18,0,18,747,297,2788,371,180,196,85,99,395,217,2128,361,21.1,7.96545740820563,78.9,3.2691487235193,0,4.6969696969697,100,66.3181316246582,26,9.42896794317353,74,3.62128933649327,660,310,0,31,660,309,2875,467,26,,
53033007202,280585,0,Census Tract 72.02,Washington,King County,1932,318,377,98,0,13,0,13,158,35,219,86,1555,334,36,4,163,120,18,29,1338,314,19.5,3.92606127333026,80.5,11.1069209681441,42.1,18.0864453495626,57.9,26.2865557488196,14.1,4.67283902696862,85.9,9.10878260770074,375,130,158,40,217,124,1557,326,-28,,
53033007203,579631,0,Census Tract 72.03,Washington,King County,1982,365,204,128,0,13,0,13,0,13,204,128,1778,361,0,13,94,88,333,174,1351,386,10.3,6.17369963145249,89.7,7.66991062259142,0,5.3864168618267,100,64.9155657820394,13.1,7.48113651588009,86.9,9.95413367579921,427,197,0,23,427,195,1555,407,13.1,,
53033007301,250787,0,Census Tract 73.01,Washington,King County,1916,271,0,13,0,13,0,13,0,13,0,13,1916,271,40,47,38,46,439,232,1399,249,0,0.678496868475992,100,20.0027074845046,0,4.44874274661509,100,66.0606010264827,0,0.929235167977127,100,25.1707774861259,517,242,0,23,517,241,1399,249,,,
53033007302,312981,0,Census Tract 73.02,Washington,King County,3091,303,469,168,0,13,0,13,0,13,469,168,2622,331,70,80,112,79,332,163,2108,337,15.2,5.22766016234433,84.8,6.7474541952662,0,4.47470817120623,100,54.6152300957867,18.2,5.95074035438553,81.8,5.27314585045473,514,199,0,23,514,198,2577,377,18.2,,
