Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Occupied Housing Units,Total Occupied Housing Units - Margin of Error,All Owner-Occupied Housing Units,All Owner-Occupied Housing Units - Margin of Error,Owner-Occupied Housing Units with a Householder who is not a high school graduate,Owner-Occupied Housing Units with a Householder who is not a high school graduate - Margin of Error,Owner-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency),Owner-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency) - Margin of Error,Owner-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree,Owner-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree - Margin of Error,Owner-Occupied Housing Units with a Householder who holds a bachelor's degree or higher,Owner-Occupied Housing Units with a Householder who holds a bachelor's degree or higher - Margin of Error,All Renter-Occupied Housing Units,All Renter-Occupied Housing Units - Margin of Error,Renter-Occupied Housing Units with a Householder who is not a high school graduate,Renter-Occupied Housing Units with a Householder who is not a high school graduate - Margin of Error,Renter-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency),Renter-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency) - Margin of Error,Renter-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree,Renter-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree - Margin of Error,Renter-Occupied Housing Units with a Householder who holds a bachelor's degree or higher,Renter-Occupied Housing Units with a Householder who holds a bachelor's degree or higher - Margin of Error,Overall Homeownership Rate: Percent of all Occupied Housing Units that are Owner-Occupied,Overall Homeownership Rate: Percent of all Occupied Housing Units that are Owner-Occupied - Margin of Error,Overall Renter Rate: Percent of all Occupied Housing Units that are Renter-Occupied,Overall Renter Rate: Percent of all Occupied Housing Units that are Renter-Occupied - Margin of Error,Homeownership Rate among Households with a Householder who does not hold a bachelor's degree,Homeownership Rate among Households with a Householder who does not hold a bachelor's degree - Margin of Error,Renter Rate among Households with a householder who does not hold a bachelor's degree,Renter Rate among Households with a householder who does not hold a bachelor's degree - Margin of Error,Homeownership Rate among Households with a Householder who holds a bachelor's degree or higher,Homeownership Rate among Households with a Householder who holds a bachelor's degree or higher - Margin of Error,Renter Rate among Households with a Householder who holds a bachelor's degree or higher,Renter Rate among Households with a Householder who holds a bachelor's degree or higher - Margin of Error,Households with a Householder who does not hold a bachelor's degree,Households with a Householder who does not hold a bachelor's degree - Margin of Error,Households with a Householder who does not hold a bachelor's degree that are Owner-Occupied,Households with a Householder who does not hold a bachelor's degree that are Owner-Occupied - Margin of Error,Households with a Householder who does not hold a bachelor's degree that are Renter-Occupied,Households with a Householder who does not hold a bachelor's degree that are Renter-Occupied - Margin of Error,Households with a Householder who holds a bachelor's degree or higher,Households with a Householder who holds a bachelor's degree or higher - Margin of Error,Percent Difference Home Ownership with and without Bachelor's Degree,x,y
53033008003,197152,0,Census Tract 80.03,Washington,King County,2826,383,919,270,0,13,0,13,61,70,858,265,1907,375,145,112,325,211,261,180,1176,334,32.5,8.47688248803054,67.5,9.61478223332384,7.7,8.58331083415034,92.3,11.7003598299583,42.2,9.57544469824946,57.8,11.0910655830406,792,308,61,72,731,299,2034,426,34.5,,
53033008004,284626,526767,Census Tract 80.04,Washington,King County,2154,277,795,220,0,13,0,13,18,38,777,215,1359,265,0,13,30,51,250,128,1079,247,36.9,9.04374554096291,63.1,9.2481073546511,6,13.7841084602957,94,7.3689892488785,41.9,8.93235147144062,58.1,8.49679869093124,298,145,18,42,280,138,1856,327,35.9,,
53033008101,270324,277671,Census Tract 81.01,Washington,King County,1833,178,288,89,0,13,0,13,45,37,243,83,1545,195,76,71,168,143,493,127,808,141,15.7,4.6094713031256,84.3,6.79541414283806,5.8,5.0145744750397,94.2,7.22021697360551,23.1,7.02495951635686,76.9,6.0058886364778,782,208,45,41,737,204,1051,164,17.3,,
53033008102,556705,91220,Census Tract 81.02,Washington,King County,1460,349,299,157,0,13,0,13,102,92,197,111,1161,342,177,89,92,92,74,50,818,348,20.5,9.57449217947198,79.5,13.6888533508511,22.9,19.3157018762461,77.1,11.0035601213193,19.4,8.41909789248984,80.6,18.3196362080178,445,166,102,94,343,137,1015,365,-3.5,,
53033008401,250921,0,Census Tract 84.01,Washington,King County,2153,274,360,138,0,13,38,48,54,47,268,134,1793,279,53,72,204,134,592,268,944,261,16.7,6.04611506569536,83.3,7.4565112982753,9.8,6.43745964636429,90.2,12.3835340762434,22.1,9.67790977605764,77.9,10.4498054887552,941,316,92,68,849,308,1212,293,12.3,,
53033008402,145446,0,Census Tract 84.02,Washington,King County,2099,428,127,89,0,13,0,13,31,53,96,100,1972,444,0,13,175,147,394,230,1403,415,6.1,4.05665656287688,93.9,8.96987540725695,5.2,9.01881948267683,94.8,11.2098391491582,6.4,6.41682934928279,93.6,7.45908860017386,600,279,31,56,569,273,1499,427,1.2000000000000002,,
53033009801,1004708,0,Census Tract 98.01,Washington,King County,1461,255,919,188,0,13,89,57,263,164,567,143,542,185,61,98,0,13,190,139,291,113,62.9,6.71182188892015,37.1,10.8818629104267,58.4,16.5741388937716,41.6,22.8142277458818,66.1,9.0154894622516,33.9,11.0315432154301,603,244,352,174,251,171,858,182,7.699999999999996,,
53033009802,922319,0,Census Tract 98.02,Washington,King County,1764,310,1040,158,15,24,110,82,91,62,824,161,724,309,38,44,0,13,262,168,424,266,59,13.6957945141408,41,15.9631210337037,41.9,12.1702253898984,58.1,24.6733183207416,66,20.9079977232295,34,19.5604601945355,516,204,216,106,300,174,1248,311,24.1,,
53033010101,871622,0,Census Tract 101.01,Washington,King County,1614,250,719,110,71,65,66,51,95,61,487,104,895,261,115,70,130,87,395,236,255,148,44.5,9.69855672811137,55.5,13.7013099509977,26.6,8.12500033905639,73.4,18.3438453758693,65.6,21.2787006117329,34.4,18.0988443830395,872,281,232,103,640,261,742,181,38.99999999999999,,
53033010102,1623225,2170065,Census Tract 101.02,Washington,King County,1734,220,1282,227,27,31,175,194,141,85,939,140,452,162,29,50,56,53,101,74,266,147,73.9,9.131761530088,26.1,8.73760501749206,64.8,28.0271387446772,35.2,11.6732588988798,77.9,17.5305313792179,22.1,11.6185295964423,529,238,343,214,186,104,1205,203,13.100000000000009,,
53033010301,1002658,0,Census Tract 103.01,Washington,King County,1484,242,970,171,70,77,120,76,124,81,656,186,514,231,21,26,243,215,121,84,129,87,65.4,4.3774095276509,34.6,14.5051465681432,44.9,8.61118090739434,55.1,25.540436672448,83.6,9.22856193850718,16.4,10.2182166822662,699,269,314,135,385,232,785,205,38.699999999999996,,
53033010302,632167,0,Census Tract 103.02,Washington,King County,1586,197,551,141,0,13,34,38,57,45,460,143,1035,192,62,102,73,54,94,64,806,172,34.7,7.77273458471985,65.3,8.99156062671596,28.4,13.6205781183209,71.6,25.4964287257935,36.3,9.28737802207833,63.7,7.59545376318155,320,145,91,60,229,132,1266,224,7.899999999999999,,
53033010501,742016,0,Census Tract 105.01,Washington,King County,2102,201,736,197,30,41,122,108,14,25,570,192,1366,266,71,71,47,56,318,178,930,259,35,8.75354740062819,65,11.0237780600193,27.6,16.470668267688,72.4,18.0192893817021,38,9.86397044241764,62,10.9999738181507,602,232,166,118,436,200,1500,322,10.399999999999999,,
53033010502,975912,0,Census Tract 105.02,Washington,King County,3054,450,1186,270,0,18,262,184,63,63,861,312,1868,448,109,126,116,121,551,367,1092,267,38.8,6.73928027517548,61.2,11.5741323898522,29.5,12.941321642077,70.5,22.9404870503559,44.1,13.0053196964901,55.9,6.96025541645865,1101,451,325,195,776,406,1953,411,14.600000000000001,,
53033010601,1089233,0,Census Tract 106.01,Washington,King County,1975,252,1358,233,0,13,87,88,254,129,1017,221,617,162,100,113,17,26,127,74,373,121,68.8,7.88722745829827,31.2,7.16884158068862,58.3,16.9283395839065,41.7,18.2873462773072,73.2,8.76580543408472,26.8,7.21870910559419,585,209,341,157,244,138,1390,252,14.900000000000006,,
53033010602,1505061,817134,Census Tract 106.02,Washington,King County,1943,320,1118,260,24,27,12,19,198,77,884,266,825,236,0,13,183,140,312,200,330,118,57.5,9.44763056281169,42.5,9.93118645428071,32.1,1.92878085945511,67.9,23.2978801678756,72.8,13.2451256951809,27.2,7.21256649300877,729,258,234,84,495,244,1214,291,40.699999999999996,,
53033011601,1554538,184845,Census Tract 116.01,Washington,King County,1377,152,1029,175,36,46,28,34,81,48,884,169,348,102,6,9,0,13,71,46,271,105,74.7,9.66801295552237,25.3,6.86202228479391,65.3,21.3469308842782,34.7,17.1412941793393,76.5,6.34059767165893,23.5,8.14261579093971,222,89,145,75,77,49,1155,199,11.200000000000003,,
53033011602,1565825,786358,Census Tract 116.02,Washington,King County,1478,221,1108,210,0,13,128,84,127,58,853,230,370,135,0,13,96,89,51,56,223,111,75,8.73082055798996,25,8.33172441360429,63.4,10.5404368222257,36.6,22.6724477923645,79.3,10.1954579990092,20.7,9.07171490147034,402,148,255,103,147,106,1076,255,15.899999999999999,,
53033011801,1160802,630417,Census Tract 118.01,Washington,King County,1137,231,736,214,104,90,38,43,141,93,453,214,401,143,136,117,60,72,137,101,68,60,64.7,13.464416836033,35.3,10.3362504735647,45.9,14.9363505530035,54.1,20.1148022398847,86.9,17.7347175085457,13.1,10.0844438316356,616,218,283,136,333,171,521,222,41.00000000000001,,
53033011802,1139611,1037832,Census Tract 118.02,Washington,King County,1872,280,968,215,26,40,105,133,361,142,476,170,904,226,168,108,168,127,296,167,272,131,51.7,8.49038403644039,48.3,9.67356301890785,43.8,13.0224832132917,56.2,14.2638078712509,63.6,13.4892883327802,36.4,14.0524514172862,1124,308,492,199,632,236,748,215,19.800000000000004,,
53033011901,1682374,0,Census Tract 119.01,Washington,King County,1337,375,1159,374,188,162,69,81,577,243,325,102,178,89,14,31,111,66,15,23,38,43,86.7,13.8323746914798,13.3,5.51070886193464,85.6,14.512202047425,14.4,6.28880393121266,89.5,6.327594900945,10.5,11.4050233602157,974,313,834,303,140,76,363,111,3.9000000000000057,,
53033011902,1580686,1217487,Census Tract 119.02,Washington,King County,1229,198,1106,221,0,13,117,128,457,138,532,165,123,110,0,13,0,13,73,82,50,63,90,10.6374670255789,10,8.803936355619,88.7,6.90466423075824,11.3,12.4710666182143,91.4,5.56170893060463,8.6,10.5046941914061,647,207,574,189,73,84,582,177,2.700000000000003,,
