Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Median Earnings of Total Full-Time Year-Round Civilian Employed Population 16 Years and Over with Earnings,Median Earnings of Total Full-Time Year-Round Civilian Employed Population 16 Years and Over with Earnings - Margin of Error,"Median Earnings of All Management, Business, Science, and Arts Occupations","Median Earnings of All Management, Business, Science, and Arts Occupations - Margin of Error","Median Earnings of All Management, Business, and Financial Occupations","Median Earnings of All Management, Business, and Financial Occupations - Margin of Error",Median Earnings of Management Occupations,Median Earnings of Management Occupations - Margin of Error,Median Earnings of Business and Financial Operations Occupations,Median Earnings of Business and Financial Operations Occupations - Margin of Error,"Median Earnings of All Computer, Engineering, and Science Occupations","Median Earnings of All Computer, Engineering, and Science Occupations - Margin of Error",Median Earnings of Computer and Mathematical Occupations,Median Earnings of Computer and Mathematical Occupations - Margin of Error,Median Earnings of Architecture and Engineering Occupations,Median Earnings of Architecture and Engineering Occupations - Margin of Error,"Median Earnings of Life, Physical, and Social Science Occupations","Median Earnings of Life, Physical, and Social Science Occupations - Margin of Error","Median Earnings of All Education, Legal, Community Service, Arts, and Media Occupations","Median Earnings of All Education, Legal, Community Service, Arts, and Media Occupations - Margin of Error",Median Earnings of Community and Social Service Occupations,Median Earnings of Community and Social Service Occupations - Margin of Error,Median Earnings of Legal Occupations,Median Earnings of Legal Occupations - Margin of Error,"Median Earnings of Educational Instruction, and Library Occupations","Median Earnings of Educational Instruction, and Library Occupations - Margin of Error","Median Earnings of Arts, Design, Entertainment, Sports, and Media Occupations","Median Earnings of Arts, Design, Entertainment, Sports, and Media Occupations - Margin of Error",Median Earnings of All Healthcare Practitioners and Technical Occupations,Median Earnings of All Healthcare Practitioners and Technical Occupations - Margin of Error,Median Earnings of Health Diagnosing and Treating Practitioners and Other Technical Occupations,Median Earnings of Health Diagnosing and Treating Practitioners and Other Technical Occupations - Margin of Error,Median Earnings of Health Technologists and Technicians Occupations,Median Earnings of Health Technologists and Technicians Occupations - Margin of Error,Median Earnings of All Service Occupations,Median Earnings of All Service Occupations - Margin of Error,Median Earnings of Healthcare Support Occupations,Median Earnings of Healthcare Support Occupations - Margin of Error,Median Earnings of All Protective Service Occupations,Median Earnings of All Protective Service Occupations - Margin of Error,"Median Earnings of Fire Fighting and Prevention, and Other Protective Service Workers including Supervisors","Median Earnings of Fire Fighting and Prevention, and Other Protective Service Workers including Supervisors - Margin of Error",Median Earnings of Law Enforcement Workers including Supervisors,Median Earnings of Law Enforcement Workers including Supervisors - Margin of Error,Median Earnings of Food Preparation and Serving Related Occupations,Median Earnings of Food Preparation and Serving Related Occupations - Margin of Error,Median Earnings of Building and Grounds Cleaning and Maintenance Occupations,Median Earnings of Building and Grounds Cleaning and Maintenance Occupations - Margin of Error,Median Earnings of Personal Care and Service Occupations,Median Earnings of Personal Care and Service Occupations - Margin of Error,Median Earnings of All Sales and Office Occupations,Median Earnings of All Sales and Office Occupations - Margin of Error,Median Earnings of Sales and Related Occupations,Median Earnings of Sales and Related Occupations - Margin of Error,Median Earnings of Office and Administrative Support Occupations,Median Earnings of Office and Administrative Support Occupations - Margin of Error,"Median Earnings of All Natural Resources, Construction, and Maintenance Occupations","Median Earnings of All Natural Resources, Construction, and Maintenance Occupations - Margin of Error","Median Earnings of Farming, Fishing, and Forestry Occupations","Median Earnings of Farming, Fishing, and Forestry Occupations - Margin of Error",Median Earnings of Construction and Extraction Occupations,Median Earnings of Construction and Extraction Occupations - Margin of Error,"Median Earnings of Installation, Maintenance, and Repair Occupations","Median Earnings of Installation, Maintenance, and Repair Occupations - Margin of Error","Median Earnings of All Production, Transportation, and Material Moving Occupations","Median Earnings of All Production, Transportation, and Material Moving Occupations - Margin of Error",Median Earnings of Production Occupations,Median Earnings of Production Occupations - Margin of Error,Median Earnings of Transportation Occupations,Median Earnings of Transportation Occupations - Margin of Error,Median Earnings of Material Moving Occupations,Median Earnings of Material Moving Occupations - Margin of Error,Occupation with Highest Median Earnings,Highest Median Earnings,x,y
53033002900,986209,0,Census Tract 29,Washington,King County,97500,11551,106402,8767,123365,35837,148897,40721,77500,42572,104722,23211,112411,90663,96458,14687,105341,72250,90739,9918,,,92070,74154,80026,27098,125385,96455,110446,35703,110446,35703,,,33875,17662,,,,,,,,,,,,,,,63232,6180,106458,85547,62710,10328,75732,45060,,,75732,45060,,,,,,,,,,,"Management, Business, and Financial Occupations",123365,,
53033003000,1493249,0,Census Tract 30,Washington,King County,99438,11806,110821,10754,153846,44788,161583,52510,94821,31074,136250,40631,140521,56596,96477,39757,148897,122060,75145,26756,,,33816,62542,98125,32914,60096,40904,96544,15788,96250,77244,,,89028,61840,,,,,,,,,,,,,,,55750,55100,56625,126348,51705,35730,54219,35714,,,54219,35714,,,57171,103202,,,,,,,"Management, Business, and Financial Occupations",153846,,
53033003100,2236733,472744,Census Tract 31,Washington,King County,105122,17149,115417,20960,152813,42511,178456,64048,114420,32908,123333,45705,131103,40588,85167,8236,,,82152,33118,51974,75499,138156,44045,80838,12028,79779,64558,208967,167380,250001,,,,51696,31580,,,141250,171593,,,,,,,,,,,102153,51772,167969,65423,78056,28713,56000,6427,,,55893,12794,,,70992,13838,,,70813,24508,,,Healthcare Practitioners and Technical Occupations,208967,,
53033003400,787161,0,Census Tract 34,Washington,King County,110351,13055,114141,22746,106957,30926,129524,32660,86667,35034,157125,25449,133036,45201,157000,19367,161296,40638,95417,26024,,,101648,60404,46250,45431,113438,56405,102361,193064,102361,193064,,,38646,17888,,,,,,,,,,,,,,,133105,59330,143875,188619,63750,40655,,,,,,,,,60433,25145,,,37083,109512,,,"Computer, Engineering, and Science Occupations",157125,,
53033003500,1284745,0,Census Tract 35,Washington,King County,89971,9659,109103,9871,134444,15079,135575,14340,126964,27861,111944,28995,172703,75367,79432,56669,96083,40006,69023,2684,30313,31523,161250,149081,67650,14851,71118,12645,108558,12846,108702,10756,,,47845,15857,,,,,,,,,,,,,48578,3642,44861,11448,39286,20221,45972,18428,,,,,,,,,31979,32507,42875,63027,,,,,"Management, Business, and Financial Occupations",134444,,
53033003800,624606,0,Census Tract 38,Washington,King County,118529,37782,136932,48189,99306,19248,108750,76153,56875,64178,174306,20198,187857,20166,175938,35796,112292,22960,92083,54109,,,250001,,70469,27414,152679,173574,70833,57945,70833,57945,,,,,,,,,,,,,,,,,,,43281,9772,56250,16591,42500,4693,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",174306,,
53033003900,973808,0,Census Tract 39,Washington,King County,117837,24866,134038,37028,163603,16106,163419,10335,171042,180586,129375,22223,129167,44395,130417,83056,112250,35594,106667,21433,,,170250,151552,115511,49128,88750,54058,167750,255498,167750,255498,,,56875,44050,,,,,,,,,40179,8170,,,,,109464,87868,158090,94387,49706,78713,,,,,,,,,43578,12527,,,,,,,Healthcare Practitioners and Technical Occupations,167750,,
53033004000,2574586,3232248,Census Tract 40,Washington,King County,148209,41094,162031,79020,216725,65427,236364,99977,216425,37307,87083,39914,134531,82898,,,64886,84255,74861,37640,98047,31097,250001,,49643,50650,,,250001,,250001,,,,,,,,,,,,,,,,,,,,106618,92130,107132,117496,,,,,,,,,,,95466,14569,,,,,,,Healthcare Practitioners and Technical Occupations,250001,,
53033004301,979236,0,Census Tract 43.01,Washington,King County,104650,17314,113580,16593,151125,46467,158250,46820,109167,102363,110833,23545,101932,134324,116705,45990,94444,23383,103850,40054,89063,37978,141587,60940,104028,94901,49750,27113,68839,68740,68839,68740,,,46250,51756,,,,,,,,,,,,,,,91389,73899,145625,142571,61563,30393,,,,,,,,,,,,,,,,,"Management, Business, and Financial Occupations",151125,,
53033004302,331137,0,Census Tract 43.02,Washington,King County,40243,7940,53261,14346,54896,16357,44457,52031,,,79625,20752,86326,10774,59500,47899,36750,26311,21855,45472,,,,,20726,10156,,,49143,9246,58646,24317,,,43889,11685,,,,,,,,,39766,16967,,,,,22212,7238,21474,611,40350,32068,39107,15488,,,39107,15488,,,22069,10856,,,,,,,"Computer, Engineering, and Science Occupations",79625,,
53033004500,670997,0,Census Tract 45,Washington,King County,77260,23145,111949,20187,127500,33589,119844,55789,137550,70480,154531,65192,192823,38797,66667,49592,66250,6891,90000,29695,,,154886,49452,43906,30382,111944,31372,81042,7373,81563,13292,,,58125,52398,52857,37281,,,,,,,,,,,,,41875,42116,37500,32128,77969,72877,55520,534,,,,,55421,132,34464,102881,31927,3083,,,,,"Computer, Engineering, and Science Occupations",154531,,
53033004600,1552358,1033232,Census Tract 46,Washington,King County,90313,28385,104313,26140,130469,26023,144297,26935,100500,39983,139342,16775,148021,31975,78523,28773,,,68305,4886,53345,15755,178281,57318,68082,2412,97361,212847,79659,72898,105750,54089,,,39125,92564,,,,,,,,,,,,,,,61023,35526,113229,92865,40000,15941,77727,35207,,,,,78636,67215,40658,1544,,,,,,,"Computer, Engineering, and Science Occupations",139342,,
53033004800,1278329,26886,Census Tract 48,Washington,King County,98462,35948,114911,35041,138590,74367,139000,106668,132308,102173,128750,25255,109438,53184,167697,34714,120179,49944,61152,16673,,,123819,167891,43750,9700,95982,120242,105074,15727,105074,15727,,,43219,5735,,,,,,,,,44063,18712,,,,,72143,98556,250001,,56250,21685,48654,14482,,,48654,14482,,,29219,145254,,,125625,171668,,,"Management, Business, and Financial Occupations",138590,,
53033005000,757380,0,Census Tract 50,Washington,King County,83311,11212,89607,17977,90313,19090,98611,108910,84073,13864,131583,17368,156150,35562,110972,21074,68750,174056,62759,15920,,,,,56583,29216,46500,97180,77353,9967,77353,11616,,,32308,97341,,,,,,,,,,,,,,,65037,56286,130400,96213,42124,11967,,,,,,,,,40938,12516,,,40938,12516,,,"Computer, Engineering, and Science Occupations",131583,,
53033005100,881731,0,Census Tract 51,Washington,King County,104632,17446,109022,11539,115694,36733,110000,35260,131797,36644,119028,25484,145278,34176,101250,26087,69167,59391,84625,4856,69375,16466,,,107750,86817,80833,57104,78533,24155,79130,41155,,,44286,29715,73864,121896,,,,,,,,,,,,,57222,64136,116719,79778,55417,40635,,,,,,,,,32857,16822,,,,,,,"Computer, Engineering, and Science Occupations",119028,,
53033005600,3022785,1546484,Census Tract 56,Washington,King County,129583,38597,147548,26825,188403,114568,250001,,109926,53797,148235,35417,94753,96387,152188,20659,152188,250685,101667,62067,,,178929,68529,64485,67287,111094,48833,97500,114363,97500,114363,,,,,,,,,,,,,,,,,,,84145,102408,138750,135409,69844,17322,58750,1868,,,,,,,,,,,,,,,"Management, Business, and Financial Occupations",188403,,
53033005700,5085640,2365806,Census Tract 57,Washington,King County,117426,40322,139405,33423,123672,30320,137897,22101,92039,23597,188343,21883,169400,64795,134265,64430,188655,8732,80857,28522,,,168462,234141,56786,13144,67604,46862,72014,46936,145430,70182,44244,30983,30455,21202,,,,,,,,,,,,,,,47193,27202,130313,171625,38973,14954,53875,15792,,,53875,15792,,,32165,33877,52625,50753,,,,,"Computer, Engineering, and Science Occupations",188343,,
53033005801,1822365,260223,Census Tract 58.01,Washington,King County,96044,9222,100999,6310,94605,28872,100634,32582,81136,26665,132074,24037,140854,20937,98333,47727,96827,11679,73488,18770,64097,33403,247891,314023,73430,35010,71771,54357,109625,16530,109500,11058,,,54554,33541,,,,,,,,,80325,32257,,,35139,18943,71531,11988,57165,40936,75255,9891,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",132074,,
53033006000,1340653,160754,Census Tract 60,Washington,King County,85492,16808,112917,22184,126292,29755,177738,43740,96484,52833,131875,54671,159531,22098,130174,121377,64323,78834,83456,51872,,,143431,50730,36653,33801,71667,86377,62372,90038,62372,90038,,,56071,33898,,,,,,,,,67169,34144,,,38156,11611,58409,7670,85129,61894,57614,10961,59412,12186,,,,,,,50927,204867,,,,,,,"Computer, Engineering, and Science Occupations",131875,,
53033006100,1227451,652743,Census Tract 61,Washington,King County,102275,23643,114174,17940,140743,19154,142083,15639,121455,36082,136481,14695,140677,15230,,,88239,110729,90043,30766,,,112946,7931,56708,9913,222796,334685,64737,8669,64737,8669,,,77798,152911,,,,,,,,,,,,,,,66250,18687,73750,76285,45221,13574,44318,45785,,,,,,,58833,21568,73650,33789,,,,,"Management, Business, and Financial Occupations",140743,,
53033006200,2437426,239356,Census Tract 62,Washington,King County,112161,28652,128750,25816,110039,24345,137841,19565,81929,13100,131806,86623,192222,112225,118750,103785,99531,155364,98594,29898,83194,16303,168750,23746,80000,9824,57361,19584,243833,22362,250001,,,,,,,,,,,,,,,,,,,,61528,38976,75888,87271,53824,7750,,,,,,,,,,,,,,,,,Healthcare Practitioners and Technical Occupations,243833,,
53033006300,2610569,3533560,Census Tract 63,Washington,King County,106276,29502,126029,31053,131696,78538,175000,112381,82208,81116,127375,53748,245282,132301,,,123333,48197,130982,73808,,,164063,94503,,,69141,12076,106678,134135,106678,134135,,,52188,9002,,,,,,,,,,,,,,,74342,66035,142557,145777,11984,65771,,,,,,,,,,,,,,,,,"Management, Business, and Financial Occupations",131696,,
53033006400,903649,0,Census Tract 64,Washington,King County,123472,32573,131591,36268,107335,37015,123750,105954,76667,45914,162344,66696,187679,22362,93542,48398,110781,11474,125781,142205,,,250001,,125625,94162,31667,80008,250001,,250001,,,,50288,13133,,,,,,,,,,,,,,,170694,182990,250001,,54091,13648,,,,,,,,,35048,10024,,,,,35096,12330,Healthcare Practitioners and Technical Occupations,250001,,
53033006500,1147619,0,Census Tract 65,Washington,King County,105183,24034,117391,29879,148796,25096,167786,31214,66250,32800,130551,17468,132485,33373,106458,42536,73083,70777,77875,15885,51563,3188,120156,89790,65583,21889,82750,6188,101058,14153,101314,9790,,,,,,,,,,,,,,,,,,,74125,50940,74250,87622,59917,65471,49402,13385,,,50673,23238,,,37500,25905,,,,,,,"Management, Business, and Financial Occupations",148796,,
53033006600,1117109,831139,Census Tract 66,Washington,King County,88026,16108,81325,12959,87426,24635,105313,62441,77868,16934,105859,57577,158000,42595,85417,45260,66118,14531,72008,13797,,,,,55781,29743,70809,10316,65708,2369,65708,2369,,,73365,46490,,,,,,,,,,,,,,,139710,16205,159107,26230,106227,65965,,,,,,,,,42292,16069,,,,,41319,22312,Sales and Office Occupations,139710,,
53033006800,718106,0,Census Tract 68,Washington,King County,93397,7012,101442,13507,135104,61690,107344,45882,146250,55383,103049,14148,117083,83549,86486,43085,216719,174250,91923,3773,90597,31662,96500,95317,72083,59572,132500,149854,93438,77629,93750,132569,,,39583,41438,,,,,,,,,,,,,,,86591,19683,94063,124234,85455,53173,,,,,,,,,,,,,,,,,"Management, Business, and Financial Occupations",135104,,
53033006900,905121,0,Census Tract 69,Washington,King County,101174,17389,116996,17081,140705,40401,158355,23402,115672,28793,131250,69986,135417,60518,250001,,56814,46540,81319,26799,21875,43191,81319,116079,85588,61506,98015,16235,,,,,,,52860,3663,,,,,,,,,,,,,49797,6910,100663,53809,150652,51855,63000,20494,,,,,,,,,42768,6020,43482,4091,,,,,"Management, Business, and Financial Occupations",140705,,
53033007600,571882,0,Census Tract 76,Washington,King County,79013,14997,84810,20364,115895,18343,108646,61743,116080,15973,98558,21482,104167,43354,103661,24036,,,70466,5761,65489,12093,171250,325732,66250,19603,71337,29485,66466,21442,66034,25288,,,44333,7956,,,,,,,,,42143,4284,,,,,60188,14129,57109,66232,60344,18034,,,,,,,,,188111,148061,,,,,,,"Production, Transportation, and Material Moving Occupations",188111,,
53033007700,1058322,0,Census Tract 77,Washington,King County,96641,19473,113101,20129,115750,59480,159028,33580,90658,9053,143854,20160,163300,18714,73250,34000,96944,91463,62426,9028,53403,23448,,,58750,13730,80347,46579,78750,97633,79018,113836,,,38596,1050,,,,,,,,,,,,,,,50688,27212,99417,93609,42262,23461,82734,80757,,,83965,13325,,,,,,,,,,,"Computer, Engineering, and Science Occupations",143854,,
53033007800,2097740,3632914,Census Tract 78,Washington,King County,125112,46330,141333,56539,141500,57032,175313,35594,76990,38316,96313,120753,170313,114997,,,96125,83844,163828,62833,,,186569,52760,148750,66862,,,92106,82373,163250,148197,,,46964,52568,,,,,,,,,,,,,,,157616,69399,157733,77859,,,27426,67836,,,,,,,,,,,,,,,"Education, Legal, Community Service, Arts, and Media Occupations",163828,,
53033008002,234314,0,Census Tract 80.02,Washington,King County,87825,27437,91307,41015,108077,33206,91071,48760,109615,28236,118615,70106,142625,20735,74355,40927,,,63906,16148,,,,,,,65757,7175,37344,116382,36953,98887,,,19196,60015,,,,,,,,,,,,,,,66900,55227,94273,34835,31989,25277,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",118615,,
53033008200,375785,0,Census Tract 82,Washington,King County,95867,25546,125089,24394,125351,27890,146597,75564,95816,4093,127031,30471,140117,29779,,,,,42337,42128,,,,,70781,148483,,,238984,160674,250001,,,,33438,13650,,,,,,,,,,,,,,,65036,29047,78984,159676,56250,23354,,,,,,,,,66761,35414,,,,,,,Healthcare Practitioners and Technical Occupations,238984,,
53033008300,237955,0,Census Tract 83,Washington,King County,103835,19730,115000,15973,108292,26601,123608,8212,62344,24786,144147,10304,149145,5468,142983,75515,107798,48031,61053,66296,,,,,79625,123350,62105,117217,73409,22455,78125,141151,,,39375,34033,,,,,,,,,,,,,,,57368,21942,69712,31315,46364,16190,,,,,,,,,61250,32121,,,,,,,"Computer, Engineering, and Science Occupations",144147,,
53033008500,450978,0,Census Tract 85,Washington,King County,62394,12462,79896,6149,79034,22462,80417,27274,70764,39675,99265,22460,110234,16756,73000,48204,,,77614,25324,,,,,58409,36305,,,79103,7144,79103,7144,,,38724,1390,,,,,,,,,34973,13341,,,,,49792,10305,54861,16615,48906,10789,,,,,,,,,35987,2236,,,,,,,"Computer, Engineering, and Science Occupations",99265,,
53033008600,711350,0,Census Tract 86,Washington,King County,61394,7546,91667,18524,92813,83910,89327,141700,127756,86838,125265,37158,126824,69023,93056,64325,100233,85503,71444,15857,70250,25078,,,52500,32322,130455,96608,49756,15889,49756,15889,,,50702,16936,,,,,,,,,54868,47212,,,50702,16109,42939,12269,41417,23768,44257,21005,89044,38544,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",125265,,
53033008700,732385,0,Census Tract 87,Washington,King County,77883,4919,92813,13731,94663,17361,103139,20223,92788,35904,138403,56613,180313,49941,132708,73603,56971,53924,78045,9732,62500,6789,250001,,78250,9881,72500,31084,111406,55359,110156,63233,,,45049,27688,,,,,,,,,45518,21811,,,,,54643,31912,61500,43114,34412,33136,44432,34943,,,,,,,31713,45098,31250,68361,31818,74386,,,"Computer, Engineering, and Science Occupations",138403,,
53033008800,948581,0,Census Tract 88,Washington,King County,85497,8204,101813,11944,117621,24745,140375,58496,98333,21610,128015,45805,147375,29499,105391,16524,75625,53588,83973,12723,85417,45443,163750,132761,100469,55373,75865,12914,89000,28388,84432,92432,,,41958,13497,,,,,,,,,40333,17818,,,,,61688,38104,61875,36511,59583,49866,27434,187646,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",128015,,
53033008900,1270033,1798066,Census Tract 89,Washington,King County,82596,24242,108989,16875,119965,31192,135491,34864,89821,26725,107946,30645,167177,25884,86016,13161,,,99271,50484,,,111442,54353,49327,23194,106458,208215,99081,53280,131161,51982,62000,30502,41938,15120,,,,,,,,,43500,48274,,,,,38189,15541,55313,24549,29486,14748,,,,,,,,,,,,,,,,,"Management, Business, and Financial Occupations",119965,,
53033009000,855872,0,Census Tract 90,Washington,King County,83092,23289,97404,14719,98125,20628,125278,57830,84866,28879,126875,53731,140750,100263,,,,,92635,4967,91667,12387,98438,23046,91964,57083,,,73854,28961,73854,28961,,,30815,15640,,,,,,,,,41389,29662,,,,,55556,15160,52422,42550,55694,18251,59286,52697,,,,,,,39583,30000,,,,,,,"Computer, Engineering, and Science Occupations",126875,,
53033009100,410621,0,Census Tract 91,Washington,King County,58938,12418,78080,10184,65603,13754,58448,22190,67155,14847,111115,18222,126563,20684,78304,8399,,,83452,41803,,,,,,,84750,69155,,,,,,,21944,15907,,,,,,,,,21250,15449,,,,,82794,39086,33750,78035,83015,30066,55885,2500,,,,,,,23851,12683,24561,17546,,,,,"Computer, Engineering, and Science Occupations",111115,,
53033009200,338451,154864,Census Tract 92,Washington,King County,54698,22481,57955,35646,105568,32210,110724,47890,53922,22619,60833,117686,44898,163061,,,,,44875,75331,,,,,41213,5783,,,36228,3367,,,,,41318,41021,,,,,,,,,32147,8460,,,,,62560,48699,,,41295,25814,,,,,,,,,51750,42311,,,67864,32360,,,"Management, Business, and Financial Occupations",105568,,
53033009300,9444110,639051,Census Tract 93,Washington,King County,83879,11340,94096,22766,88393,36910,77394,37880,109044,3569,117143,50858,135313,44967,141071,104332,,,88646,31387,,,119773,322257,,,87344,65218,93500,32914,94542,49089,61250,1392,52841,28308,,,,,,,,,53841,683,,,,,51875,17726,39559,14089,59554,33092,100278,46323,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",117143,,
53033009400,1686311,0,Census Tract 94,Washington,King County,73889,16007,96913,6717,96139,4271,97829,22398,94554,9801,138824,55522,114383,43680,146071,19854,91375,63071,73949,20631,,,113542,78871,74868,17599,73000,44259,93393,41428,94196,85614,77219,82831,31815,2385,,,,,,,,,31418,2982,,,88182,86932,37337,7865,29444,25831,39091,5618,34871,117880,,,127949,63717,,,46020,2272,28750,23452,46310,932,,,"Computer, Engineering, and Science Occupations",138824,,
53033009500,2597717,2916270,Census Tract 95,Washington,King County,91397,24684,113839,24486,125800,14133,132188,24519,119375,40676,132640,37176,133958,22461,105469,83326,,,63750,22547,71382,43633,,,50867,14956,164063,116110,192125,160624,192125,160624,,,48125,16449,,,,,,,,,33125,12933,,,,,55750,10299,67232,178833,55056,16138,,,,,,,,,50813,16352,49135,62343,130491,125059,50063,61505,Healthcare Practitioners and Technical Occupations,192125,,
53033009600,1906922,1385222,Census Tract 96,Washington,King County,113234,9315,114172,22319,114523,17208,137153,39622,113427,24570,131842,37429,172411,111421,110568,45184,131184,87326,74640,54507,,,157159,65900,73744,411,113220,27699,143891,76951,143908,96103,,,40750,38318,,,,,,,,,,,,,,,66167,101779,133750,68340,57045,41754,83264,31316,,,83264,31316,,,43403,55266,,,,,,,Healthcare Practitioners and Technical Occupations,143891,,
53033009701,1861358,1607123,Census Tract 97.01,Washington,King County,92500,11316,111184,19391,111930,13133,111336,21875,122569,48629,133594,125193,99375,118062,,,250001,,90978,14617,,,106786,281870,77194,13398,92310,108578,132880,38319,132880,38319,,,53646,12510,41402,11824,,,,,,,53906,4923,,,,,63363,28587,212917,30739,44852,9644,89750,28021,,,64342,56709,,,73714,26281,,,74286,43896,,,"Computer, Engineering, and Science Occupations",133594,,
53033009702,2220441,0,Census Tract 97.02,Washington,King County,111087,7172,121250,9915,129219,12233,138333,28437,115074,44459,121319,31331,137917,20099,113750,36864,,,107833,90476,,,250001,,58681,124295,63906,75452,65688,19102,61838,46427,,,57337,41559,,,,,,,,,,,,,,,88092,29655,89276,37267,63500,69931,120000,86885,,,129231,104487,,,89135,79319,37500,42824,87596,74116,,,"Management, Business, and Financial Occupations",129219,,
53033009900,6565170,2370735,Census Tract 99,Washington,King County,74512,6653,80300,11325,75916,10319,68836,16833,88158,22254,104145,41880,117500,17827,86786,79972,,,74432,38027,,,124861,74264,44583,2670,102684,59572,85927,13668,85565,21908,,,41875,97051,,,,,,,,,,,,,,,54464,30103,78750,31310,30625,17075,62500,49235,,,60481,10877,,,68906,68545,69188,86664,,,,,"Computer, Engineering, and Science Occupations",104145,,
53033010001,2327512,0,Census Tract 100.01,Washington,King County,63681,18042,88598,9890,94444,23431,93472,35134,103375,39509,89261,47126,77321,95413,89318,66825,,,62917,27000,52460,29034,,,64107,47008,64659,98235,86591,172858,86591,172858,,,34063,5680,34438,11810,,,,,,,22125,20523,,,,,57386,20172,85550,39351,55625,19198,,,,,,,,,40673,17242,40529,20982,,,,,"Management, Business, and Financial Occupations",94444,,
53033010002,948077,0,Census Tract 100.02,Washington,King County,66277,12658,86009,12602,95000,43768,86310,47866,120833,26327,85433,19271,121500,60135,63750,25883,57375,32833,69500,37408,68625,20930,89441,49366,73929,18306,46648,12530,132361,92246,132361,92246,,,31607,8842,47991,32361,,,,,,,30705,14144,55938,9264,26213,1844,53864,30757,66042,44247,52727,33862,34556,18966,,,34556,39809,,,52204,4190,57500,15861,,,,,Healthcare Practitioners and Technical Occupations,132361,,
53033010200,2795533,2076618,Census Tract 102,Washington,King County,90060,8593,103711,12594,138818,16477,146389,35792,135268,53554,95787,18693,148750,172409,90694,30872,70114,13622,86544,12227,,,87188,23385,59875,48658,142727,96225,94141,51173,93828,124500,95625,181735,47841,14677,,,134306,32365,138625,54409,,,35216,1175,,,,,83594,28875,94844,50280,55893,31916,45587,1887,,,,,,,31667,15645,29231,16448,,,17436,36779,"Management, Business, and Financial Occupations",138818,,
53033010401,1629874,0,Census Tract 104.01,Washington,King County,54154,18099,80104,11062,81047,13121,80648,20818,82125,43601,158219,46800,158813,57826,82125,112808,,,43375,8717,,,,,36653,9368,137981,83748,90417,17788,90682,12206,,,37561,10930,,,,,,,,,38527,4257,17250,27842,52829,15592,39012,981,38925,1384,39375,24811,,,,,,,,,38869,49562,38155,41200,37333,47491,,,"Computer, Engineering, and Science Occupations",158219,,
53033010402,1742875,0,Census Tract 104.02,Washington,King County,55400,7733,82411,24655,89000,113995,161071,121406,75000,47006,111806,62596,93611,23553,150962,33774,,,52125,16759,,,,,56429,18684,52946,25927,95742,33897,95294,49459,,,26250,29636,,,,,,,,,36196,10984,4083,20135,42550,34202,58958,11931,43375,33436,60556,10430,48750,5435,,,51667,25508,47695,7441,44605,10934,60069,25983,44659,12921,34769,2832,"Computer, Engineering, and Science Occupations",111806,,
53033010701,1457384,3664,Census Tract 107.01,Washington,King County,74069,5890,86797,7849,92188,51690,130800,16827,70875,24528,98625,22290,122143,43844,86912,21020,,,65679,29480,,,,,67361,20294,49306,48497,85893,33648,110185,55523,,,44706,9708,33654,4436,51106,940,50737,1873,,,44706,7715,,,,,63000,9925,63125,4788,57411,23437,107679,45028,,,95833,55146,,,43818,4454,44352,33227,37438,27212,,,"Natural Resources, Construction, and Maintenance Occupations",107679,,
53033010702,780116,0,Census Tract 107.02,Washington,King County,102188,23767,123750,11991,116250,15786,106657,33924,119398,12417,128918,1832,128903,9337,,,,,97656,71540,49250,13170,122656,30466,82813,137463,,,135817,40333,136082,6929,,,28125,8319,19808,24017,,,,,,,,,25833,65623,,,83611,35916,110909,59194,47232,83306,40750,10505,,,,,,,37531,2065,43347,2275,36272,28051,,,Healthcare Practitioners and Technical Occupations,135817,,
53033010800,4140525,322633,Census Tract 108,Washington,King County,83076,4761,94583,15172,107321,27793,83000,30521,142009,33648,112031,17434,143056,28813,111875,9172,94583,16540,71806,27770,47188,16742,149231,98992,56563,18964,87000,170906,83760,779,83648,715,,,52899,13657,,,112727,12220,,,,,53492,2791,40507,1640,,,72625,41537,85278,21466,47625,50792,72366,20266,,,72143,14692,85625,87145,47692,24824,77708,110060,60329,22802,,,Protective Service Occupations,112727,,
53033010900,5389781,414929,Census Tract 109,Washington,King County,67386,18078,78625,14056,77031,21905,88750,70053,76563,16516,105341,31017,152000,53915,87431,2314,,,54226,7247,25208,31585,,,40833,42502,86250,43156,,,,,,,53125,15334,,,,,,,,,55441,4235,,,,,49167,33265,,,49167,36932,34236,65041,,,34653,189577,,,,,,,,,,,"Computer, Engineering, and Science Occupations",105341,,
53033011001,1080391,0,Census Tract 110.01,Washington,King County,44640,10089,96500,28557,75893,16326,76684,28797,59922,22424,137344,16499,136719,16710,147955,168468,,,101023,89610,,,,,61250,49894,,,83164,15966,83125,13702,107656,111993,27188,28131,,,,,,,,,18304,18666,22188,7459,,,41690,1571,40000,50952,41690,1141,45964,24322,,,45929,23365,,,35521,9492,41081,3441,,,,,"Computer, Engineering, and Science Occupations",137344,,
