Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Commuters (Workers 16 Years and Over Who Did Not Work at Home),Total Commuters (Workers 16 Years and Over Who Did Not Work at Home) - Margin of Error,Workers whose commute was less than 5 minutes,Workers whose commute was less than 5 minutes - Margin of Error,Workers whose commute was 5 to 9 minutes,Workers whose commute was 5 to 9 minutes - Margin of Error,Workers whose commute was 10 to 14 minutes,Workers whose commute was 10 to 14 minutes - Margin of Error,Workers whose commute was 15 to 19 minutes,Workers whose commute was 15 to 19 minutes - Margin of Error,Workers whose commute was 20 to 24 minutes,Workers whose commute was 20 to 24 minutes - Margin of Error,Workers whose commute was 25 to 29 minutes,Workers whose commute was 25 to 29 minutes - Margin of Error,Workers whose commute was 30 to 34 minutes,Workers whose commute was 30 to 34 minutes - Margin of Error,Workers whose commute was 35 to 39 minutes,Workers whose commute was 35 to 39 minutes - Margin of Error,Workers whose commute was 40 to 44 minutes,Workers whose commute was 40 to 44 minutes - Margin of Error,Workers whose commute was 45 to 59 minutes,Workers whose commute was 45 to 59 minutes - Margin of Error,Workers whose commute was 60 to 89 minutes,Workers whose commute was 60 to 89 minutes - Margin of Error,Workers whose commute was 90 minutes or more,Workers whose commute was 90 minutes or more - Margin of Error,Percent of workers whose commute was less than 5 minutes,Percent of workers whose commute was less than 5 minutes - Margin of Error,Percent of workers whose commute was 5 to 9 minutes,Percent of workers whose commute was 5 to 9 minutes - Margin of Error,Percent of workers whose commute was 10 to 14 minutes,Percent of workers whose commute was 10 to 14 minutes - Margin of Error,Percent of workers whose commute was 15 to 19 minutes,Percent of workers whose commute was 15 to 19 minutes - Margin of Error,Percent of workers whose commute was 20 to 24 minutes,Percent of workers whose commute was 20 to 24 minutes - Margin of Error,Percent of workers whose commute was 25 to 29 minutes,Percent of workers whose commute was 25 to 29 minutes - Margin of Error,Percent of workers whose commute was 30 to 34 minutes,Percent of workers whose commute was 30 to 34 minutes - Margin of Error,Percent of workers whose commute was 35 to 39 minutes,Percent of workers whose commute was 35 to 39 minutes - Margin of Error,Percent of workers whose commute was 40 to 44 minutes,Percent of workers whose commute was 40 to 44 minutes - Margin of Error,Percent of workers whose commute was 45 to 59 minutes,Percent of workers whose commute was 45 to 59 minutes - Margin of Error,Percent of workers whose commute was 60 to 89 minutes,Percent of workers whose commute was 60 to 89 minutes - Margin of Error,Percent of workers whose commute was 90 minutes or more,Percent of workers whose commute was 90 minutes or more - Margin of Error,Percent of workers whose commute was 45 minutes or more,x,y
53033008300,237955,0,Census Tract 83,Washington,King County,2027,375,36,42,145,106,447,194,386,142,136,64,190,91,259,140,0,13,55,65,229,125,114,92,30,34,1.8,2.04581061097598,7.2,5.05917617900679,22.1,8.65770847747574,19,6.05512711902751,6.7,2.90315239146767,9.4,4.14095443697702,12.8,6.48964071060347,0,0.641341884558461,2.7,3.16717561068281,11.3,5.80176102841519,5.6,4.41785822682083,1.5,1.65485700274209,18.401578687715837,,
53033008500,450978,0,Census Tract 85,Washington,King County,1372,240,17,28,306,126,251,119,301,102,151,56,31,36,210,97,0,13,18,28,71,79,16,18,0,13,1.2,2.02927382737128,22.3,8.3137631940102,18.3,8.06150166670344,21.9,6.36729919193533,11,3.59906374858766,2.3,2.59396780860738,15.3,6.54337207235712,0,0.947521865889213,1.3,2.02787148673409,5.2,5.68641494493327,1.2,1.29599651740952,0,0.947521865889213,6.341107871720117,,
53033008600,711350,0,Census Tract 86,Washington,King County,3432,549,80,45,364,174,381,169,606,195,548,196,127,85,658,245,155,191,91,81,271,118,112,90,39,47,2.3,1.2570510917838,10.6,4.77762945788529,11.1,4.59288268080808,17.7,4.93000336149965,16,5.10793246040608,3.7,2.40491041719708,19.2,6.44630975749184,4.5,5.5181763814182,2.7,2.32171427604701,7.9,3.19779995399459,3.3,2.56989272887653,1.1,1.35734589744476,12.296037296037296,,
53033008700,732385,0,Census Tract 87,Washington,King County,2590,575,22,32,86,51,255,170,307,113,577,353,267,87,499,154,51,54,152,64,323,105,44,38,7,13,0.8,1.22104507121524,3.3,1.82592019342894,9.8,6.18906814966119,11.9,3.47998537426273,22.3,12.7002841035374,10.3,2.45874973858853,19.3,4.13026021972253,2,2.03859665599424,5.9,2.09964189096265,12.5,2.96139042912773,1.7,1.41787687325143,0.3,0.498331193404904,14.44015444015444,,
53033008800,948581,0,Census Tract 88,Washington,King County,2188,282,17,20,45,29,147,80,313,130,367,109,288,104,369,175,45,45,120,60,171,64,259,189,47,48,0.8,0.908575004186885,2.1,1.29863429308504,6.7,3.55229291734666,14.3,5.64818977880301,16.8,4.48821027535153,13.2,4.44014442710923,16.9,7.69715463773502,2.1,2.03951922404494,5.5,2.64956051013941,7.8,2.74613867654447,11.8,8.50222826627539,2.1,2.17624465101831,21.80073126142596,,
53033008900,1270033,1798066,Census Tract 89,Washington,King County,2827,407,76,93,318,169,171,104,351,130,475,215,183,101,534,150,42,41,162,107,369,178,37,47,109,108,2.7,3.26685902440154,11.2,5.75453365321935,6,3.57425371177244,12.4,4.23687632415336,16.8,7.21027236328036,6.5,3.44899862708492,18.9,4.55608316179452,1.5,1.43444162300785,5.7,3.69392281323096,13.1,6.00946476331358,1.3,1.65182735448036,3.9,3.77976070555572,18.21719136894234,,
53033009000,855872,0,Census Tract 90,Washington,King County,1565,280,23,29,43,30,191,76,386,189,157,79,148,71,209,66,22,26,130,80,147,65,93,68,16,19,1.5,1.83428504690317,2.7,1.85282942305178,12.2,4.33763632402503,24.7,11.2415797485954,10,4.71805371719691,9.5,4.20942744270471,13.4,3.47510188792814,1.4,1.64219378062651,8.3,4.89100917311364,9.4,3.79817959770632,5.9,4.21296346107818,1,1.20019903937313,16.357827476038338,,
53033009100,410621,0,Census Tract 91,Washington,King County,1275,218,0,13,91,75,227,106,128,64,271,135,19,20,165,106,74,57,35,32,179,136,86,60,0,13,0,1.01960784313725,7.1,5.75437826777273,17.8,7.73636580507279,10,4.71699688697105,21.3,9.945025105649,1.5,1.54779583266709,12.9,8.01386585067998,5.8,4.35905806099488,2.7,2.46552607967962,14,10.393060699092,6.7,4.56237603628017,0,1.01960784313725,20.784313725490197,,
53033009200,338451,154864,Census Tract 92,Washington,King County,1347,298,18,20,112,68,137,65,162,85,240,194,38,32,257,153,51,42,34,42,202,149,86,65,10,16,1.3,1.45505170467831,8.3,4.70118421404075,10.2,4.26882576630593,12,5.72195757408257,17.8,13.8524654700118,2.8,2.29220229515265,19.1,10.5451633956706,3.8,3.0034235680888,2.5,3.06762815548953,15,10.5523696552482,6.4,4.6141895345466,0.7,1.17641519143656,22.12323682256867,,
53033009300,9444110,639051,Census Tract 93,Washington,King County,1694,295,136,161,98,62,186,90,276,99,318,124,125,65,186,92,70,60,68,57,118,77,87,62,26,28,8,9.40073842730791,5.8,3.51859091628343,11,4.95686305718334,16.3,5.10919976861931,18.8,6.54942617907254,7.4,3.61550560647502,11,5.08320223162847,4.1,3.46804209261653,4,3.29140271435941,7,4.38060233587733,5.1,3.54901953352839,1.5,1.63113903015498,13.636363636363635,,
