Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder under 25 years - Margin of Error","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 25 to 44 years - Margin of Error","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 45 to 64 years - Margin of Error","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Householder 65 years and over - Margin of Error","Median Household Income in past 12 months, Black or African American Alone Householder","Median Household Income in past 12 months, Black or African American Alone Householder - Margin of Error","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder - Margin of Error","Median Household Income in past 12 months, Asian Alone Householder","Median Household Income in past 12 months, Asian Alone Householder - Margin of Error","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder - Margin of Error","Median Household Income in past 12 months, Some Other Race Alone Householder","Median Household Income in past 12 months, Some Other Race Alone Householder - Margin of Error","Median Household Income in past 12 months, Two or More Races Householder","Median Household Income in past 12 months, Two or More Races Householder - Margin of Error","Median Household Income in past 12 months, White alone, not Hispanic Householder","Median Household Income in past 12 months, White alone, not Hispanic Householder - Margin of Error","Median Household Income in past 12 months, Hispanic or Latino Householder","Median Household Income in past 12 months, Hispanic or Latino Householder - Margin of Error",Total Households,Total Households - Margin of Error,Households with any self-employment income in past 12 months,Households with any self-employment income in past 12 months - Margin of Error,Households with no self-employment income in past 12 months,Households with no self-employment income in past 12 months - Margin of Error,Percent of households with any self-employment income,Percent of households with any self-employment income - Margin of Error,x,y
53033001500,1167711,526885,Census Tract 15,Washington,King County,152917,26305,,,181250,77123,182031,39981,128125,69107,,,,,138716,44606,,,,,,,166122,25778,,,1124,128,213,95,911,119,19,8.17181130150327,,
53033001600,2020358,320118,Census Tract 16,Washington,King County,197813,37518,,,217578,35054,245048,51218,105625,76730,,,,,250001,,,,,,,,195625,44008,250001,,1841,239,383,125,1458,245,20.8,6.22952761920093,,
53033001701,892768,0,Census Tract 17.01,Washington,King County,94412,26327,54201,27412,106406,24818,101000,53317,,,,,,,86750,22250,,,121313,106637,,,106875,35509,120875,57879,2142,217,212,88,1930,233,9.9,3.98407707547491,,
53033001702,1280220,0,Census Tract 17.02,Washington,King County,96300,18850,,,114846,25340,95481,32761,75147,28075,106429,54910,,,67319,18311,,,95811,61500,250001,,98824,34217,95405,30663,2276,223,248,115,2028,252,10.9,4.93864684535334,,
53033001800,946085,0,Census Tract 18,Washington,King County,102397,23364,81650,12006,121035,16844,82929,67351,,,,,,,96250,19212,,,,,86746,24134,126000,13156,58275,17399,2318,239,206,95,2112,235,8.9,3.99461539635379,,
53033001900,1667272,0,Census Tract 19,Washington,King County,124226,22667,90833,6770,151136,18347,149167,35871,70568,26327,,,,,98403,43296,,,,,89643,67552,136440,8213,187500,113067,2261,153,362,162,1899,142,16,7.08258449839788,,
53033002000,1103313,28680,Census Tract 20,Washington,King County,128393,23049,87000,55204,152813,29395,116538,62865,91344,16808,,,,,204375,79215,,,,,89063,46315,129464,22566,40833,38585,1516,122,331,109,1185,141,21.8,6.97197393170846,,
53033002100,1365468,0,Census Tract 21,Washington,King County,132545,13697,83843,52976,100625,48819,176185,11057,93185,43355,,,,,250001,,,,,,28590,7293,132381,14176,,,1829,234,125,67,1704,234,6.8,3.55732046328272,,
53033002200,2804076,1154953,Census Tract 22,Washington,King County,146786,34130,,,163158,55457,181333,64263,93571,53623,,,,,123203,101111,,,,,,,168906,23122,144514,55421,2338,192,528,172,1810,204,22.6,7.11911383059193,,
53033002400,962528,0,Census Tract 24,Washington,King County,154779,19670,,,146630,23593,200456,31502,106806,50518,,,,,93802,14535,,,,,,,163153,24417,,,1363,242,143,54,1220,240,10.5,3.49661651306661,,
53033002500,984334,0,Census Tract 25,Washington,King County,150052,18111,,,162875,60504,203854,58321,45000,37931,,,,,152596,51288,,,,,,,150500,33993,,,1299,129,270,122,1029,86,20.8,9.16220826966558,,
53033002600,1216627,28175,Census Tract 26,Washington,King County,165147,43104,,,181875,52218,178375,18457,85536,17806,,,,,,,,,,,168287,66763,182614,16381,,,1874,202,343,126,1531,209,18.3,6.42761626278322,,
53033002700,1584847,0,Census Tract 27,Washington,King County,164813,22402,71797,14476,250001,,109474,104288,101875,29103,,,,,250001,,,,,,166786,71681,153447,30056,,,2376,224,326,113,2050,243,13.7,4.57660575740288,,
53033002800,988287,0,Census Tract 28,Washington,King County,128654,22304,,,135655,30825,154479,47963,52292,26076,,,,,,,,,,,100441,63168,136167,23708,54474,53373,2226,288,374,144,1852,303,16.8,6.0928413701451,,
53033002900,986209,0,Census Tract 29,Washington,King County,136410,34692,,,182167,45557,145288,68551,61591,50850,,,,,184813,77075,,,,,,,137181,30683,,,2095,268,451,142,1644,265,21.5,6.19338935880727,,
53033003000,1493249,0,Census Tract 30,Washington,King County,127688,27974,,,146369,41012,162125,46949,61699,10200,,,,,155729,111179,,,,,,,120592,31627,114773,69279,2641,249,507,132,2134,258,19.2,4.65887251642956,,
53033003100,2236733,472744,Census Tract 31,Washington,King County,165651,12630,,,222750,30898,172083,18532,68405,25970,,,,,,,,,,,250001,,163073,18513,,,2697,247,566,131,2131,266,21,4.46080867544168,,
53033003400,787161,0,Census Tract 34,Washington,King County,139360,18730,,,174950,23318,175463,56103,106528,29456,,,,,140875,115222,,,,,,,138605,19033,126944,91734,1524,136,219,84,1305,167,14.4,5.36055873155653,,
53033003500,1284745,0,Census Tract 35,Washington,King County,113520,27118,35781,35220,151972,17867,146563,41956,37868,18849,,,,,187130,67407,,,,,250001,,96375,22523,250001,,1853,166,319,107,1534,172,17.2,5.56466213218105,,
53033003800,624606,0,Census Tract 38,Washington,King County,130650,31250,80982,69166,177188,86190,130536,40276,76364,36892,,,,,192500,142735,,,88789,813,,,132206,25859,89180,43872,941,111,134,52,807,116,14.2,5.26454792398831,,
53033003900,973808,0,Census Tract 39,Washington,King County,161429,34086,110357,68499,148333,59081,206250,65506,80398,18601,,,,,250001,,,,,,,,148750,38850,,,1142,142,200,66,942,151,17.5,5.35337186061699,,
53033004000,2574586,3232248,Census Tract 40,Washington,King County,125707,44226,,,91397,58773,250001,,82344,20686,56058,54786,,,,,,,,,,,144091,36927,,,1389,143,224,80,1165,160,16.1,5.51505077375582,,
53033004301,979236,0,Census Tract 43.01,Washington,King County,110893,36291,,,136250,112258,172375,45201,79432,14685,,,,,68462,20191,,,13807,8071,,,136563,22288,14659,9775,1340,101,155,70,1185,112,11.6,5.15061162453818,,
53033004302,331137,0,Census Tract 43.02,Washington,King County,39507,8605,22391,16484,44539,6604,,,34167,33684,,,,,26944,16662,,,,,63214,23716,35694,7939,65614,22780,1479,180,88,44,1391,181,5.9,2.88550769210111,,
53033004500,670997,0,Census Tract 45,Washington,King County,124327,33074,,,227500,58191,117847,29002,71554,1778,,,,,165000,149243,,,,,,,123942,47762,103125,83939,1005,122,270,97,735,120,26.9,9.08405179415544,,
53033004600,1552358,1033232,Census Tract 46,Washington,King County,137721,21844,96932,34151,181023,57870,141875,15240,84514,13884,,,,,153409,43989,,,,,75313,32254,139412,25735,131023,39947,1363,155,257,72,1106,163,18.9,4.82769913009986,,
53033004800,1278329,26886,Census Tract 48,Washington,King County,128160,30667,65500,2578,157115,75877,126042,37535,82000,23267,,,,,213860,59301,,,,,156012,121845,123287,30061,,,2340,419,282,101,2058,424,12.1,3.73809941676944,,
53033005000,757380,0,Census Tract 50,Washington,King County,109891,33966,,,121756,32215,168359,158596,52734,29808,,,,,,,,,64005,16057,131519,33068,99537,31691,131097,13932,2328,313,358,137,1970,347,15.4,5.50971326320628,,
53033005100,881731,0,Census Tract 51,Washington,King County,145278,24584,,,151111,44682,160764,20634,76250,33657,,,,,182400,111308,,,,,123409,58295,148125,26068,83333,80964,1604,132,348,112,1256,131,21.7,6.75041714550054,,
53033005600,3022785,1546484,Census Tract 56,Washington,King County,178297,20679,,,250001,,166944,33417,107679,26160,,,,,159063,82436,,,,,134792,64517,179529,24335,250001,,2774,217,443,155,2331,272,16,5.44615735977174,,
53033005700,5085640,2365806,Census Tract 57,Washington,King County,155802,30602,,,188760,12687,162606,23534,59421,25660,,,,,188303,61571,,,,,211409,37186,139653,19176,,,2989,501,417,157,2572,495,14,4.70335387830111,,
53033005801,1822365,260223,Census Tract 58.01,Washington,King County,124392,15384,,,152907,23245,123877,20916,75500,43562,45568,4427,,,153737,38575,,,,,2499,,123958,13718,115375,58763,3153,374,346,124,2807,387,11,3.71110287544759,,
53033006000,1340653,160754,Census Tract 60,Washington,King County,106682,25471,29417,19752,99476,31084,206800,65907,107895,17077,,,,,139583,42166,,,,,26411,18781,125117,19030,,,3076,470,373,202,2703,483,12.1,6.30016996726151,,
53033006100,1227451,652743,Census Tract 61,Washington,King County,128904,19195,,,131906,15571,155735,53035,91875,23491,,,,,101719,68597,,,,,130855,67363,129981,21449,,,3065,259,436,193,2629,227,14.2,6.18110129235601,,
53033006200,2437426,239356,Census Tract 62,Washington,King County,215781,56753,,,250001,,250001,,116042,6875,,,,,,,,,,,198889,185673,230990,52930,,,1632,147,264,96,1368,167,16.2,5.69903657614416,,
53033006300,2610569,3533560,Census Tract 63,Washington,King County,139000,47610,,,159063,84826,204615,163075,91481,25837,,,,,,,,,,,196250,106961,137143,57978,218370,34429,2648,378,494,159,2154,361,18.7,5.38167749690773,,
53033006400,903649,0,Census Tract 64,Washington,King County,167167,27277,28884,16040,180769,29308,229676,51217,,,,,,,188750,110260,,,,,160278,54643,168646,43548,175125,63375,1460,231,279,74,1181,252,19.1,4.06792939662678,,
53033006500,1147619,0,Census Tract 65,Washington,King County,121546,36949,,,140938,50041,114875,57594,108438,44289,,,,,151071,26058,,,,,114250,17567,114091,47202,,,2665,352,354,136,2311,358,13.3,4.7921080244813,,
53033006600,1117109,831139,Census Tract 66,Washington,King County,132326,15057,83750,61740,130694,15041,135625,104171,250001,,,,,,168397,41690,,,,,147336,106054,129048,13835,,,2351,208,217,96,2134,216,9.2,4.00087979373328,,
53033006800,718106,0,Census Tract 68,Washington,King County,148164,42160,,,149141,36271,178542,97220,128542,70749,,,,,130806,101663,,,,,,,178125,47175,137679,131357,1537,186,213,77,1324,199,13.9,4.72072100154674,,
53033006900,905121,0,Census Tract 69,Washington,King County,150139,38347,96042,73342,213667,89745,222917,101009,80756,18082,,,,,219750,199532,,,,,74884,19077,153542,40451,87538,19660,2142,191,257,100,1885,215,12,4.54429387680013,,
53033007600,571882,0,Census Tract 76,Washington,King County,120103,23349,124868,62865,120592,20698,103125,88635,85109,42357,,,,,46250,44490,,,,,108542,88962,123355,10839,,,2219,191,230,101,1989,206,10.4,4.46330565134657,,
53033007700,1058322,0,Census Tract 77,Washington,King County,126815,20294,,,143696,41534,142833,25927,73225,22138,,,,,128438,37681,,,,,132829,100873,155559,27333,59675,35711,2537,201,537,161,2000,244,21.2,6.12049220855441,,
53033007800,2097740,3632914,Census Tract 78,Washington,King County,169159,21695,216071,92251,187639,88350,207404,102230,131739,61039,58750,18501,,,248594,15918,,,,,,,187864,46011,,,2231,145,407,145,1824,189,18.2,6.39026214304935,,
53033008002,234314,0,Census Tract 80.02,Washington,King County,102365,22504,64146,54857,119355,45642,,,53047,33602,11808,1850,,,108492,5458,,,,,157825,144240,112500,27100,,,2744,415,155,84,2589,420,5.6,2.93960251387964,,
53033008200,375785,0,Census Tract 82,Washington,King County,116250,19366,105369,76728,125890,9222,112868,58177,83365,56368,98878,36884,,,126987,22641,,,,,,,120114,28309,65536,60220,2856,278,151,89,2705,283,5.3,3.07345663978851,,
53033008300,237955,0,Census Tract 83,Washington,King County,102962,38287,,,122303,20428,66645,40849,,,,,,,151250,81402,,,,,,,77679,21846,,,2055,260,193,104,1862,245,9.4,4.91935358756438,,
53033008500,450978,0,Census Tract 85,Washington,King County,72520,8874,53438,28816,87206,18292,59545,45281,68375,17994,36489,13929,,,72806,17646,,,,,,,75625,10929,,,1920,186,97,57,1823,191,5.1,2.92812978969613,,
53033008600,711350,0,Census Tract 86,Washington,King County,66607,16995,31250,22838,75703,26780,99698,66388,,,,,,,107833,68766,,,,,65156,45220,94609,15519,70801,29754,2931,330,254,155,2677,326,8.7,5.19750914465958,,
53033008700,732385,0,Census Tract 87,Washington,King County,144531,26548,,,162500,22899,114375,78887,63438,35816,,,,,221842,55843,,,,,158618,18623,141250,25294,158942,21725,1841,202,392,113,1449,205,21.3,5.6759429285079,,
53033008800,948581,0,Census Tract 88,Washington,King County,143583,25631,,,147639,37564,176250,74434,35417,33212,,,,,81895,72670,,,,,,,169844,37423,,,1650,155,290,87,1360,175,17.6,5.00756097605512,,
53033008900,1270033,1798066,Census Tract 89,Washington,King County,118149,17764,,,154667,39473,137632,48245,51890,39983,96029,50832,,,154750,41701,,,,,,,139901,30749,51902,31587,2543,306,484,176,2059,320,19,6.53105262835736,,
53033009000,855872,0,Census Tract 90,Washington,King County,64865,17928,,,91250,23089,53977,23913,13458,4467,,,,,,,,,,,71806,63106,92344,37429,51250,25440,2080,178,265,98,1815,202,12.7,4.58365332912047,,
53033009100,410621,0,Census Tract 91,Washington,King County,41619,14251,130484,78976,58384,17773,34844,29811,16083,2775,17676,1784,,,,,,,83889,66836,57581,3512,53625,25780,95388,91006,1773,251,139,82,1634,259,7.8,4.48978479094046,,
53033009200,338451,154864,Census Tract 92,Washington,King County,36875,13352,31767,2624,47225,14447,,,15794,1301,,,,,20938,15485,,,,,16652,7034,45056,12905,,,1891,308,158,73,1733,330,8.4,3.61255933008573,,
53033009300,9444110,639051,Census Tract 93,Washington,King County,111875,19951,109044,32500,113417,20805,119318,83302,,,115963,48699,,,59663,26400,,,,,91625,59572,131141,16601,85766,64007,1558,204,198,84,1360,208,12.7,5.12831190063567,,
53033009400,1686311,0,Census Tract 94,Washington,King County,80288,28208,65347,57728,121475,25069,88667,57748,43993,8330,44919,21651,,,68056,47424,,,66118,33892,30729,21890,123520,22493,74360,28809,3103,383,491,169,2612,418,15.8,5.08411060993612,,
53033009500,2597717,2916270,Census Tract 95,Washington,King County,131412,19068,,,170250,56813,132738,36363,75267,31125,,,,,,,,,,,,,165054,45417,,,2876,259,603,218,2273,280,21,7.34103681945237,,
53033009600,1906922,1385222,Census Tract 96,Washington,King County,142930,31869,,,187802,56493,164943,35633,71736,27673,,,,,205600,71432,,,,,208684,96875,126389,33056,180395,148130,2847,376,318,151,2529,374,11.2,5.09455509869818,,
53033009701,1861358,1607123,Census Tract 97.01,Washington,King County,113750,26291,,,112500,34408,165958,32958,59231,19364,93864,34183,,,,,,,,,,,123688,35620,132554,71945,2791,249,456,124,2335,280,16.3,4.19693651454489,,
53033009702,2220441,0,Census Tract 97.02,Washington,King County,145461,25957,,,189803,17671,136371,41011,108068,29491,,,,,,,,,,,153203,80073,136899,23957,191167,114974,2215,226,390,132,1825,219,17.6,5.68213677997478,,
53033009900,6565170,2370735,Census Tract 99,Washington,King County,86663,16197,12048,10900,86682,18835,104375,23128,40819,37925,,,,,,,,,,,40398,32720,102367,19441,,,2981,359,375,133,2606,360,12.6,4.19650757581074,,
53033010001,2327512,0,Census Tract 100.01,Washington,King County,61326,17681,,,116445,32360,,,45227,29618,34313,30949,,,69792,63783,,,,,122708,24205,102863,24858,,,1627,175,239,87,1388,174,14.7,5.10850259581646,,
53033010002,948077,0,Census Tract 100.02,Washington,King County,81887,9529,78750,40976,103232,25036,86250,48610,49241,12096,52179,28436,,,66406,17447,,,,,,,130417,21102,80040,46455,1975,178,262,71,1713,202,13.3,3.39029538013606,,
53033010200,2795533,2076618,Census Tract 102,Washington,King County,146250,15873,,,179000,33050,177500,35526,54718,12175,90833,8654,,,126850,55158,,,,,178438,85866,165893,23905,250001,,1935,153,341,90,1594,174,17.6,4.43753080373371,,
53033010401,1629874,0,Census Tract 104.01,Washington,King County,106071,33793,,,140417,57950,123389,27307,54531,8772,123693,36177,,,62039,19112,,,51473,8720,163194,64194,172606,5931,73152,28980,1388,141,140,69,1248,152,10.1,4.8644397286731,,
53033010402,1742875,0,Census Tract 104.02,Washington,King County,100255,10652,86250,30371,111250,21156,102237,28305,86932,24181,86300,11745,,,82961,11422,,,101125,39428,137045,22111,134219,32789,101375,46910,1591,147,387,156,1204,128,24.3,9.5441113830483,,
53033010701,1457384,3664,Census Tract 107.01,Washington,King County,96638,24880,,,107238,24736,84450,34788,,,23750,8555,,,125919,38860,,,114014,4640,123846,119608,125333,24082,130694,96181,1784,208,210,92,1574,208,11.8,4.97097097978142,,
53033010702,780116,0,Census Tract 107.02,Washington,King County,69233,34738,,,128403,38090,,,24505,16258,35517,8650,,,103750,78365,,,,,,,138750,19527,83211,34160,1815,253,229,113,1586,249,12.6,5.97231867760349,,
53033010800,4140525,322633,Census Tract 108,Washington,King County,109375,20440,,,148482,41293,96136,30324,86522,27397,110039,96421,,,79896,69160,,,,,105875,91768,110313,48064,151250,90110,1839,199,398,165,1441,159,21.6,8.66123429064413,,
53033010900,5389781,414929,Census Tract 109,Washington,King County,56902,36744,,,106369,63154,,,21250,16323,,,,,143478,72454,,,,,,,67708,37514,,,625,107,83,42,542,111,13.3,6.32371995400682,,
53033011001,1080391,0,Census Tract 110.01,Washington,King County,47813,28990,61552,50521,122348,10034,,,18148,10100,92598,91429,,,28378,23989,,,63558,13800,,,118229,42434,43942,12556,1826,252,193,83,1633,265,10.6,4.30504891747023,,
53033011002,1719569,0,Census Tract 110.02,Washington,King County,52418,15983,,,50372,9946,74500,23513,40179,37435,42643,32227,,,65125,25914,,,,,,,67969,46782,99125,4750,1296,94,239,95,1057,117,18.4,7.20717924275318,,
53033011101,1136851,0,Census Tract 111.01,Washington,King County,81250,15846,53472,38503,88050,13256,91500,23292,40444,31528,68462,60830,,,69450,23148,41091,38253,,,,,97813,26746,,,2153,191,349,141,1804,189,16.2,6.38916758404643,,
53033011102,1303226,1143440,Census Tract 111.02,Washington,King County,113553,29969,,,100786,25281,133836,51520,102885,59312,55230,36969,,,112778,29684,,,42325,21566,88219,40120,171458,40750,52174,51820,1892,278,522,245,1370,195,27.6,12.298342578682,,
53033011200,2483779,139646,Census Tract 112,Washington,King County,61935,10674,,,95114,55882,45313,21780,63523,50092,62868,60642,37750,17480,62500,54162,,,60024,37918,,,105121,24712,43837,23601,1451,169,317,126,1134,160,21.8,8.30248899596355,,
53033011300,3419308,42220,Census Tract 113,Washington,King County,85125,20772,,,163516,56826,85750,46246,30335,6398,,,53854,48382,143934,21078,,,,,65403,19083,87500,20770,96219,94324,2811,336,283,120,2528,336,10.1,4.09582060409733,,
53033011401,1233155,0,Census Tract 114.01,Washington,King County,96625,14849,35875,34408,102375,25321,122692,23355,47406,40886,,,,,153077,149901,,,,,,,93621,9761,64911,27715,1841,167,277,99,1564,173,15,5.20142193006393,,
53033011402,1186191,0,Census Tract 114.02,Washington,King County,77656,14175,,,91344,16501,78990,34032,19643,17497,71316,5126,,,97321,46925,,,53583,28461,66250,24977,101250,30915,63208,36413,1918,184,195,76,1723,207,10.2,3.84054836938758,,
53033011500,1538373,0,Census Tract 115,Washington,King County,99719,18840,,,132426,44179,96125,28066,67426,14005,41618,39143,,,81587,57941,,,,,,,113846,17394,40212,16959,1979,247,438,203,1541,173,22.1,9.87876135791514,,
53033011700,3515808,0,Census Tract 117,Washington,King County,82697,7704,,,113125,70716,86563,16090,68750,24448,86628,18706,,,80536,18064,,,68625,8862,,,128750,28245,41827,26677,1595,186,157,72,1438,191,9.8,4.36572579412463,,
53033012000,1437048,0,Census Tract 120,Washington,King County,114159,18353,,,143155,26459,118125,56620,100125,34374,,,,,,,,,,,84688,68806,114327,20944,82738,21158,1499,165,194,78,1305,186,12.9,5.00466808945754,,
53033012100,1739952,1380849,Census Tract 121,Washington,King County,167813,31563,,,199500,38863,195455,40322,67165,22206,,,,,246250,79653,,,,,,,165208,35464,198000,101887,1162,138,250,99,912,130,21.5,8.12763043835575,,
53033000101,414848,0,Census Tract 1.01,Washington,King County,57004,9291,,,73102,30735,48529,17112,41905,25338,27434,21613,,,61316,54167,,,70469,49149,57381,11154,74769,30720,46333,28854,1691,244,80,76,1611,258,4.7,4.44223710949018,,
53033000102,1495019,918878,Census Tract 1.02,Washington,King County,71476,9783,,,82806,11808,83083,44116,30234,10635,,,,,,,,,76284,6252,,,78702,26019,76284,6252,2146,282,261,115,1885,296,12.2,5.11493707086841,,
53033000201,1806749,0,Census Tract 2.01,Washington,King County,83570,7279,81172,41922,69313,32473,94281,23598,49512,19560,,,,,,,,,91429,77902,86167,48268,83713,9578,57768,39162,2326,402,345,194,1981,369,14.8,7.93678879087662,,
53033000202,1480085,0,Census Tract 2.02,Washington,King County,104167,24299,,,128625,24194,99539,31771,59550,31062,51346,44429,,,133929,53905,,,,,161328,138633,105563,19960,,,1550,84,298,104,1252,144,19.2,6.62828672340148,,
53033000403,669384,62871,Census Tract 4.03,Washington,King County,39470,26639,,,65608,18087,100136,34045,16831,6616,,,,,,,,,,,37367,35825,57518,40354,,,1714,132,189,110,1525,128,11,6.3613037008983,,
53033000404,617482,13535,Census Tract 4.04,Washington,King County,39818,9952,40644,37556,47861,11316,42095,19741,28698,6900,34755,17455,,,86458,55365,,,,,43611,33928,36042,10322,,,2310,258,192,128,2118,288,8.3,5.46281037068853,,
53033000601,1431268,0,Census Tract 6.01,Washington,King County,88406,14124,,,156500,32058,84714,22957,51822,2303,81660,5701,,,151591,124397,,,,,78663,786,97888,17897,78762,415,1799,261,133,120,1666,244,7.4,6.58357348358914,,
53033000602,2355577,55191,Census Tract 6.02,Washington,King County,98305,13955,,,109643,56979,100000,29218,83393,23670,,,,,122143,104534,,,,,,,98116,19009,,,1497,102,219,104,1278,132,14.6,6.87534706847354,,
53033001201,1008240,0,Census Tract 12.01,Washington,King County,43228,12829,,,60633,10586,,,31361,22782,,,,,,,,,,,2499,,44383,14391,,,2286,305,287,142,1999,326,12.6,5.98161326668561,,
53033001202,821426,0,Census Tract 12.02,Washington,King County,64274,10632,,,77795,21846,98250,39394,41836,9626,38566,4580,,,62836,12248,,,,,24279,14472,97583,26113,40352,39595,1454,159,251,132,1203,199,17.3,8.87996996399659,,
53033003201,1152079,1354300,Census Tract 32.01,Washington,King County,106750,36372,,,134674,60562,,,51500,32471,,,,,169099,69874,,,,,,,88164,35748,,,2538,488,326,156,2212,502,12.8,5.62855665969575,,
53033003202,956016,0,Census Tract 32.02,Washington,King County,147272,25884,,,201813,9181,147250,32284,,,,,,,209879,136281,,,,,70388,70163,145923,22822,,,2105,330,96,76,2009,328,4.6,3.53895360982701,,
