Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Mean Usual Hours Worked of Population Age 16 to 64 who Have Worked in Past 12 Months,Mean Usual Hours Worked of Population Age 16 to 64 who Have Worked in Past 12 Months - Margin of Error,Mean Usual Hours Worked of Men Age 16 to 64 who Have Worked in Past 12 Months,Mean Usual Hours Worked of Men Age 16 to 64 who Have Worked in Past 12 Months - Margin of Error,Mean Usual Hours Worked of Women Age 16 to 64 who Have Worked in Past 12 Months,Mean Usual Hours Worked of Women Age 16 to 64 who Have Worked in Past 12 Months - Margin of Error,Total Population 16 Years and Over,Total Population 16 Years and Over - Margin of Error,All Population in Labor Force,All Population in Labor Force - Margin of Error,All Population in Civilian Labor Force,All Population in Civilian Labor Force - Margin of Error,Employed Population in Civilian Labor Force,Employed Population in Civilian Labor Force - Margin of Error,Unemployed Population in Civilian Labor Force,Unemployed Population in Civilian Labor Force - Margin of Error,Population in Armed Forces,Population in Armed Forces - Margin of Error,Population 16 Years and Over Not in Labor Force,Population 16 Years and Over Not in Labor Force - Margin of Error,Percent Not in Labor Force,Percent Not in Labor Force - Margin of Error,Percent Unemployed,Percent Unemployed - Margin of Error,x,y
53033001701,892768,0,Census Tract 17.01,Washington,King County,38.5,1.4,38.8,1.9,38.2,1.9,3773,450,3308,412,3290,414,3214,407,76,63,18,29,465,159,12.3,3.94948612731279,2.3,1.89270176830047,,
53033001702,1280220,0,Census Tract 17.02,Washington,King County,40,1.9,41.6,1.9,37.7,2.9,4558,537,3391,506,3391,506,3274,505,117,86,0,18,1167,214,25.6,3.59783689933904,3.5,2.483316246486,,
53033001800,946085,0,Census Tract 18,Washington,King County,40.2,1.1,40.7,1.6,39.5,2,4414,662,3693,428,3693,428,3637,434,56,57,0,18,721,353,16.3,7.61282113278554,1.5,1.53342287570892,,
53033001900,1667272,0,Census Tract 19,Washington,King County,39.5,1.3,40.8,1.5,38.3,1.8,4309,386,3249,305,3249,305,3152,302,97,59,0,13,1060,200,24.6,4.0849751424793,3,1.7941852340921,,
53033002000,1103313,28680,Census Tract 20,Washington,King County,41.2,6.2,44.9,11.5,37.1,1.7,3566,528,2481,455,2465,452,2230,305,235,279,16,23,1085,278,30.4,6.36236348280388,9.5,11.182645501735,,
53033002100,1365468,0,Census Tract 21,Washington,King County,38.3,1.6,39.1,1.9,37.4,2.2,3804,425,2936,388,2936,388,2803,371,133,92,0,13,868,211,22.8,4.92623386770434,4.5,3.07579862647112,,
53033002200,2804076,1154953,Census Tract 22,Washington,King County,36.1,2,38.8,2.4,32.5,3.5,4775,524,3193,532,3193,532,3038,462,155,112,0,18,1582,250,33.1,3.76736429829488,4.9,3.41315097407848,,
53033002400,962528,0,Census Tract 24,Washington,King County,40.3,1.8,41.6,2.1,38.8,3,2598,367,1981,382,1975,384,1924,382,51,42,6,11,617,119,23.7,3.11857026832664,2.6,2.06646425145609,,
53033002500,984334,0,Census Tract 25,Washington,King County,37.9,2,40.6,1.6,35.2,3.2,2823,349,2248,310,2238,313,2210,311,28,26,10,16,575,112,20.4,3.0658704270938,1.3,1.14849883373659,,
53033002600,1216627,28175,Census Tract 26,Washington,King County,37,1.6,38.1,2.2,35.6,2.5,4282,629,3444,587,3444,587,3307,590,137,71,0,18,838,195,19.6,3.53188274040985,4,1.94687565313115,,
53033002700,1584847,0,Census Tract 27,Washington,King County,40.5,1.6,43.7,2.2,36.9,2,4733,543,3613,524,3613,524,3578,530,35,39,0,18,1120,260,23.7,4.77561076608873,1,1.07025307615878,,
53033002800,988287,0,Census Tract 28,Washington,King County,39,2.1,40.5,2,37.4,3.2,4036,457,3444,458,3444,458,3383,450,61,59,0,13,592,205,14.7,4.80006896026531,1.8,1.69685431719828,,
53033002900,986209,0,Census Tract 29,Washington,King County,39.5,1.5,42.1,2.3,36.7,2.4,3805,476,3014,503,2998,501,2903,492,95,54,16,25,791,185,20.8,4.10805748898633,3.2,1.72160175774389,,
53033003000,1493249,0,Census Tract 30,Washington,King County,38.1,1.3,40.8,1.1,35,2.5,5123,557,3838,507,3838,507,3761,489,77,67,0,18,1285,257,25.1,4.21056130818215,2,1.72546594216914,,
53033003100,2236733,472744,Census Tract 31,Washington,King County,40,1.2,41.6,2,38.2,2.1,5479,672,3969,518,3969,518,3755,492,214,168,0,18,1510,345,27.6,5.31257843104975,5.4,4.17390131145324,,
53033003400,787161,0,Census Tract 34,Washington,King County,38.9,1.8,40.6,2.4,37.1,2,2930,315,2280,235,2280,235,2073,226,207,122,0,13,650,199,22.2,6.35927946202871,9.1,5.26841756869263,,
53033003500,1284745,0,Census Tract 35,Washington,King County,40.5,1.4,42.8,1.8,38.3,2.1,3575,296,2483,254,2483,254,2436,250,47,36,0,13,1092,207,30.5,5.20867477393054,1.9,1.43687080677265,,
53033003800,624606,0,Census Tract 38,Washington,King County,36.8,1.6,39.7,1.6,33.5,2.7,2036,295,1610,284,1603,281,1554,277,49,34,7,12,426,95,20.9,3.54695516991041,3.1,2.05222174972625,,
53033003900,973808,0,Census Tract 39,Washington,King County,36.6,1.3,40.2,2,33.2,2.1,2481,420,1670,285,1660,286,1638,286,22,18,10,16,811,193,32.7,5.4674263697026,1.3,1.06002386898126,,
53033004000,2574586,3232248,Census Tract 40,Washington,King County,37,1.8,41.1,2.8,32.8,2.4,2617,315,1667,256,1667,256,1631,256,36,38,0,13,950,191,36.3,5.84594226189503,2.2,2.25529021762267,,
53033004301,979236,0,Census Tract 43.01,Washington,King County,35.1,2.2,38.1,3.9,31.4,2.7,2947,359,1850,247,1850,247,1763,235,87,69,0,13,1097,209,37.2,5.45280639756555,4.7,3.67650073355363,,
53033004302,331137,0,Census Tract 43.02,Washington,King County,31,1.6,31.1,2.2,30.8,2.5,4343,772,2017,334,2017,334,1880,325,137,58,0,13,2326,697,53.6,12.920127493885,6.8,2.64646449357748,,
53033004500,670997,0,Census Tract 45,Washington,King County,33.6,2.2,35.1,2.1,31.8,3.7,3017,653,2325,624,2325,624,2227,615,98,71,0,13,692,264,22.9,7.20584964186694,4.2,2.83649577722844,,
53033004600,1552358,1033232,Census Tract 46,Washington,King County,39.1,1.6,41.1,1.5,37.1,2.4,2938,467,2138,415,2138,415,1870,236,268,222,0,13,800,147,27.2,2.51019546880611,12.5,10.0944360549104,,
53033004800,1278329,26886,Census Tract 48,Washington,King County,40.2,1.8,39.9,2.2,40.5,2.8,4351,570,3564,586,3543,584,3440,593,103,64,21,33,787,186,18.1,3.55804479926477,2.9,1.74166047233222,,
53033005000,757380,0,Census Tract 50,Washington,King County,40.1,1.7,41.5,2.8,39.3,1.7,3859,516,3278,488,3278,488,3212,491,66,68,0,13,581,217,15.1,5.25050570688529,2,2.05266622791651,,
53033005100,881731,0,Census Tract 51,Washington,King County,39.9,1.2,43.5,1.5,36.8,1.5,3120,317,2466,270,2466,270,2419,265,47,34,0,13,654,149,21,4.27445071863408,1.9,1.36286759760689,,
53033005600,3022785,1546484,Census Tract 56,Washington,King County,39.5,2.7,42.4,2.4,36,4,5352,516,3409,425,3409,425,3336,412,73,54,0,18,1943,386,36.3,6.30598107437176,2.1,1.56138348102032,,
53033005700,5085640,2365806,Census Tract 57,Washington,King County,41.1,1.3,44.5,2,37.2,1.7,5142,594,3805,524,3805,524,3708,517,97,59,0,18,1337,274,26,4.40142985282487,2.5,1.51032557105174,,
53033005801,1822365,260223,Census Tract 58.01,Washington,King County,40.9,1.5,41.8,1.9,39.7,1.6,5621,682,4750,654,4750,654,4689,647,61,52,0,18,871,325,15.5,5.46768318126042,1.3,1.08036337776426,,
53033006000,1340653,160754,Census Tract 60,Washington,King County,39.8,2,40.2,2.6,39.4,3,5510,679,4303,652,4303,652,4169,670,134,139,0,18,1207,227,21.9,3.11217344457988,3.1,3.19565618561336,,
53033006100,1227451,652743,Census Tract 61,Washington,King County,42.5,2,41.7,2.9,43.3,2.1,5081,553,3995,492,3995,492,3747,467,248,123,0,18,1086,232,21.4,3.92901886220208,6.2,2.98242062699199,,
53033006200,2437426,239356,Census Tract 62,Washington,King County,39.1,2.2,41.1,2.3,36.8,2.8,3595,471,2633,400,2633,400,2519,388,114,75,0,13,962,166,26.8,3.00504105825544,4.3,2.77147888677999,,
53033006300,2610569,3533560,Census Tract 63,Washington,King County,38.3,2,39.7,2.9,36.3,2.8,4706,688,2998,453,2998,453,2573,335,425,355,0,18,1708,380,36.3,6.08671117447985,14.2,11.6458752870284,,
53033006400,903649,0,Census Tract 64,Washington,King County,39,2.3,43.7,2.3,35.4,3.1,3032,431,2054,251,2054,251,1985,253,69,36,0,13,978,319,32.3,9.46940926329593,3.4,1.70392548830276,,
53033006500,1147619,0,Census Tract 65,Washington,King County,41.1,1.8,43.5,2.4,38.1,2.4,4405,600,3562,591,3548,592,3324,593,224,104,14,23,843,176,19.1,3.0280257874028,6.3,2.73539834776007,,
53033006600,1117109,831139,Census Tract 66,Washington,King County,43,1.5,45.1,2.2,40.8,1.9,4106,464,3585,485,3585,485,3440,488,145,102,0,13,521,180,12.7,4.14269156958305,4,2.7920760662024,,
53033006800,718106,0,Census Tract 68,Washington,King County,40.8,1.9,43,2.2,38.8,2.6,2662,326,2079,282,2079,282,2025,282,54,39,0,13,583,184,21.9,6.37052398203841,2.6,1.84252012570507,,
53033006900,905121,0,Census Tract 69,Washington,King County,39.7,1.3,40.5,2.8,39.1,1.4,4034,450,3166,427,3159,427,3119,429,40,36,7,10,868,192,21.5,4.10998204978678,1.3,1.12667513288426,,
53033007600,571882,0,Census Tract 76,Washington,King County,39.6,2,40.8,2.6,38.6,2.1,4281,552,3237,413,3237,413,3062,416,175,113,0,13,1044,308,24.4,6.47102960343353,5.4,3.42206228331077,,
53033007700,1058322,0,Census Tract 77,Washington,King County,38.8,1.8,39.9,2.2,37.5,2.6,5068,578,3963,491,3963,491,3805,508,158,94,0,18,1105,327,21.8,5.95382485092587,4,2.3199367506238,,
53033007800,2097740,3632914,Census Tract 78,Washington,King County,37.6,2.1,41.2,2,35.1,2.7,4954,500,3236,409,3236,409,3185,412,51,56,0,18,1718,339,34.7,5.8800761745972,1.6,1.71902910269074,,
53033008002,234314,0,Census Tract 80.02,Washington,King County,41.8,2.4,44,2,38.3,3.7,3956,530,2770,466,2739,438,2635,437,104,59,31,44,1186,304,30,6.55131360682579,3.8,2.06672289368972,,
53033008200,375785,0,Census Tract 82,Washington,King County,44.1,1.9,44,2.7,44.1,1.9,4064,471,3203,487,3203,487,2961,420,242,157,0,13,861,178,21.2,3.62696516733644,7.6,4.76514032217586,,
53033008300,237955,0,Census Tract 83,Washington,King County,39.1,2.5,37.7,2.8,41.5,4.6,3269,472,2559,386,2559,386,2541,383,18,42,0,13,710,199,21.7,5.21759253303652,0.7,1.63783303955896,,
53033008500,450978,0,Census Tract 85,Washington,King County,41,2.2,41.1,2.3,40.6,4.7,4302,480,1621,227,1621,227,1569,230,52,40,0,13,2681,420,62.3,6.85306195229944,3.2,2.42637784807997,,
53033008600,711350,0,Census Tract 86,Washington,King County,34.9,1.9,38.6,2.9,31.4,2.3,6776,706,5015,615,5015,615,4380,591,635,219,0,18,1761,299,26,3.48412466340405,12.7,4.08150911774914,,
53033008700,732385,0,Census Tract 87,Washington,King County,39.6,2.1,41,2.6,37.8,2.4,4162,617,3296,598,3282,598,3219,594,63,54,14,21,866,202,20.8,3.74714293550688,1.9,1.60773408710547,,
53033008800,948581,0,Census Tract 88,Washington,King County,41,1.6,40.7,1.7,41.2,2.6,3472,369,2722,296,2722,296,2523,296,199,156,0,13,750,275,21.6,7.58049300662837,7.3,5.67567175341291,,
53033008900,1270033,1798066,Census Tract 89,Washington,King County,36.8,2.8,38.4,3.1,34.6,3.8,5163,734,3817,509,3752,531,3677,517,75,57,65,74,1346,417,26.1,7.17611668540811,2,1.49261722276608,,
53033009000,855872,0,Census Tract 90,Washington,King County,37.6,1.6,38.2,2.4,37,2.4,3329,348,2267,353,2253,350,2094,334,159,88,14,23,1062,196,31.9,4.85213884532257,7.1,3.74888415692596,,
53033009100,410621,0,Census Tract 91,Washington,King County,39.3,2.3,41.2,2.5,36.6,3.1,2569,341,1480,229,1480,229,1432,226,48,38,0,13,1089,300,42.4,10.2327307896683,3.2,2.51804958821793,,
53033009200,338451,154864,Census Tract 92,Washington,King County,38.7,2.6,41.8,3.2,31.8,3.7,2636,447,1727,396,1682,390,1570,386,112,76,45,54,909,240,34.5,6.9785921522467,6.7,4.24646446070958,,
53033009300,9444110,639051,Census Tract 93,Washington,King County,39.3,2.3,41.4,2.8,35.8,3.9,2826,382,2193,347,2057,331,1966,309,91,79,136,90,633,140,22.4,3.92106057377082,4.4,3.77399294683006,,
53033009400,1686311,0,Census Tract 94,Washington,King County,39,1,40.2,1.3,37.2,1.7,6023,707,4808,599,4808,599,4543,603,265,155,0,18,1215,296,20.2,4.3064062217807,5.5,3.14981575835101,,
53033009500,2597717,2916270,Census Tract 95,Washington,King County,39.3,1.8,40.1,2.1,38.1,2.7,5579,568,4189,489,4189,489,4039,504,150,102,0,18,1390,346,24.9,5.65936225915501,3.6,2.39880148061018,,
53033009600,1906922,1385222,Census Tract 96,Washington,King County,41.5,1.5,42.4,1.9,40.6,2.1,4960,783,3507,780,3507,780,3489,779,18,29,0,18,1453,216,29.3,6.35220792700458,0.5,0.819000185566356,,
53033009701,1861358,1607123,Census Tract 97.01,Washington,King County,41.3,1.4,44,2,38.5,2.1,5193,750,3557,573,3557,573,3488,596,69,69,0,18,1636,323,31.5,4.24088784978937,1.9,1.91450187313354,,
53033009702,2220441,0,Census Tract 97.02,Washington,King County,39.4,2.5,43.3,3.2,34.1,2.6,4456,549,3257,445,3257,445,3101,426,156,88,0,18,1199,229,26.9,3.92691031086053,4.8,2.62142448064506,,
53033009900,6565170,2370735,Census Tract 99,Washington,King County,40.5,1.3,41.5,2.2,39.5,1.4,5006,691,4094,623,4094,623,3787,549,307,168,0,18,912,277,18.2,4.92891574750361,7.5,3.94171334394174,,
53033010001,2327512,0,Census Tract 100.01,Washington,King County,35.9,2.9,35,3.3,36.8,3.5,3376,418,2194,330,2194,330,1937,280,257,138,0,13,1182,250,35,6.00374696030673,11.7,6.03808114827235,,
53033010002,948077,0,Census Tract 100.02,Washington,King County,37.6,1.5,38.3,2,36.6,1.8,4294,534,3121,475,3121,475,2968,474,153,83,0,13,1173,282,27.3,5.62039310353036,4.9,2.55259934883455,,
53033010200,2795533,2076618,Census Tract 102,Washington,King County,40,1.4,41.6,1.5,37.9,2,4210,385,2909,244,2909,244,2863,249,46,39,0,18,1301,209,30.9,4.08149938725033,1.6,1.33408976998142,,
53033010401,1629874,0,Census Tract 104.01,Washington,King County,37.2,1.5,38.4,2,36,2.3,3627,414,2484,329,2484,329,2338,340,146,76,0,13,1143,227,31.5,5.12164110964185,5.9,2.9588869558504,,
53033010402,1742875,0,Census Tract 104.02,Washington,King County,37.6,1.1,39.4,1.4,35.6,2.1,3948,645,2924,418,2915,419,2837,415,78,55,9,13,1024,305,25.9,6.45958431743322,2.7,1.8471744525701,,
53033010701,1457384,3664,Census Tract 107.01,Washington,King County,41.1,1.8,42.2,2.5,39.6,2.2,3397,413,2377,313,2377,313,2293,307,84,67,0,13,1020,231,30,5.7371626504253,3.5,2.78000272315542,,
53033010702,780116,0,Census Tract 107.02,Washington,King County,38.1,2.1,38.9,2.4,37.4,3.2,3424,445,2317,401,2317,401,2168,396,149,89,0,13,1107,225,32.3,5.05232334810791,6.4,3.67640351668478,,
53033010800,4140525,322633,Census Tract 108,Washington,King County,38.8,1.4,41.1,1.6,36.3,2.6,3947,449,2869,397,2869,397,2802,399,67,43,0,13,1078,184,27.3,3.47549973763859,2.3,1.46352851991891,,
53033010900,5389781,414929,Census Tract 109,Washington,King County,38.2,3.5,41.8,1.8,34.3,6.2,1045,159,808,129,808,129,801,129,7,11,0,13,237,113,22.7,10.2480200628709,0.9,1.35434174188693,,
53033011001,1080391,0,Census Tract 110.01,Washington,King County,39.2,2.5,42.6,3.3,35.9,2.8,4213,661,2351,385,2351,385,2219,417,132,93,0,18,1862,415,44.2,6.99629031680455,5.6,3.84742402135933,,
53033011002,1719569,0,Census Tract 110.02,Washington,King County,33.5,2.2,35.9,2.3,31.2,3.4,3558,538,2410,429,2407,429,2296,405,111,63,3,7,1148,263,32.3,5.55301696498225,4.6,2.48496617883284,,
53033011101,1136851,0,Census Tract 111.01,Washington,King County,37.7,1.3,38.7,1.7,36.5,2.2,4595,410,3411,357,3411,357,3286,353,125,85,0,18,1184,221,25.8,4.22445198996851,3.7,2.46224460848213,,
53033011102,1303226,1143440,Census Tract 111.02,Washington,King County,37.2,1.7,39,2.1,34.9,2.8,4360,683,3311,681,3311,681,3138,651,173,116,0,18,1049,234,24.1,3.82089307075219,5.2,3.33457805388586,,
53033011200,2483779,139646,Census Tract 112,Washington,King County,34.8,2.6,36.6,3.2,32.7,3.1,3054,425,2349,357,2325,352,2172,347,153,82,24,31,705,221,23.1,6.48426107291976,6.6,3.38323660062138,,
53033011300,3419308,42220,Census Tract 113,Washington,King County,39.1,1.7,41,2.4,36.8,2.2,5254,580,3599,465,3584,466,3454,475,130,81,15,25,1655,344,31.5,5.54765960223378,3.6,2.21028850710504,,
53033011401,1233155,0,Census Tract 114.01,Washington,King County,39.1,1.4,40.5,2.5,37.6,1.3,4315,714,3207,666,3187,673,3047,662,140,74,20,32,1108,275,25.7,4.75010325895866,4.4,2.12858125503389,,
53033011402,1186191,0,Census Tract 114.02,Washington,King County,40.2,2.5,44.2,3.9,36.4,2.2,3530,414,2937,415,2937,415,2863,416,74,54,0,13,593,166,16.8,4.26993774205991,2.5,1.80381289975447,,
53033011500,1538373,0,Census Tract 115,Washington,King County,37.7,1.7,40,1.8,36,2.5,3592,352,2768,337,2768,337,2671,322,97,76,0,13,824,183,22.9,4.57186856571026,3.5,2.71231387526933,,
53033011700,3515808,0,Census Tract 117,Washington,King County,36.2,2.1,35,4.1,37.4,1.6,4791,740,3137,529,3128,529,2912,514,216,137,9,16,1654,385,34.5,6.01184128108688,6.9,4.22123252148717,,
53033012000,1437048,0,Census Tract 120,Washington,King County,39.5,1.6,40.6,1.9,38.7,2.6,2696,319,1965,230,1965,230,1916,220,49,30,0,13,731,173,27.1,5.55732963565897,2.5,1.49855755150355,,
53033012100,1739952,1380849,Census Tract 121,Washington,King County,42.6,2.3,44.5,2.5,40.6,4.8,2186,230,1415,196,1409,195,1372,198,37,30,6,11,771,157,35.3,6.14907714935718,2.6,2.09792417168333,,
53033000101,414848,0,Census Tract 1.01,Washington,King County,38.7,2.2,41.5,2.9,35.2,2.6,2915,421,2253,452,2253,452,2203,451,50,43,0,13,662,192,22.7,5.71189233853117,2.2,1.85590794191266,,
53033000102,1495019,918878,Census Tract 1.02,Washington,King County,35.8,2.4,39.9,4.1,31.3,3.7,4042,634,2628,519,2628,519,2586,519,42,52,0,13,1414,322,35,5.77529897612877,1.6,1.953356475429,,
53033000201,1806749,0,Census Tract 2.01,Washington,King County,39,1.6,41.2,2.6,36.2,2.3,3844,668,2957,596,2957,596,2897,591,60,58,0,13,887,245,23.1,4.95409956048094,2,1.91833700546042,,
53033000202,1480085,0,Census Tract 2.02,Washington,King County,36,1.8,36.8,2.4,34.9,2.4,3609,319,2655,323,2655,323,2484,351,171,143,0,13,954,212,26.4,5.3895310989794,6.4,5.32876411828212,,
53033000403,669384,62871,Census Tract 4.03,Washington,King County,38.7,2.8,39.4,3.2,38,4.2,2758,244,1674,279,1674,279,1419,260,255,169,0,13,1084,188,39.3,5.862948168787,15.2,9.7711345798745,,
53033000404,617482,13535,Census Tract 4.04,Washington,King County,36.6,2.5,42.8,2.4,32.2,3.1,3277,454,2258,457,2258,457,2232,465,26,34,0,13,1019,203,31.1,4.45142659700575,1.2,1.48761373534438,,
53033000601,1431268,0,Census Tract 6.01,Washington,King County,39.6,1.6,42.3,4.3,36.6,3.3,3982,718,2883,599,2883,599,2735,559,148,138,0,13,1099,339,27.6,6.90734341107065,5.1,4.66633552482154,,
53033000602,2355577,55191,Census Tract 6.02,Washington,King County,39.7,2.3,39.2,3.3,40.3,2.2,3099,271,2260,269,2260,269,2203,278,57,44,0,13,839,173,27.1,5.0555608277443,2.5,1.92361900754946,,
53033001201,1008240,0,Census Tract 12.01,Washington,King County,36.8,2.6,39.8,2.5,33.5,3.5,3354,472,2123,401,2123,401,2067,386,56,54,0,13,1231,281,36.7,6.59652596575075,2.6,2.49429638261831,,
53033001202,821426,0,Census Tract 12.02,Washington,King County,36.8,2.2,34.7,3.7,38.7,2.5,2757,379,2070,308,2070,308,1914,255,156,121,0,13,687,277,24.9,9.44517396925403,7.5,5.73684909979187,,
53033003201,1152079,1354300,Census Tract 32.01,Washington,King County,39.4,1.7,40.4,2,38.3,2.9,4008,628,2789,575,2768,578,2684,564,84,92,21,33,1219,315,30.4,6.24966975162838,3,3.26273173071654,,
53033003202,956016,0,Census Tract 32.02,Washington,King County,38.7,2.4,42.2,3.9,34.5,3.2,3777,680,2892,623,2830,634,2756,624,74,62,62,102,885,359,23.4,8.51747215324736,2.6,2.11104256950427,,
53033003301,669207,0,Census Tract 33.01,Washington,King County,39.7,1.2,39.7,1.3,39.8,1.6,4052,547,3428,527,3428,527,3247,527,181,116,0,13,624,202,15.4,4.53104073093427,5.3,3.28509782084066,,
53033003302,627071,0,Census Tract 33.02,Washington,King County,37.9,2.7,38.3,3.2,37.5,4,3334,673,2732,385,2732,385,2622,308,110,132,0,13,602,335,18.1,9.36360702395109,4,4.79819290527247,,
53033003601,674139,0,Census Tract 36.01,Washington,King County,42.7,2.1,43.9,3.4,41.7,2.3,3253,501,2009,286,2009,286,1970,283,39,47,0,13,1244,423,38.2,11.5930959827151,1.9,2.32309226985018,,
53033003602,522326,0,Census Tract 36.02,Washington,King County,40.2,1.5,39.6,2.5,40.6,1.8,3800,487,3240,477,3240,477,3057,470,183,89,0,13,560,207,14.7,5.10948643409786,5.6,2.61803117194771,,
53033004101,1601973,3290570,Census Tract 41.01,Washington,King County,41.7,3.3,45.3,2,35.2,6.6,3071,491,1842,317,1821,311,1821,311,0,13,21,34,1229,317,40,8.1000844085186,0,0.71389346512905,,
53033004102,1689910,2027249,Census Tract 41.02,Washington,King County,38.7,2.1,40.3,3.5,36.9,3,3077,394,2161,374,2161,374,2082,388,79,59,0,13,916,200,29.8,5.26475326045028,3.7,2.65589801283393,,
53033004201,1244114,0,Census Tract 42.01,Washington,King County,39,2.3,42.8,2.6,35.3,3.6,2835,428,1998,412,1998,412,1942,399,56,47,0,13,837,180,29.5,4.52169214828993,2.8,2.28024762317815,,
53033004202,1220977,0,Census Tract 42.02,Washington,King County,39,2.1,42.7,2.3,34.8,3.1,3792,442,3091,464,3091,464,2973,466,118,73,0,13,701,157,18.5,3.53538597151016,3.8,2.29111409940743,,
53033004401,694919,0,Census Tract 44.01,Washington,King County,33.3,2.8,35.5,5.6,31.4,2.6,3520,780,2798,716,2798,716,2539,668,259,191,0,13,722,184,20.5,2.5818903655495,9.3,6.40214844417915,,
53033004402,294988,0,Census Tract 44.02,Washington,King County,35.2,2.7,36.9,3.9,33,3.1,3179,608,2282,447,2282,447,2232,445,50,47,0,13,897,452,28.2,13.1543789852816,2.2,2.014382770644,,
53033004701,571393,176916,Census Tract 47.01,Washington,King County,39.8,1.4,40.4,1.8,38.9,2.5,3170,440,2485,414,2485,414,2112,318,373,321,0,13,685,187,21.6,5.07964897374892,15,12.6731442694964,,
53033004702,266414,0,Census Tract 47.02,Washington,King County,38.9,2,41.4,2.2,36.5,3,3103,440,2653,458,2653,458,2491,458,162,123,0,13,450,163,14.5,4.83375053864331,6.1,4.5148271291788,,
53033004703,1188631,155567,Census Tract 47.03,Washington,King County,42.5,1.8,43.4,3.6,41.5,1.6,3454,503,2941,474,2941,474,2902,483,39,60,0,13,513,211,14.9,5.7131369707654,1.3,2.02889663897903,,
